"unique_id","Year","Title","Authors"
1504,2018,"A bi-objective programming model for carbon emission quota allocation: Evidence from the Pearl River Delta region","Li L., Ye F., Li Y., Tan K.H."
3286,2019,"Achievements of the European Union countries in seeking a sustainable electricity sector","Siksnelyte I., Zavadskas E.K."
3644,2020,"A city-level comparison of fossil-fuel and industry processes-induced CO2 emissions over the Beijing-Tianjin-Hebei region from eight emission inventories","Han P., Zeng N., Oda T., Zhang W., Lin X., Liu D., Cai Q., Ma X., Meng W., Wang G., Wang R., Zheng B."
7118,2019,"Adaptive comfort assessments in urban neighbourhoods: Simulations of a residential case study from London","Gunawardena, K; Steemers, K"
9359,2019,"Aerially guided leak detection and repair: A pilot field study for evaluating the potential of methane emission detection and cost-effectiveness","Schwietzke S., Harrison M., Lauderdale T., Branson K., Conley S., George F.C., Jordan D., Jersey G.R., Zhang C., Mairs H.L., PÃƒÂ©tron G., Schnell R.C."
10142,2017,"A framework for designing multi-functional agricultural landscapes: Application to Guadeloupe Island","Chopin P., Blazy J.-M., GuindÃƒÂ© L., Wery J., DorÃƒÂ© T."
11070,2016,"A Glimpse into the Future of the Climate Regime: Lessons from the REDD+ Architecture","Mace, MJ; Verheyen, R"
11655,2021,"AgricultureÃ¢â‚¬â„¢s carbon neutral challenge: The case of Western Australia*","Kingwell R."
13677,2018,"Airport expansion and the british planning system: Regime management","Marshall T."
15637,2019,"Alternative cements: Recent developments and future directions","Gevaudan J.P., Osio-Norgaard J., Srubar W.V."
17278,2019,"A model for Ã¢â‚¬Å“smartÃ¢â‚¬Â mineral enterprise development for spurring investment in climate change mitigation technology","Ali S.H., Perrons R.K., Toledano P., Maennling N."
17801,2018,"A multi-criteria application to select energy retrofit measures at the building and district scale","Dirutigliano D., Delmastro C., Torabi Moghadam S."
19138,2021,"Analysis and evaluation of the feasibility of positive energy districts in selected urban typologies in Vienna using a bottom-up district energy modelling approach","Neumann H.-M., Hainoun A., Stollnberger R., Etminan G., Schaffler V."
19754,2019,"Analysis of Energy-Related Carbon Emissions in Inner Mongolia, China","Tseng, SW"
19796,2018,"Analysis of energy saving potential in high-performance building technologies under Korean climatic conditions","Kim C.-H., Lee S.-E., Kim K.-S."
20681,2019,"Analysis of Spatial Pattern Evolution and Influencing Factors of Regional Land Use Efficiency in China Based on ESDA-GWR","Cao, XS; Liu, YW; Li, T; Liao, W"
21308,2016,"Analysis of the threshold effect of financial development on China's carbon intensity","Pan X., Yan Y., Peng X., Liu Q."
21845,2019,"Analyzing national and local pathways to carbon-neutrality from technology, emissions, and resilience perspectivesÃ¢â‚¬â€Case of Finland","Pilpola S., Arabzadeh V., Mikkola J., Lund P.D."
21960,2019,"Analyzing the impact of urbanization quality on CO2 emissions: What can geographically weighted regression tell us?","Wang Y., Li X., Kang Y., Chen W., Zhao M., Li W."
23290,2018,"An economic and carbon analysis of biomethane production from food waste to be used as a transport fuel in Mexico","Chan GutiÃƒÂ©rrez E., Wall D.M., O'Shea R., Novelo R.M., GÃƒÂ³mez M.M., Murphy J.D."
23299,2016,"An economic and environment friendly solution for the rural households' energy crisis in Egypt","Diab, F; Ali, S"
25543,2017,"An improved constraint method in optimal estimation of CO2 from GOSAT SWIR observations","Zou M.M., Chen L.F., Li S.S., Fan M., Tao J.H., Zhang Y."
25822,2021,"An innovative approach to enhance sustainability of a district cooling system by adjusting cold thermal storage and chiller operation","Anderson, A; Rezaie, B; Rosen, MA"
26163,2018,"An integrated measurement of household carbon emissions from a trading-oriented perspective: A case study of urban families in Xuzhou, China","Guo D., Chen H., Long R., Ni Y."
27172,2020,"An open-source model of the Western Climate Initiative cap-and-trade programme with supply-demand scenarios to 2030","Inman M., Mastrandrea M.D., Cullenward D."
27234,2017,"An optimal learning-based controller derived from Hamiltonian function combined with a cellular searching strategy for automotive coldstart emissions","Azad N.L., Mozaffari A., Fathi A."
27771,2021,"A Novel Methodology for Prioritizing Zero-Carbon Measures for Sustainable Transport","Pamucar D., Deveci M., Canitez F., Paksoy T., Lukovac V."
27887,2018,"A novel SMART energy system for using biomass energy effectively","Nakagawa T., Chisaka H., Notoji Y."
28310,2019,"Anthropogenic aerosol drives uncertainty in future climate mitigation efforts","Larson E.J.L., Portmann R.W."
30011,2019,"Application of Ecovillage for the Redevelopment Strategy of Rural Communities in Taiwan. A Case Study of Jianguo Military Dependents' Villages","Xie, JP; Hsu, KW"
31039,2018,"Applying a systems approach to assess carbon emission reductions from climate change mitigation in Mexico's forest sector","Olguin M., Wayson C., Fellows M., Birdsey R., Smyth C.E., Magnan M., Dugan A.J., Mascorro V.S., Alanis A., Serrano E., Kurz W.A."
31287,2018,"Appraising the environmental benefits of ride-sharing: The Paris region case study","Yin B., Liu L., Coulombel N., ViguiÃƒÂ© V."
32525,2020,"A proposal for a novel urban mobility policy: Personal carbon trade experiment in Lahti city","Kuokkanen A., Sihvonen M., Uusitalo V., Huttunen A., Ronkainen T., Kahiluoto H."
33496,2021,"Are female-dominated families more energy-saving? Evidence from Jiangsu Province, China","Wang J., Long R., Chen H., Li Q."
33550,2020,"A regional assessment of land-based carbon mitigation potentials: Bioenergy, BECCS, reforestation, and forest management","Krause A., Knoke T., Rammig A."
34755,2017,"A review on TiO2-based Z-scheme photocatalysts","Qi, KZ; Cheng, B; Yu, JG; Ho, WK"
36960,2018,"Assessing five pilot carbon trading programs in China from a perspective of efficiency analysis","Yu X., Shi G., Wang J."
37042,2017,"Assessing high shares of renewable energies in district heating systems - A case study for the city of Herten","Aydemir A., Popovski E., BellstÃƒÂ¤dt D., Fleiter T., BÃƒÂ¼chele R."
37789,2018,"Assessing the efficiency of China's environmental regulation on carbon emissions based on Tapio decoupling models and GMM models","Wenbo G., Yan C."
40477,2019,"Assessment of renewable energy potential in Kwazulu-Natal province, South Africa","Mutombo N.M.-A., Numbi B.P."
40479,2021,"Assessment of renewable energy transition in Moroccan electricity sector using a system dynamics approach","Chentouf M., Allouch M."
43716,2015,"A system dynamics approach to scenario analysis for urban passenger transport energy consumption and CO2 emissions: A case study of Beijing","Liu X., Ma S., Tian J., Jia N., Li G."
48495,2020,"Beyond Sugar and Ethanol Production: Value Generation Opportunities Through Sugarcane Residues","Formann S., Hahn A., Janke L., Stinner W., StrÃƒÂ¤uber H., LogroÃƒÂ±o W., Nikolausz M."
