"unique_id","Year","Title","Authors","City.Term","Region.Term","DOI","From_Final_List","Sample","Reviewed","Included","Extracted"
144,2020,"Ã¢â‚¬ËœThe Ã¢â‚¬Å“StrongestÃ¢â‚¬Â Climate Ruling YetÃ¢â‚¬â„¢: The Dutch Supreme CourtÃ¢â‚¬â„¢s Urgenda Judgment","Spier J.","Paris",NA,"10.1007/s40802-020-00172-5","Yes","No","No",NA,NA
163,2015,"Ã¢â‚¬Å“BlueprintingÃ¢â‚¬Â and climate change: Regional governance and civic participation in land use and transportation planning","Niemeier D., Grattet R., Beamish T.","Sacramento",NA,"10.1177/0263774X15614181","Yes","No","No",NA,NA
207,2012,"Ã¢â‚¬Å“Power from the peopleÃ¢â‚¬Â Albany county sewer district combined heat and power project","Goss M., Lyons R., Werme C.D., Morrow J., Amo R.",NA,"New York","10.2175/193864712811708923","Yes","No","No",NA,NA
294,2017,"100 CHP systems in the field CO2 reduction potential in the German residential sector","Lange M., Albus R., Benthin J., Burmeister F., Flayyih M., GÃƒÂ¶rner K., Schmidt M., Wenzel M.",NA,"North Rhine-Westphalia",NA,"Yes","Yes","Yes","Yes","Yes"
712,2017,"2 degrees C target, India's climate action plan and urban transport sector","Aggarwal, P","Hong Kong",NA,"10.1016/j.tbs.2016.11.001","Yes","No","No",NA,NA
1374,2019,"Abatement costs of emissions from burning maize straw in major maize regions of China: Balancing food security with the environment","Hou L., Keske C., Hoag D., Balezentis T., Wang X.",NA,"Shandong","10.1016/j.jclepro.2018.10.047","Yes","No","No",NA,NA
1425,2018,"A Bayesian belief network framework to predict SOC dynamics of alternative management scenarios","Dal Ferro N., Quinn C., Morari F.",NA,"Veneto","10.1016/j.still.2018.01.002","Yes","No","No",NA,NA
2382,2012,"A case study for energy issues of public buildings and utilities in a small municipality: Investigation of possible improvements and integration with renewables","Fiaschi, D; Bandinelli, R; Conti, S",NA,"Tuscany","10.1016/j.apenergy.2012.03.008","Yes","No","No",NA,NA
2434,2020,"A Case Study of Industrial Symbiosis to Reduce GHG Emissions: Performance Analysis and LCA of Asphalt Concretes Made With RAP Aggregates and Steel Slags","Bonoli A., Degli Esposti A., Magrini C.",NA,"Emilia-Romagna","10.3389/fmats.2020.572955","Yes","No","No",NA,NA
2449,2014,"A case study of South African mitigation actions (For the special issue on mitigation actions in five developing countries)","Tyler, E; Boyd, AS; Coetzee, K; Winkler, H","Cape",NA,"10.1080/17565529.2013.768175","Yes","No","No",NA,NA
