"unique_id","n"
144,3
163,2
207,2
294,2
712,2
1374,8
1425,3
2382,2
2434,2
2449,2
2504,5
3286,3
3313,3
3328,4
3334,11
3358,7
3370,7
3440,2
3469,5
3489,4
3673,3
4177,6
4248,5
4445,3
4775,2
5078,5
5186,18
5199,7
5232,2
5353,2
5807,3
6815,3
7544,4
9089,3
9289,3
9711,5
10078,2
10103,4
10142,2
10154,2
10349,5
11245,7
11360,2
11857,2
12163,5
12703,2
14418,5
14805,8
14807,3
15102,2
15116,8
15134,6
15426,2
15448,5
15611,2
15634,4
15637,5
16783,5
16802,30
16900,3
17456,5
17825,4
18833,3
18996,5
19393,2
19480,2
19560,4
19754,4
19796,22
20200,3
20292,2
20613,4
20900,2
21014,2
21115,3
21380,9
21409,2
21463,2
21483,21
21768,4
21845,3
21892,2
21925,3
22195,3
22418,17
22488,10
22608,2
22902,2
23299,2
23544,9
23623,5
23643,3
23896,2
24122,5
24132,5
24271,5
24409,2
25639,2
25822,2
26456,3
26513,21
26825,5
27117,2
27119,2
27172,2
27590,10
27887,11
27944,3
28310,2
28584,2
28585,2
28861,5
29534,4
29804,2
29924,5
30210,5
30965,5
31032,2
31039,2
31287,6
32228,16
32499,4
32532,2
33450,6
34157,4
34369,11
34427,7
34755,6
34979,10
35458,2
35850,2
35986,2
36292,3
36346,2
36637,7
36803,4
36896,4
36978,2
37042,5
37586,5
37605,2
37709,4
37877,5
37983,3
38081,12
38157,2
38162,13
38168,3
38252,3
38283,2
39302,3
39541,4
39559,8
40093,2
40164,18
40749,7
40795,2
40958,2
41091,2
41435,3
41530,2
42460,2
42552,3
42557,2
42574,8
42628,3
42658,2
42840,3
42845,9
42873,2
42917,10
42972,2
43247,4
43400,3
43481,5
43645,4
43765,3
44058,5
44441,3
45057,3
45381,6
45588,2
45883,4
46069,2
46124,2
46393,3
46837,10
47365,2
47554,2
47559,2
47992,8
48444,4
48663,3
48983,2
49895,3
49928,4
50153,13
51143,4
51179,5
51631,2
52259,9
54084,2
54681,2
54974,4
55045,11
55047,7
55521,3
55528,2
55689,7
56224,2
56557,2
56732,7
56801,2
56921,12
57563,3
57572,3
57661,9
57681,8
57693,16
57733,2
57774,2
57887,2
57917,2
57968,3
58104,2
58133,11
58286,4
58574,2
58791,2
58871,6
58902,7
58965,2
58971,11
58974,3
59115,3
59247,2
59550,2
59946,3
60112,3
60218,2
61019,16
61044,2
62155,2
62978,2
63014,3
63218,2
64223,2
65625,2
66508,3
66513,3
66514,12
66539,3
66608,14
66616,2
66629,12
66769,5
66771,2
66772,6
66867,7
67482,9
67484,4
67559,3
67561,8
67617,6
67677,2
68021,4
69089,5
69090,5
69400,3
69645,3
70161,2
70685,2
70728,2
71302,3
71904,3
71944,4
71964,7
71982,11
72234,3
74061,4
74186,4
74724,5
74920,16
75113,5
75388,3
75499,2
75621,5
75629,2
75770,2
75790,21
75795,6
75804,8
75822,9
75831,2
75834,13
75848,2
75866,6
75903,9
75906,8
75909,3
75920,2
75931,4
75994,2
76007,3
76165,11
76181,10
76362,8
77131,6
78329,3
78701,2
79114,5
79252,2
79313,2
79487,2
79994,2
80062,2
80146,6
80448,3
80508,2
80586,6
80882,2
81372,7
82005,3
82272,5
82502,2
83138,4
83285,2
84847,2
84861,5
85658,5
85662,2
85676,3
85871,2
85952,3
86002,25
87032,3
88153,2
88289,2
88377,5
88437,2
88501,6
88588,2
88607,3
88647,2
88661,8
88749,6
88870,5
88978,3
89048,8
89076,3
89114,10
89317,3
89771,3
89809,2
90672,3
90709,3
90908,4
91023,3
91137,12
91443,2
92125,8
92138,4
92183,2
92188,4
92228,2
92391,2
92601,4
92932,2
93147,2
94976,3
95003,10
95441,4
95478,6
96534,2
96541,4
97165,4
97423,3
97576,2
97652,2
97818,9
97939,4
98350,5
99374,3
99520,2
99565,4
99889,2
100129,8
101025,4
101026,4
101400,2
101483,3
102627,5
104054,2
104323,2
104738,3
104885,5
104980,2
105073,6
105504,9
105636,2
105637,3
105653,3
106351,5
106458,5
106561,2
106595,2
106622,2
106664,6
106678,2
107550,5
107590,2
107681,3
108073,2
108123,2
108271,2
108454,3
109009,9
109013,3
109033,3
109890,3
109950,2
109953,3
