"file_name","unique_id","DOI","Year","Title","Authors","Abstract","Source","Source.Title","Link"
"id_101483_yin_2021",101483,"10.1007/s11356-021-12742-y",2021,"Dilemma and solution of land scarcity, agro-production, and environmental risk for typical grain-producing areas in rapid urbanizing process in China","Yin G., Jiang X., Xin Y., Lou Y., Xie S., Li G., Liu S., Wang X., Shi X.","How to satisfy food production sustainably in the rapid urbanizing process is a vital problem for major grain-producing areas. Taking two national grain-producing regions in China, Shandong and Dongting Lake Region as examples, this study uses step-by-step prediction and a double-objective linear programming model to analyze the dilemma of land scarcity, food demand, and environmental load. It is found that food demand by 2030 will induce partial regional cropland deficiency and heterogeneous agro-environmental risk among cities. The double-objective linear programming model finds possible solutions in different scenarios: on the premise of keeping the current cropland area unchanged, the upper threshold of crop yield by 2030 will be 2539.06 Ãƒâ€” 104 t in Dongting and 7175.13 Ãƒâ€” 104 t in Shandong, respectively. On the condition of guaranteeing food self-sufficiency and minimizing the environmental load, the lower threshold of arable land area should be 99.47 Ãƒâ€” 104 ha in Dongting and 436.85 Ãƒâ€” 104 ha in Shandong. Pollutant reduction will be realized by reallocation of agro-production task and optimized practices. The food carbon impact can be reduced by up to 1.27 kg CO2 eq/kg. This study contributes to feasible pathways towards adequate agro-production, lessened land scarcity, and minimal environmental risk for rapid urbanizing cities in a sustainable way. Ã‚Â© 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.","Scopus & WOS","Environmental Science and Pollution Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100521949&doi=10.1007%2fs11356-021-12742-y&partnerID=40&md5=61d7f0afe4102acc56db3fa8b07bc5ca"
"id_104542_ma_2019",104542,"10.1016/j.scitotenv.2018.08.078",2019,"Do commercial building sector-derived carbon emissions decouple from the economic growth in Tertiary Industry? A case study of four municipalities in China","Ma, MD; Cai, WG","Decoupling economic development from carbon emissions generated from China's commercial buildings (CECCB) is regarded as an important indicator for evaluating the energy efficiency of the commercial building sector in China. Our study is the first to propose a decoupling method based on a Logarithmic Mean Divisia Index (LMDI) decomposition analysis with the Kaya identity to analyze the relationship between economic development in China's Tertiary Industry and the CECCB growth at both national and municipal levels. The following three main results are found. (1) At the national level, commercial building sector decoupling from 2001 to 2015 is limited. Only four decoupling stages are observed at the municipal level with the ordering of municipal decoupling measured as follows: Tianjin > Beijing > Shanghai > Chongqing (2001-2010), Chongqing > Beijing > Tianjin > Shanghai (2011-2015). (2) Two extended versions of Environmental Kuznets Curves further show what drives different decoupling levels in the four municipalities. (3) More significant decoupling effects observed in recent years can be attributed to significant improvements made in the energy efficiency work of China's commercial building sector. Overall, our approach successfully covers a research gap relevant to the decoupling of the relationship between CECCB growth and the economic development of China's Tertiary Industry. Furthermore, we believe our results can be used to guide the evaluation of energy efficiency work in China's commercial building sector, and such efforts can also enrich diverse research conducted on China's low carbon economic systems. (C) 2018 Elsevier B.V. All rights reserved.","WOS","SCIENCE OF THE TOTAL ENVIRONMENT",NA
"id_119138_xu_2020",119138,"10.3390/SU12010031",2020,"Efficiency evaluation of regional sustainable innovation in China: A slack-based measure (SBM) model with undesirable outputs","Xu K., Bossink B., Chen Q.","An efficiency evaluation of China's regional sustainable innovation, evaluating industrial waste and total energy consumption, is the main research subject in this paper. It focuses on a regional measurement and comparison of these undesirable outputs of Chinese firm activities, such as industrial SO2 and CO2 emissions. By applying a data envelopment analysis-slack-based measure (DEA-SBM) model with undesirable outputs indicators, the regional innovation efficiency was evaluated for 30 provinces in China, from 2002 to 2014. The results indicate that the sustainable innovation efficiency of overall China is still relatively low, and varies significantly in different regions. Central and Western China have similar sustainable innovation efficiencies, which are much lower than the sustainable innovation efficiency in Eastern China. Furthermore, the data indicate that regional sustainable innovation efficiency disparities among these three areas are decreasing. Based on these findings, reasons for the sustainable innovation efficiency gap among the different regions were analyzed. To scholars, this paper extends the research on regional sustainable innovation efficiency by implementing an undesirable output perspective to the DEA-SBM model. The findings also provide Chinese policy makers with useful decision support insights for regional sustainable innovation, and energy conservation and emission reduction policies. Ã‚Â© 2019 by the authors.","Scopus","Sustainability (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079643496&doi=10.3390%2fSU12010031&partnerID=40&md5=ee70db266b3a9fa914d9f23d958f61b1"
"id_125758_lpezmesa_2020",125758,"10.3390/su12145579",2020,"Energy retrofit of social housing with cultural value in Spain: Analysis of strategies conserving the original image vs. coordinating its modification","LÃƒÂ³pez-Mesa B., MonzÃƒÂ³n-ChavarrÃƒÂ­as M., Espinosa-FernÃƒÂ¡ndez A.","Two renovation strategies were considered and compared in this paper for the energy renovation of social housing in condo buildings built in 1945-1969, situated in residential estates that have been declared urban areas of interest. One of the strategies, named here the image conservation approach, consists of renovating the building with very efficient solutions, except for the brick-facing walls, which will only have insulation in the existing cavities. The other strategy, the image coordination approach, consists of renovating the whole building with efficient solutions, including external insulation for existing brick-facing walls, and drawing up coordination plans for each of the residential estates in order to guarantee a coordinated new image of the residential estates. By means of three case studies in the city of Zaragoza and four scenarios of improvement, the two strategies are compared regarding the regulation compliance, the energy use, the emissions reduction, the thermal comfort, and the cost-effectiveness of the measures. The results show that the image coordination approach is the best strategy in regard to the studied aspects, achieving a 69%-79% reduction of CO2 emissions and a 75%-97% reduction of heating use, as well as being the only one capable of transforming these buildings into nearly zero energy buildings (nZEBs). Ã‚Â© 2020 by the authors.","Scopus","Sustainability (Switzerland)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088631665&doi=10.3390%2fsu12145579&partnerID=40&md5=743fb398de736bc8cd41a9b3ddbe36e5"
"id_134246_fatoric_2017",134246,"10.1016/j.landusepol.2017.07.052",2017,"Evaluating a decision analytic approach to climate change adaptation of cultural resources along the Atlantic Coast of the United States","Fatoric S., Seekamp E.","Climate change poses some of the most significant risks for the preservation of coastal cultural resources or cultural heritage. As a result, more research is needed to facilitate the design and implementation of feasible and transparent adaptation strategies for cultural resources under changing climate conditions. In this paper, we begin to explore the challenges and opportunities that face cultural resource managers as they begin to grapple with climate change adaptation planning in dynamic coastal environments. Specifically, we provide an overview of a value-focused, decision-analytic approach that was applied in a pilot test of climate adaptation planning for buildings within designated historic districts on the barrier islands of Cape Lookout National Seashore, North Carolina. We provide descriptions of the challenges that are uniquely facing cultural resource managers and initial evidence of the utility of this type of approach for informing judgments by presenting pre- and post-workshop survey data. Although additional research is critical to offer planning and policy guidance, we found that structured deliberations about cultural resource adaptation planning not only influenced participantsÃ¢â‚¬â„¢ opinions but also provided a necessary space to better understand the complexities of climate and budget uncertainties. Our evaluation is a first step at documenting the difficult and value-laden decisions that must be addressed by cultural resource managers as fiscal constraints and impending climate impacts threaten the traditional approach of preservation in perpetuity. Ã‚Â© 2017 Elsevier Ltd","Scopus & WOS","Land Use Policy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026880433&doi=10.1016%2fj.landusepol.2017.07.052&partnerID=40&md5=976651b52e66560126cb2c97afa584f6"
"id_142099_huang_2019",142099,"10.1016/j.apenergy.2019.113369",2019,"Exploring potential pathways towards urban greenhouse gas peaks: A case study of Guangzhou, China","Huang Y., Liao C., Zhang J., Guo H., Zhou N., Zhao D.","Cities are key to global greenhouse gas emissions management. To explore urban greenhouse gas peak pathways, a city-level Energy Consumption and Greenhouse Gas Emission Analysis model was developed by using Long-range Energy Alternatives Planning model framework. Using the city of Guangzhou as a case study, this research compiled a overall energy balance sheet of base year and simulated future CO2 emission trends from 2015 to 2030 under three scenarios. Results show that CO2 emissions in Guangzhou will peak around 2023 under the current policy scenario. In order to advance the CO2 emissions peak to 2020, the more stringent emissions-reduction policies and measures need to be adopted under the peaking scenario and enhanced peaking scenario, with the peak emission value of 125Ã¢â‚¬â€œ127 Mt CO2e. The industrial sector is the only sector in which CO2 emissions have peaked in Guangzhou, the building sector's CO2 emissions will not peak by 2030 under any of the three scenarios, while the transportation sector, which will contribute 50 percent of emission reduction potential, is the key to achieve its goal of peaking CO2 emissions on time. In the short term, stringent reduction strategies on the transportation, industrial, and power sectors are needed, including transport mode adjustment, industrial structure adjustment, electrification level improvement, clean-up transformation of thermal power, and energy efficiency improvement. However, in the long term, reduction strategies for the building sector, like energy efficiency improvement and large-scale application of renewable energy, will be essential for Guangzhou. Ã‚Â© 2019 Elsevier Ltd","Scopus & WOS","Applied Energy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066082301&doi=10.1016%2fj.apenergy.2019.113369&partnerID=40&md5=1c0aeb9b486c01cc1656b1d4417f08a6"
"id_142273_zhang_2021",142273,"10.1007/s11356-021-12563-z",2021,"Exploring the consumption-based carbon emissions of industrial cities in China: a case study of Tianjin","Zhang Y., Bai H., Hou H., Zhang Y., Xu H., Ji Y., He G., Zhang Y.","Cities are usually the final destination for consumable goods and services produced along supply chains and the most appropriate scale to implement policy. Consumption-based policies could complement current carbon emissions mitigation actions, but such studies at the city level are relatively rare. We used a demand-driven input-output model to explore a historical time series (1987Ã¢â‚¬â€œ2012) of consumption-based emissions in Tianjin for the first time, a typical industrial city which has the largest carbon footprint in China. The results reveal the differences between consumption- and production-based emissions, and Tianjin has transformed from a producer city into a typical consumer city since 2000s, mainly due to infrastructure construction. There is more capital investment in industrial infrastructures than in real estate in Tianjin, causing the largest carbon footprint. The trade deficit and different carbon intensity have substantial influences on consumption-based emissions. Finally, population, income, and urbanization could enable a more accurate interpretation of urban carbon footprint growth. Demand-driven policy implications for addressing these emissions in booming industrial cities are discussed and provide a new perspective on carbon emissions mitigation. Our results offer valuable lessons on industrial citiesÃ¢â‚¬â„¢ strategies and initiatives for climate change mitigation worldwide, particularly in developing countries. Ã‚Â© 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.","Scopus & WOS","Environmental Science and Pollution Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099971174&doi=10.1007%2fs11356-021-12563-z&partnerID=40&md5=9141809bfe699b1675eda71c4e2abf15"
"id_144145_shi_2019",144145,"10.1016/j.jes.2018.03.026",2019,"Factor decomposition of carbon emissions in Chinese megacities","Shi L., Sun J., Lin J., Zhao Y.","In this article, per capita urban carbon emissions were decomposed into manufacturing, transportation, and construction sectors using logarithmic mean Divisia index (LMDI) method. This new decomposition method can provide information about specific drivers of carbon emissions, including urban growth and resident living standards, rather than general demographic and economic factors identified by traditional methods. Using four Chinese megacities (Beijing, Tianjin, Shanghai, and Chongqing) as case studies, we analyzed the factors that influenced per capita carbon emissions from 2010 to 2015. The results showed that per capita carbon emissions increased in Tianjin and Chongqing whereas decreased in Beijing and Shanghai, and that manufacturing was a key driving force. In these four megacities, energy conservation strategies were successfully implemented despite poor energy structure optimization during 2010Ã¢â‚¬â€œ2015. Development of manufacturing and improvement of resident living standards in the cities led to an increase in carbon emissions. The unique dual-core urban form of Tianjin might mitigate the increased carbon emissions caused by the transportation sector. Reductions in carbon emissions could be achieved by further optimizing energy structures, limiting the number of private cars, and controlling per capita construction. Ã‚Â© 2018","Scopus","Journal of Environmental Sciences (China)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045559167&doi=10.1016%2fj.jes.2018.03.026&partnerID=40&md5=8fcc85822137acd17bb4003f9027309b"
"id_144195_wang_2017",144195,"10.1155/2017/1524023",2017,"Factors Affecting Energy-Related Carbon Emissions in Beijing-Tianjin-Hebei Region","Wang J.-M., Shi Y.-F., Zhao X., Zhang X.-T.","Beijing-Tianjin-Hebei is a typical developed region in China. The development of economy has brought lots of carbon emissions. To explore an effective way to reduce carbon emissions, we applied the Logarithmic Mean Divisia Index (LMDI) model to find drivers behind carbon emission from 2003 to 2013. Results showed that, in Beijing, Tianjin, and Hebei, economic output was main contributor to carbon emissions. Then we utilized the decoupling model to comprehensively analyze the relationship between economic output and carbon emission. Based on the two-level model, results indicated the following: (1) Industry sector accounted for almost 80% of energy consumption in whole region. The reduced proportion of industrial GDP will directly reduce the carbon emissions. (2) The carbon factor for CO2/energy in whole region was higher than that of Beijing and Tianjin but lower than that of Hebei. The impact of energy structure on carbon emission depends largely on the proportion of coal in industry. (3) The energy intensity in whole region decreased from 0.79 in 2003 to 0.40 in 2013 (unit: tons of standard coal/ten thousand yuan), which was lower than national average. (4) The cumulative effects of industrial structure, energy structure, and energy intensity were negative, positive, and negative, respectively. Ã‚Â© 2017 Jing-min Wang et al.","Scopus & WOS","Mathematical Problems in Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025076220&doi=10.1155%2f2017%2f1524023&partnerID=40&md5=cee5581ad262008e630d7b6f6c4d8bd1"
"id_145580_cruzpastrana_2019",145580,"10.1007/978-3-319-92931-6_4",2019,"Feasibility Analysis of a Cap-and-Trade System in Mexico and Implications to Circular Economy","Cruz-Pastrana J.-L., Franco-GarcÃƒÂ­a M.-L.","Market-based instruments, such as the cap-and-trade, have been widely used to address the increase of greenhouse gases (GHG). In line with other geographic regions, Mexico has seen the need to expand the options of market instruments to mitigate the effects of climate change. Simultaneously, there are important reasons to move towards a circular economy model. In this context, this research seeks to answer if itÃ¢â‚¬â„¢s feasible to implement a cap-and-trade system in Mexico as part of its climate policy. That said, firstly, it analyses and assesses the cap-and-trade system in Mexico based upon its contextual environment, its potential of implementation and its economic and environmental benefits and costs. Secondly, it highlights the implications of considering circular economy models into a cap-and-trade instrument. Through the use of marginal abatement cost curves (MACC), it was found that the percentage of measures to reduce GHG with negative cost agglomerates 57% of all the measures, which could translate into a benefit for the economy as a whole by almost 1% of GDP by 2020. As part of the conclusions, we argued that MACC results prove partially that the cap-and-trade system is a feasible option to apply in Mexico. In addition, a cap-and-trade mechanism should show a strong carbon price signal felt by end users and therefore motivates the application of circular economy principles, which are related to the introduction of innovations to enable the closing of current materials and energy loops along the supply production chain. Ã‚Â© 2019, Springer International Publishing AG, part of Springer Nature.","Scopus","Greening of Industry Networks Studies","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078099834&doi=10.1007%2f978-3-319-92931-6_4&partnerID=40&md5=88c4f3fe9d4903c7e3b272887332578f"
