unique_id,subnational_wide,per_unit_impacts,emissions_reduction_impact,units,impact_time_frame,impact_time_period,any_error_metrics,impact_page,intervention,mitigation_strategy_cat,sector,study_subject_general,study_subject_detail,study_subject_type,study_subject_value,study_subject_units,impact_type,methodology,model,emissions_factors,emissions_factors_page,survey,survey_respondents,impact_components,subnational_context,subnational_name,subnational_country,subnational_page,gov_action_or_policy,policy_note,policy_page,units_available,synthesis_group,name,country,entity_type,iso,lat,lng,population,population_year,region,mitigation_stratcat_t2,mitigation_stratcat_t1
207,Yes,No,1425,tCO2/year,1,Unclear,No,12,Organic rankine cycle electric generator,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Electricity and heat,All residents,"130,000 residents",NA,NA,NA,Potential/Ex Ante,Feasibility study evaluation,NA,Yes,12,No,NA,Electricity fuel replacement,Regional Government,"Albany County, NY",USA,1,No,NA,NA,No,sg_1,"Albany County, NY",United States of America,Region,USA,42.662094,-73.849075,314848,2020,North America,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Energy system operations
207,Yes,No,1445,tCO2/year,1,Unclear,No,12,Organic rankine cycle electric generator,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Electricity and heat,All residents,"130,000 residents",NA,NA,NA,Potential/Ex Ante,Feasibility study evaluation,NA,Yes,12,No,NA,Electricity fuel replacement,Regional Government,"Albany County, NY",USA,1,No,NA,NA,No,sg_1,"Albany County, NY",United States of America,Region,USA,42.662094,-73.849075,314848,2020,North America,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Energy system operations
6815,No,Yes,10.7,kgC02/m2,1,2013,No,4,LED lighting (present day),Energy efficiency measures,Buildings,Medium-sized office building,3-story building. Case study building from CIBSE TM36:2005. No building area provided.,Building,1,building,Potential/Ex Ante,Dynamic building simulation,NA,No,NA,No,NA,Energy consumption,City or Municipal Government,London,UK,1,No,NA,NA,Yes,sg_3,London,United Kingdom,City,GBR,51.50722,-0.1275,8799800,2021,Europe,Energy efficiency measures,Building construction and improvement
6815,No,Yes,11.1,kgC02/m2,1,2050,No,4,LED lighting (2050),Energy efficiency measures,Buildings,Medium-sized office building,3-story building. Case study building from CIBSE TM36:2005. No building area provided.,Building,1,building,Potential/Ex Ante,Dynamic building simulation,NA,No,NA,No,NA,Energy consumption,City or Municipal Government,London,UK,1,No,NA,NA,Yes,sg_3,London,United Kingdom,City,GBR,51.50722,-0.1275,8799800,2021,Europe,Energy efficiency measures,Building construction and improvement
6815,No,Yes,13.2,kgC02/m2,1,2013,No,5,LED lighting and triple-glazed windows (present day),Energy efficiency measures,Buildings,Medium-sized office building,3-story building. Case study building from CIBSE TM36:2005. No building area provided.,Building,1,building,Potential/Ex Ante,Dynamic building simulation,NA,No,NA,No,NA,Energy consumption,City or Municipal Government,London,UK,1,No,NA,NA,Yes,sg_3,London,United Kingdom,City,GBR,51.50722,-0.1275,8799800,2021,Europe,Energy efficiency measures,Building construction and improvement
6815,No,Yes,13.3,kgC02/m2,1,2050,No,5,LED lighting and triple-glazed windows  (2050),Energy efficiency measures,Buildings,Medium-sized office building,3-story building. Case study building from CIBSE TM36:2005. No building area provided.,Building,1,building,Potential/Ex Ante,Dynamic building simulation,NA,No,NA,No,NA,Energy consumption,City or Municipal Government,London,UK,1,No,NA,NA,Yes,sg_3,London,United Kingdom,City,GBR,51.50722,-0.1275,8799800,2021,Europe,Energy efficiency measures,Building construction and improvement
10142,Yes,No,7,ktCO2/year,1,NA,No,6,Optimized sustainable farming activity,Agricultural land management,Agriculture and forestry,Agricultural land,27000 ha (86% of 31300 ha of all agricultural land in Guadeloupe),Land,27000,hectares,Potential/Ex Ante,Scenario analysis,MOSAICA regional bioeconomic model,No,NA,No,NA,Unclear,Regional Government,Guadeloupe,France,1,No,NA,NA,Yes,sg_1,Guadeloupe,France,Region,FRA,16.25,-61.583,383559,2020,Europe,Agricultural land management,Agriculture and farm practices
11360,Yes,No,457000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Waldoboro, ME",USA,10,No,NA,NA,No,sg_1,"Waldoboro, ME",United States of America,City,USA,44.10139,-69.38972,5154,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,188000,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Amherst, MA",USA,10,No,NA,NA,No,sg_1,"Amherst, MA",United States of America,City,USA,42.383,-72.517,39263,2020,North America,"District heating/cooling, expansion",Energy system operations
11360,Yes,No,98300,MgCO2eq,30,NA,No,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,All residents,"Top 10 locations by carbon abatement cost, for residential and commercial buildings in all New England and New York state towns",NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",No,NA,No,NA,Avoided energy consumption,City or Municipal Government,"Hartland, VT",USA,10,No,NA,NA,No,sg_1,"Hartland, VT",United States of America,City,USA,43.57056,-72.4225,3446,2020,North America,"District heating/cooling, expansion",Energy system operations
