unique_id,subnational_wide,per_unit_impacts,emissions_reduction_impact,units,impact_time_frame,impact_page,intervention,mitigation_strategy_cat,sector,study_subject_type,study_subject_value,study_subject_units,impact_type,methodology,model,impact_components,subnational_context,subnational_name,subnational_country,subnational_page,gov_action_or_policy,policy_note,policy_page,units_available,synthesis_group,name,country,entity_type,iso,population,region,mitigation_stratcat_t2,mitigation_stratcat_t1,emissions_reduction_impact_orig,units_orig,year,impact_time_period_end,weight1,weight2,unit_conversion,er_impact_tco2,er_impact_tco2_annual,er_impact_tco2_annual_pc,short_strat,outlier,er_impact_std_w1,er_impact_std_w2
207,Yes,No,1425,tCO2/year,1,12,Organic rankine cycle electric generator,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Electricity and heat,NA,NA,NA,Potential/Ex Ante,Feasibility study evaluation,NA,Electricity fuel replacement,Regional Government,"Albany County, NY",USA,1,No,NA,NA,No,sg_1,"Albany County, NY",United States of America,Region,USA,314848,North America,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Energy system operations,      NA,NA,2012,NA,0.65,0.95,1,1425,1425,0.004525993,"Cogeneration, combin...",0,0.002941896,0.004299694
207,Yes,No,1445,tCO2/year,1,12,Organic rankine cycle electric generator,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Electricity and heat,NA,NA,NA,Potential/Ex Ante,Feasibility study evaluation,NA,Electricity fuel replacement,Regional Government,"Albany County, NY",USA,1,No,NA,NA,No,sg_1,"Albany County, NY",United States of America,Region,USA,314848,North America,"Cogeneration, combined heat and power, tri-generation, combined heat, cooling, and power",Energy system operations,      NA,NA,2012,NA,0.65,0.95,1,1445,1445,0.004589516,"Cogeneration, combin...",0,0.002983186,0.00436004
10142,Yes,No,7,ktCO2/year,1,6,Optimized sustainable farming activity,Agricultural land management,Agriculture and forestry,Land,27000,hectares,Potential/Ex Ante,Scenario analysis,MOSAICA regional bioeconomic model,Unclear,Regional Government,Guadeloupe,France,1,No,NA,NA,Yes,sg_1,Guadeloupe,France,Region,FRA,383559,Europe,Agricultural land management,Agriculture and farm practices,      NA,NA,2017,NA,0.65,0.95,1000,7000,7000,0.018250126,Agricultural land ma...,0,0.011862582,0.01733762
11360,Yes,No,457000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Waldoboro, ME",USA,10,No,NA,NA,No,sg_1,"Waldoboro, ME",United States of America,City,USA,5154,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,457000,15233.33,2.955633165,District heating/coo...,0,1.921161557,2.807851507
11360,Yes,No,188000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Amherst, MA",USA,10,No,NA,NA,No,sg_1,"Amherst, MA",United States of America,City,USA,39263,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,188000,6266.67,0.159607434,District heating/coo...,0,0.103744832,0.151627062
11360,Yes,No,429000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Plattekill, NY",USA,10,No,NA,NA,No,sg_1,"Plattekill, NY",United States of America,City,USA,10424,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,429000,14300,1.371834229,District heating/coo...,0,0.891692249,1.303242517
11360,Yes,No,330000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Brownville, NY",USA,10,No,NA,NA,No,sg_1,"Brownville, NY",United States of America,City,USA,6263,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,330000,11000,1.756346799,District heating/coo...,0,1.141625419,1.668529459
11360,Yes,No,170000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Alton, NH",USA,10,No,NA,NA,No,sg_1,"Alton, NH",United States of America,City,USA,5894,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,170000,5666.67,0.961429703,District heating/coo...,0,0.624929307,0.913358217
11360,Yes,No,288000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Gardiner, NY",USA,10,No,NA,NA,No,sg_1,"Gardiner, NY",United States of America,City,USA,5610,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,288000,9600,1.711229947,District heating/coo...,0,1.112299465,1.625668449
11360,Yes,No,106000,MgCO2eq,30,10,Biomass-based district heating,"District heating/cooling, expansion",Electricity and heat,NA,NA,NA,Potential/Ex Ante,"CHP plant and DH network simulation, life cycle assessment and economic feasibility analysis","MODEST, EcoInvent 3.0",Avoided energy consumption,City or Municipal Government,"Fort Ann, NY",USA,10,No,NA,NA,No,sg_1,"Fort Ann, NY",United States of America,City,USA,6190,North America,"District heating/cooling, expansion",Energy system operations,      NA,NA,2018,NA,0.65,0.95,1,106000,3533.33,0.570813139,District heating/coo...,0,0.371028541,0.542272482
