unique_id,observation,group_id,obs_num,emissions_reduction_impact,units,impact_time_frame,impact_time_period,any_error_metrics,impact_page,intervention,mitigation_strategy_cat,sector,study_subject_general,study_subject_detail,impact_type,methodology,model,emissions_factors,emissions_factors_page,subnational_context,subnational_name,subnational_country,subnational_page,gov_action_or_policy,policy_note,policy_page,article_link,more_impacts,impact_components,study_subject_type,study_subject_value,study_subject_units,subnational_wide,survey,survey_respondents
100129,2,41,3,11000,t/a,1,Unclear,No,1,Fuel-switching from MSW to SRF,Low-carbon energy generation,Electricity and heat,District heating system,District heating system,Potential/Ex Ante,Environmental and economic analysis,NA,Yes,4,City or Municipal Government,Sheffied,UK,1,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=1_f_Bu4hP49CbOHnWqH0fVdUtNBXQcHlr,I need to record another impact for this article.,Avoided fossil fuel generation emissions,,,,Yes,No,
100129,3,41,3,22000,t/a,1,Unclear,No,1,Using a lower return-water temperature of 30 C compared to 65 C for district heating,"District heating/cooling, expansion",Electricity and heat,District heating system,District heating system,Potential/Ex Ante,Environmental and economic analysis,NA,Yes,4,City or Municipal Government,Sheffield,UK,1,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=1_f_Bu4hP49CbOHnWqH0fVdUtNBXQcHlr,There are no more emissions reduction impacts in this article.,Avoided fossil fuel generation emissions,,,,Yes,No,
107550,1,30,12,5056.82,tons,1,2019,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Achieved/Ex Post,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,2,30,12,5143,tons,1,2020,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,3,30,12,6214.84,tons,1,2021,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,4,30,12,7119.88,tons,1,2022,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,5,30,12,8075.61,tons,1,2023,No,25,Energy Internet ,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,6,30,12,9083.96,tons,1,2024,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,7,30,12,10076,tons,1,2025,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
107550,8,30,12,10947.1,tons,1,2026,No,25,Energy Internet,"Smart grid, Smart meters, intelligent controls, thermostats, building information and monitoring systems",Electricity and heat,Energy system,Energy system,Potential/Ex Ante,System dynamics,Vensim,No,NA,Regional Government,Beijing Yanqing,China,19,No,NA,NA,https://drive.google.com/u/0/open?usp=forms_web&id=12NoMP8Fns2tPQTRzmQbNbtzk0O8XB-b9,I need to record another impact for this article.,"Energy supply efficiencies, energy transmission efficiencies, energy demand efficiencies",,,,Yes,No,
