Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,MtCO2e,883.20,882.54,889.88,887.37,888.37,896.54,703.32,1644.24,871.80,742.24,667.00,479.75,964.03,608.31,956.72,688.04,1087.68,521.32,517.64,899.82,523.82,1017.17,1035.61,1000.68,1338.09,1386.11,755.72,730.90,913.71,1134.28
Brazil,MtCO2e,1388.38,1399.45,1405.50,1407.24,1415.25,1421.29,1404.90,1415.68,1437.75,1433.70,1421.15,1503.40,1534.19,1551.22,1576.05,1583.89,1566.97,1588.22,1567.10,1563.20,1609.42,754.34,759.03,749.71,761.90,768.54,895.28,903.57,884.31,898.64
India,MtCO2e,349.53,356.91,363.41,370.12,378.12,382.58,387.63,392.78,400.06,405.25,398.58,629.21,612.91,627.21,638.68,655.80,670.57,690.04,695.48,696.51,704.24,640.93,640.17,638.68,639.26,642.97,675.02,685.30,693.45,688.54
Democratic Republic of the Congo,MtCO2e,417.79,417.60,417.71,417.61,417.55,417.39,412.86,419.10,420.85,413.05,409.54,400.86,412.65,418.71,421.65,421.41,423.18,415.51,419.03,418.32,420.15,652.82,650.93,652.75,650.91,654.25,654.39,654.50,649.42,651.38
Pakistan,MtCO2e,93.82,95.11,97.28,99.87,101.71,105.29,108.54,111.27,113.53,116.82,118.62,118.75,122.01,125.81,129.10,133.70,141.52,143.77,150.08,156.72,154.75,159.78,160.44,168.36,172.36,176.14,183.67,191.41,195.95,201.41
Myanmar,MtCO2e,197.82,197.27,199.60,201.70,203.33,205.09,202.28,199.89,205.39,209.64,205.70,186.05,184.72,193.91,207.10,197.77,203.14,211.87,201.38,211.82,216.05,185.91,191.17,191.95,195.98,200.22,190.76,192.68,197.61,196.59
Argentina,MtCO2e,164.07,162.85,164.49,162.60,164.19,163.52,163.04,163.19,159.84,163.56,163.41,211.14,214.79,225.00,226.26,225.69,228.94,231.89,229.38,219.01,211.83,182.72,184.77,188.30,188.57,188.12,156.41,163.15,160.62,160.50
United States,MtCO2e,-59.00,-57.89,-50.37,-49.22,-39.43,-41.01,-35.12,-38.20,-38.32,-40.43,-45.91,-33.93,-33.64,-28.98,-27.49,-28.93,-25.22,-21.21,-22.17,-29.11,-27.40,-42.71,-46.02,-46.94,-47.07,-46.89,151.10,151.71,154.72,151.62
Australia,MtCO2e,232.40,230.69,227.24,224.77,226.25,223.53,213.48,215.05,220.01,254.06,264.81,261.22,248.80,173.01,210.47,167.30,210.11,196.47,162.07,172.05,145.66,191.72,191.20,111.45,132.75,123.57,124.03,166.60,163.42,148.88
Colombia,MtCO2e,150.94,150.48,151.01,151.95,152.88,152.88,153.03,152.73,153.37,150.70,151.96,140.36,140.59,142.32,143.61,143.48,143.66,146.72,145.51,145.31,146.69,118.74,115.53,113.46,113.95,113.25,140.43,142.76,147.32,148.43
Ethiopia,MtCO2e,84.25,84.39,85.75,79.12,79.63,79.85,82.04,85.54,90.79,91.39,87.00,92.08,101.10,98.76,100.26,103.72,107.81,116.89,119.82,123.54,128.36,126.98,131.20,133.39,136.86,139.21,142.91,145.31,145.20,146.01
Tanzania,MtCO2e,91.11,91.31,91.30,91.67,91.73,94.92,87.78,87.49,91.65,91.67,88.35,92.69,97.46,105.32,103.01,108.00,102.06,104.17,106.39,108.38,110.20,110.32,113.14,113.69,114.45,119.43,130.59,128.77,127.52,129.67
Nigeria,MtCO2e,87.67,89.34,89.87,90.95,92.18,93.01,104.04,104.25,108.90,107.84,109.65,98.78,99.15,101.07,101.58,105.59,105.47,104.35,104.63,102.43,106.96,110.77,113.61,115.10,116.33,116.89,125.49,128.37,129.49,128.64
Peru,MtCO2e,77.68,77.24,77.09,77.32,78.16,79.09,79.46,79.69,80.39,81.66,81.85,87.00,87.69,88.08,87.93,89.25,88.95,89.73,89.75,90.55,90.65,114.58,114.84,114.74,114.52,114.84,116.02,116.26,116.08,116.39
Mexico,MtCO2e,113.33,111.60,110.94,112.43,112.28,110.55,108.93,109.75,120.09,113.08,113.98,20.73,20.16,22.81,19.28,22.95,21.52,22.41,22.46,23.80,23.88,107.53,106.00,110.16,103.93,105.77,111.30,113.27,112.20,115.51
Bangladesh,MtCO2e,88.23,88.77,89.34,89.47,90.61,92.47,92.46,92.32,91.57,94.36,94.72,95.51,96.55,96.36,95.41,97.26,99.17,99.31,103.61,103.72,104.92,105.82,105.30,105.71,106.75,107.23,105.23,108.48,109.17,108.95
Bolivia,MtCO2e,97.76,98.04,98.39,98.73,99.15,99.54,100.52,101.49,102.26,108.45,99.09,78.19,83.27,79.67,91.19,86.07,86.68,90.45,84.46,82.47,102.46,89.51,88.81,87.28,85.90,88.49,98.04,96.25,96.54,107.08
Zimbabwe,MtCO2e,23.16,21.66,22.25,20.07,20.40,20.44,22.67,22.56,23.31,23.55,22.53,23.41,22.02,21.84,22.32,22.23,21.73,22.27,22.46,23.18,24.09,24.74,24.05,23.45,21.68,23.04,97.91,98.09,98.47,98.67
Chad,MtCO2e,23.32,29.70,30.51,31.33,32.26,33.23,36.35,38.00,42.49,44.25,44.46,46.71,49.23,51.49,53.01,54.78,56.44,59.06,59.86,60.31,63.85,75.60,78.58,80.09,82.48,87.04,89.52,91.25,95.40,97.78
Malaysia,MtCO2e,127.56,127.13,127.47,127.70,127.94,127.63,123.02,125.68,155.08,123.66,124.43,109.69,117.59,118.20,127.91,131.40,119.66,127.44,124.80,142.03,135.33,-91.91,-94.28,-93.81,-75.73,-91.19,98.56,89.79,95.27,97.45
Sudan,MtCO2e,63.29,64.65,68.46,71.61,74.52,75.81,80.48,87.28,94.50,97.67,96.62,83.36,86.68,88.84,90.01,92.89,88.96,92.94,92.41,93.39,90.18,89.68,94.14,94.68,94.56,95.25,96.29,96.07,96.69,96.53
Canada,MtCO2e,114.27,114.65,115.82,116.28,116.45,119.40,125.79,122.20,132.17,124.89,121.48,355.15,356.79,357.48,358.95,360.39,357.48,359.80,358.10,355.99,356.86,192.31,195.00,195.07,194.12,194.25,92.36,93.61,97.39,94.90
Mozambique,MtCO2e,80.29,80.40,80.53,80.69,80.80,80.88,66.56,64.05,66.71,65.41,62.72,80.30,79.87,84.09,82.72,87.27,85.77,87.37,92.15,86.48,94.83,83.20,86.82,87.48,86.34,83.74,92.51,90.55,94.58,90.00
Angola,MtCO2e,53.14,53.22,53.33,53.20,53.17,53.06,54.04,51.88,59.88,56.37,52.05,72.73,76.13,81.43,82.87,83.19,79.51,81.81,80.33,81.80,84.02,83.37,82.35,82.09,81.45,83.76,82.97,86.19,77.22,84.83
Venezuela,MtCO2e,177.22,178.14,178.20,177.56,178.53,178.84,178.51,179.13,181.63,179.93,181.70,123.85,123.57,126.12,125.34,126.81,126.42,127.59,128.24,128.05,123.21,143.29,148.48,149.15,149.23,148.60,82.59,81.37,81.75,82.77
Thailand,MtCO2e,77.90,80.23,81.80,82.70,82.78,80.62,79.02,79.73,79.21,78.86,76.19,31.52,31.60,35.57,39.13,36.58,36.03,43.26,40.53,45.12,48.71,79.86,80.82,77.62,74.14,67.56,85.10,86.85,83.53,80.61
Zambia,MtCO2e,54.18,54.34,54.46,54.28,53.87,53.59,45.15,45.03,46.31,44.98,41.37,46.93,49.92,55.32,55.72,58.01,53.34,56.02,58.02,54.20,60.04,73.63,76.24,77.01,76.86,81.42,79.88,78.29,76.39,78.37
Paraguay,MtCO2e,61.35,60.00,60.51,61.96,62.94,64.30,64.10,64.70,64.56,67.52,63.02,78.87,78.84,80.24,77.93,79.45,79.23,82.56,79.87,81.49,83.31,96.01,97.08,98.36,99.64,99.08,76.71,78.53,76.07,78.11
Philippines,MtCO2e,46.16,46.33,44.72,46.13,49.47,50.94,53.67,53.93,47.66,55.23,55.86,56.35,56.29,57.10,58.81,57.85,57.90,59.44,60.21,61.15,60.62,60.84,61.54,62.31,62.66,61.60,61.60,64.64,63.85,62.83
Vietnam,MtCO2e,-25.04,-22.59,-21.60,-20.36,-17.76,-16.81,-14.55,-14.46,-9.73,-8.52,-7.36,79.87,84.53,83.73,85.87,85.59,85.27,87.54,83.82,89.17,87.39,44.77,45.94,50.87,48.04,50.05,59.74,59.06,58.89,57.26
Cambodia,MtCO2e,23.31,22.95,23.43,24.19,22.91,24.91,21.06,22.24,25.47,24.99,23.24,23.55,25.82,28.05,28.83,26.94,30.03,30.28,29.67,30.45,29.06,92.84,90.70,90.70,89.87,90.47,54.34,54.94,53.45,53.05
South Sudan,MtCO2e,35.35,36.23,38.70,40.75,42.64,43.42,45.82,48.92,52.53,54.18,54.77,48.32,50.48,51.74,52.49,54.26,51.93,54.36,54.02,54.71,52.65,52.40,55.41,54.56,55.02,55.16,59.24,56.70,59.57,51.78
Burkina Faso,MtCO2e,24.31,24.71,24.96,25.17,25.45,25.78,25.64,26.10,26.85,26.73,27.98,29.75,30.40,33.71,34.18,34.74,34.41,34.77,35.26,35.81,36.71,26.32,26.39,27.02,27.33,27.55,46.93,47.13,47.34,47.90
Cameroon,MtCO2e,64.90,64.81,64.84,64.84,64.89,64.86,65.61,65.94,69.35,68.48,69.40,55.17,55.21,57.94,55.20,57.81,55.44,55.15,54.86,54.00,54.76,46.70,46.65,47.19,46.69,46.96,47.42,47.11,46.97,47.20
Papua New Guinea,MtCO2e,33.46,33.47,33.52,33.56,33.60,36.06,35.57,50.15,36.53,37.91,39.27,38.82,39.58,39.29,40.07,39.10,39.01,38.53,37.94,37.75,37.75,44.76,44.79,44.72,44.73,45.85,45.33,45.39,45.88,45.63
Uganda,MtCO2e,27.29,27.68,27.86,28.17,27.87,28.15,28.57,29.70,30.83,30.46,30.09,29.60,30.08,31.63,31.42,32.94,31.03,33.16,39.15,38.97,40.38,40.06,41.55,41.41,41.91,42.87,44.40,45.11,45.45,45.60
