Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,MtCO2e,844.59,896.68,948.43,1024.35,1089.54,1281.12,1194.95,1204.66,1283.85,1154.82,1210.75,1309.03,1389.78,1595.59,2011.35,2500.38,2728.08,2985.69,3153.80,3424.83,3745.77,3997.02,4062.84,4149.22,4209.28,4091.10,3983.48,3844.89,3955.74,4006.06
India,MtCO2e,177.51,184.28,188.83,188.63,201.02,196.45,200.86,221.61,233.79,245.63,252.58,255.45,271.60,264.15,278.89,307.66,341.31,380.46,398.96,455.23,503.42,555.21,553.50,600.01,640.40,645.77,674.35,717.29,729.23,749.16
United States,MtCO2e,771.61,723.61,677.31,695.09,702.46,676.50,685.30,707.55,724.86,709.49,780.00,735.86,696.24,680.45,714.48,685.56,708.41,711.70,687.43,601.41,674.49,656.09,652.07,647.59,659.98,658.41,664.33,660.66,689.36,681.27
Russia,MtCO2e,309.29,273.21,275.72,234.43,193.42,234.82,204.79,194.06,181.41,192.06,221.72,212.71,208.59,196.78,204.46,208.80,206.23,226.13,223.92,207.85,224.38,230.27,280.76,283.65,308.80,307.08,315.95,317.89,305.56,335.46
Japan,MtCO2e,336.76,338.99,337.00,335.79,343.28,354.29,355.81,347.19,317.05,311.10,315.54,300.06,296.92,292.85,288.08,289.79,292.56,288.64,267.69,252.58,265.60,274.93,274.76,279.55,277.02,272.16,268.83,267.75,263.99,255.42
Saudi Arabia,MtCO2e,34.71,34.80,41.17,40.72,47.24,50.35,58.18,54.99,63.77,68.79,71.66,72.91,82.64,85.95,90.33,91.84,100.77,112.24,127.98,134.44,157.54,163.48,161.43,170.10,192.84,200.85,193.83,183.74,188.23,197.34
Indonesia,MtCO2e,37.23,38.35,40.53,44.47,51.90,61.59,62.71,68.50,62.31,76.99,78.70,85.11,81.70,97.31,104.26,104.95,129.17,136.55,117.95,125.79,152.11,163.44,148.97,110.04,120.81,131.91,119.38,135.60,154.66,188.43
South Korea,MtCO2e,68.81,82.65,89.48,101.82,113.21,119.38,126.95,130.67,117.71,129.10,143.76,144.61,139.18,141.91,142.26,132.57,139.49,131.04,136.90,128.87,140.76,143.97,141.62,143.86,140.85,146.47,147.02,148.72,150.04,146.76
Iran,MtCO2e,45.90,54.76,53.87,45.98,51.41,53.61,47.76,53.73,49.82,55.06,56.49,57.65,59.50,63.92,67.39,73.71,78.65,94.24,100.94,102.45,112.46,115.16,119.79,121.26,126.51,120.12,123.47,128.31,132.72,136.42
Vietnam,MtCO2e,7.08,7.92,8.90,9.46,9.85,13.42,14.40,17.30,18.65,19.09,21.04,24.08,27.75,30.21,34.40,37.43,37.99,42.70,52.73,60.41,67.76,74.37,74.08,79.95,88.07,104.38,77.13,87.21,116.32,134.53
Thailand,MtCO2e,22.99,24.86,29.42,36.11,41.91,48.39,54.98,52.05,41.93,47.16,47.49,51.63,57.73,58.80,65.54,69.23,73.72,65.96,70.00,71.41,75.83,74.20,82.69,89.80,93.38,103.87,108.24,115.04,119.36,133.15
Brazil,MtCO2e,67.65,72.99,72.08,75.97,77.81,83.39,89.68,94.26,98.78,104.88,111.06,107.13,111.03,108.95,114.52,113.74,116.59,121.87,124.19,114.06,131.68,141.99,140.38,140.71,139.83,134.41,122.14,127.00,123.20,120.54
Germany,MtCO2e,203.23,178.98,173.05,165.63,169.17,165.99,160.75,156.30,142.03,133.40,133.66,128.85,128.59,132.44,133.39,128.67,130.74,133.86,135.08,121.49,125.08,124.85,121.57,120.35,118.24,121.98,119.87,121.76,124.05,118.50
Turkey,MtCO2e,45.67,49.07,48.84,48.25,45.84,50.08,59.09,63.08,64.81,58.40,75.74,59.93,71.40,79.00,79.15,77.67,88.77,90.48,66.92,73.17,84.54,89.77,92.51,87.55,90.29,91.81,94.80,114.76,119.12,107.52
Mexico,MtCO2e,66.82,65.95,65.85,65.15,67.26,63.36,72.18,73.22,75.17,72.04,73.42,67.68,72.53,73.97,79.69,84.20,95.16,93.88,96.90,84.56,94.98,102.50,96.69,101.13,95.78,104.30,99.31,107.04,98.00,99.33
Canada,MtCO2e,106.10,103.46,100.78,98.85,104.32,105.47,109.44,108.54,102.65,100.17,103.84,96.58,98.73,102.16,106.87,92.24,87.89,88.25,85.98,75.37,79.94,84.74,86.91,84.52,83.85,85.70,90.94,92.86,93.26,93.40
Pakistan,MtCO2e,20.15,19.66,22.46,24.44,24.31,26.09,25.82,25.84,26.71,27.69,27.50,28.25,30.76,36.53,42.40,45.65,50.51,56.92,53.80,54.15,52.76,52.66,51.26,50.49,55.97,60.61,68.80,77.30,80.59,82.73
United Arab Emirates,MtCO2e,29.11,35.90,32.24,32.32,37.10,39.56,41.30,43.24,43.46,42.79,37.49,45.40,41.92,40.38,38.65,40.01,40.32,49.95,61.47,68.60,71.49,72.96,80.29,84.26,81.20,91.69,93.88,82.10,66.19,81.02
