Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,MtCO2e,84.45,88.38,89.08,92.65,96.94,107.21,116.99,124.16,130.61,127.93,129.11,131.73,133.88,131.44,140.62,141.44,144.42,150.50,156.30,153.72,173.76,191.34,209.13,216.76,222.57,207.19,206.17,207.54,199.08,201.00
Canada,MtCO2e,128.56,124.69,129.03,131.06,137.45,141.11,144.49,149.02,151.70,155.52,154.34,152.16,164.17,166.89,171.11,175.39,174.20,180.88,179.16,174.39,179.91,180.44,182.21,187.23,185.58,185.30,185.70,191.05,198.02,197.38
Australia,MtCO2e,63.92,62.42,63.94,65.07,66.75,69.51,72.03,73.42,73.44,74.88,77.18,76.54,78.29,78.60,81.48,81.61,83.55,85.93,87.71,87.09,90.08,92.27,92.96,94.40,94.54,96.78,98.22,100.36,101.84,102.04
Argentina,MtCO2e,29.05,30.71,32.81,35.14,34.62,36.06,42.01,41.96,44.65,41.94,40.78,37.51,34.67,35.43,38.11,38.66,41.56,44.97,47.00,43.09,45.46,47.04,46.22,49.23,45.52,47.82,46.80,48.05,49.41,49.09
Algeria,MtCO2e,16.19,17.28,17.20,17.36,15.89,15.46,15.31,15.35,15.81,16.83,17.21,17.41,19.77,22.19,22.48,24.63,26.11,28.15,29.77,31.14,32.39,34.94,39.47,41.14,44.48,47.45,46.21,45.69,46.48,46.64
Austria,MtCO2e,14.01,15.47,15.49,15.64,15.69,15.90,17.55,16.59,18.74,18.24,18.99,20.50,22.43,24.04,24.38,25.10,23.97,24.17,23.13,22.31,23.13,22.29,22.23,23.71,23.27,23.78,24.60,25.15,25.38,25.67
Belgium,MtCO2e,20.71,20.90,21.74,22.27,22.85,23.00,23.45,23.78,24.52,24.74,25.03,25.85,25.79,26.44,27.40,26.63,27.04,27.89,27.95,27.10,26.43,26.03,25.25,24.75,25.00,26.65,26.42,25.82,25.90,25.65
Czech Republic,MtCO2e,7.13,6.34,8.13,8.17,8.77,7.46,10.39,10.71,11.00,12.11,12.22,13.11,13.66,15.53,16.27,17.58,17.89,18.88,18.74,18.11,17.06,16.94,16.60,16.45,16.98,17.79,18.49,19.04,19.17,19.40
Libya,MtCO2e,6.35,6.40,6.49,7.63,9.07,9.76,10.79,10.35,10.20,11.23,11.42,11.79,12.02,12.20,12.72,13.20,13.31,12.12,13.84,16.03,18.73,13.99,17.36,18.19,20.10,15.61,18.80,17.75,17.30,17.48
Denmark,MtCO2e,10.57,11.21,11.18,11.45,11.90,12.04,12.17,12.30,12.35,12.39,12.34,12.38,12.56,13.04,13.42,13.68,13.89,14.50,14.28,13.55,13.38,13.10,11.97,11.78,11.87,12.40,12.55,12.58,12.78,12.53
Belarus,MtCO2e,11.95,12.74,11.77,9.93,7.02,6.96,7.54,7.92,8.35,7.38,6.68,6.34,6.83,7.05,7.22,8.03,9.42,9.58,10.89,9.93,10.53,11.18,11.99,12.50,11.90,10.66,11.08,11.55,12.15,12.11
Bangladesh,MtCO2e,1.72,1.89,2.18,2.24,2.28,2.75,3.03,3.43,3.51,3.20,3.13,3.91,3.98,4.06,4.69,5.21,5.44,5.56,6.23,6.58,7.63,8.89,8.99,8.49,9.18,9.61,10.18,11.35,12.46,12.09
Bolivia,MtCO2e,2.32,2.44,2.40,2.77,2.88,3.21,3.33,3.16,3.26,3.26,3.01,2.94,2.99,3.19,3.47,3.53,4.77,5.32,5.88,6.31,6.84,7.54,8.08,8.92,9.54,9.78,10.20,10.85,11.34,11.34
Bulgaria,MtCO2e,6.66,3.59,3.95,4.47,4.08,4.34,4.28,4.40,5.57,5.80,5.57,5.74,5.97,6.57,7.11,7.94,8.37,8.10,8.49,8.16,7.94,8.11,8.41,7.45,8.34,9.16,9.28,9.43,9.64,9.77
Azerbaijan,MtCO2e,6.40,4.92,4.13,3.81,3.34,3.44,2.79,3.31,3.08,1.62,2.42,2.67,3.00,3.23,3.87,4.32,4.97,3.89,4.90,4.37,5.09,5.95,6.57,7.48,7.75,6.98,6.51,7.80,8.61,8.51
Angola,MtCO2e,1.04,1.29,1.21,1.24,1.58,1.10,1.01,1.08,0.85,1.18,1.10,1.23,1.52,2.80,3.52,2.53,3.36,3.98,5.31,5.89,5.80,6.41,6.90,7.88,8.13,8.17,8.09,6.87,7.10,8.10
Croatia,MtCO2e,3.67,3.02,2.85,2.99,3.17,3.37,3.33,3.93,4.14,4.42,4.44,4.50,4.81,5.22,5.38,5.57,5.93,6.37,6.30,6.26,6.02,5.90,5.69,5.77,5.71,6.03,6.24,6.72,6.48,6.67
Benin,MtCO2e,0.17,0.13,0.12,0.12,0.12,0.12,0.51,0.70,0.77,0.87,0.95,1.02,1.21,1.41,1.44,1.59,2.02,2.50,2.52,2.89,3.26,3.37,3.51,3.95,4.18,4.70,5.96,6.16,6.93,6.07
Cambodia,MtCO2e,false,false,false,false,false,1.19,1.19,1.24,1.44,1.40,1.36,1.56,1.37,1.39,1.42,1.55,1.66,2.07,2.14,2.78,3.05,3.23,3.41,3.49,3.82,4.21,4.66,4.96,5.42,5.88
Afghanistan,MtCO2e,1.67,1.55,0.77,0.74,0.71,0.68,0.64,0.59,0.55,0.35,0.36,0.38,0.36,0.57,0.58,0.95,1.20,1.29,2.87,3.91,5.97,7.80,6.97,4.86,3.85,4.94,4.18,3.60,4.93,4.94
Albania,MtCO2e,0.72,0.55,0.42,0.52,0.65,0.65,0.64,0.51,0.76,1.44,1.51,1.59,1.82,1.97,2.36,2.44,1.97,2.15,2.34,2.36,2.29,2.40,2.31,2.51,2.53,2.50,2.37,2.38,2.28,2.26
