Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Aalkjaer C., Frische S., Leipziger J., Nielsen S., Praetorius J.","7007162484;6603308740;7003669020;57212505134;6602166706;","Sodium coupled bicarbonate transporters in the kidney, an update",2004,"Acta Physiologica Scandinavica","181","4",,"505","512",,32,"10.1111/j.1365-201X.2004.01324.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043076334&doi=10.1111%2fj.1365-201X.2004.01324.x&partnerID=40&md5=06352918328b346bab4c1ebca4f574a9","Department of Physiology, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark; Institute of Anatomy, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark; Water and Salt Center, Department of Physiology, Aarhus Universitet, Universitetsparken, 8000 Aarhus C, Denmark","Aalkjaer, C., Department of Physiology, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark, Water and Salt Center, Department of Physiology, Aarhus Universitet, Universitetsparken, 8000 Aarhus C, Denmark; Frische, S., Institute of Anatomy, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark; Leipziger, J., Department of Physiology, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark; Nielsen, S., Institute of Anatomy, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark; Praetorius, J., Institute of Anatomy, Water and Salt Research Center, Aarhus Universitet, Aarhus, Denmark","Recently five genes have been cloned, which code for sodium dependent bicarbonate transport proteins. These genes belong to the SLC4A gene family. This short review summarizes our knowledge of these gene products with respect to their renal distribution and function. The best characterized members are the SLC4A4 and SLC4A7. SLC4A4 codes for an electrogenic Na+, HCO 3--cotransporter (NBCe1), which is present in the basolateral membranes of proximal tubules and is responsible for the bicarbonate efflux here, and thus about 80% of the renal bicarbonate reabsorption. SLC4A7 codes for an electroneutral NBC (called NBC3 and NBCn1), which is present basolaterally in the thick ascending limb and the distal part of the collecting ducts and in intercalated cells (either apically or basolaterally) in the connecting and collecting tubules. In the thick ascending limb NBCn1 may be important for NH4+ reabsorption. SLCA5 codes for an electrogenic NBC (called NBC4 and NBCe2), which based on RT-PCR is located to the kidney but the exact localization awaits a good antibody. This is also the case for the SLC4A8 and SLC4A10 gene products, which are sodium dependent Cl-, HCO3- exchangers. The recent development in this field substantially increases our understanding of the complex renal regulation of acid base status.","Bicarbonate; Kidney; NBC; pH; Transport","bicarbonate; bicarbonate sodium cotransporter; carrier protein; gene product; sodium dependent chloride bicarbonate exchanger; unclassified drug; acid base balance; basolateral membrane; conference paper; effusion; gene location; genetic code; human; ion transport; kidney collecting tubule; kidney function; kidney proximal tubule; kidney tubule absorption; nonhuman; nucleotide sequence; organ distribution; priority journal; reverse transcription polymerase chain reaction; sodium transport; Acid-Base Equilibrium; Acidosis; Amino Acid Sequence; Animals; Humans; Kidney; Molecular Sequence Data; Rats; Sodium-Bicarbonate Symporters",Conference Paper,"Final","",Scopus,2-s2.0-4043076334
"Abalde J.R., Fagundes P.R., Sahai Y., Pillat V.G., Pimenta A.A., Bittencourt J.A.","7003531087;6602689623;56258835500;6504165829;7005708472;7003845334;","Height-resolved ionospheric drifts at low latitudes from simultaneous OI 777.4 nm and OI 630.0 nm imaging observations",2004,"Journal of Geophysical Research: Space Physics","109","A11","A11308","","",,24,"10.1029/2004JA010560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746395575&doi=10.1029%2f2004JA010560&partnerID=40&md5=465242c149a8a12a39e0cef42a7903cd","Universidade do Vale do Paraiba (UNIVAP), São José dos Campos, São Paulo, Brazil; Instituto Nacional de Pesquisas Espaciais (INPE), São José dos Campos, São Paulo, Brazil; Universidade do Vale do Paraiba (UNIVAP), Av. Shishima Hifumi 2911, CEP 12224-000, Sao Jose dos Campos, São Paulo, Brazil; Instituto Nacional de Pesquisas Espaciais (INPE), Cx. Postal 515, CEP 12201-970, Sao Jose dos Campos, São Paulo, Brazil","Abalde, J.R., Universidade do Vale do Paraiba (UNIVAP), São José dos Campos, São Paulo, Brazil, Universidade do Vale do Paraiba (UNIVAP), Av. Shishima Hifumi 2911, CEP 12224-000, Sao Jose dos Campos, São Paulo, Brazil; Fagundes, P.R., Universidade do Vale do Paraiba (UNIVAP), São José dos Campos, São Paulo, Brazil, Universidade do Vale do Paraiba (UNIVAP), Av. Shishima Hifumi 2911, CEP 12224-000, Sao Jose dos Campos, São Paulo, Brazil; Sahai, Y., Universidade do Vale do Paraiba (UNIVAP), São José dos Campos, São Paulo, Brazil, Universidade do Vale do Paraiba (UNIVAP), Av. Shishima Hifumi 2911, CEP 12224-000, Sao Jose dos Campos, São Paulo, Brazil; Pillat, V.G., Universidade do Vale do Paraiba (UNIVAP), São José dos Campos, São Paulo, Brazil, Universidade do Vale do Paraiba (UNIVAP), Av. Shishima Hifumi 2911, CEP 12224-000, Sao Jose dos Campos, São Paulo, Brazil; Pimenta, A.A., Instituto Nacional de Pesquisas Espaciais (INPE), São José dos Campos, São Paulo, Brazil, Instituto Nacional de Pesquisas Espaciais (INPE), Cx. Postal 515, CEP 12201-970, Sao Jose dos Campos, São Paulo, Brazil; Bittencourt, J.A., Instituto Nacional de Pesquisas Espaciais (INPE), São José dos Campos, São Paulo, Brazil, Instituto Nacional de Pesquisas Espaciais (INPE), Cx. Postal 515, CEP 12201-970, Sao Jose dos Campos, São Paulo, Brazil","Transequatorial F region plasma bubbles are large-scale ionospheric depleted regions that develop in the bottomside of equatorial F region due to plasma instability processes. Simultaneous all-sky imaging observations of the OI 630.0 nm and OI 777.4 nm nightglow emissions were carried out at São José dos Campos (23.21°S, 45.86°W; dip latitude 17.6°S), Brazil, during the years 2000 and 2001, a period of high solar activity. In this work we present and discuss the height-resolved nocturnal F region zonal drift velocities obtained from plasma bubbles observed in imaging observations of these two emissions for several days of 2000 and 2001. It should be pointed out that the two emissions result from different excitation mechanisms (OI 630.0 nm by dissociative recombination of O2+ and OI 777.4 nm by radiative recombination of O+) and come from different F region heights, separated by ∼50-80 km. We have investigated the nighttime zonal plasma drift variations using fixed emission peak altitudes, used by earlier investigators, as well as emission peak altitudes based on simultaneous ionospheric sounding observations. The average maximum and minimum zonal plasma drift velocities inferred for both the emissions, using emission peak altitudes based on simultaneous ionospheric observations, (OI 630.0 nm: 172 ± 2 and 89 ± 15 m/s; OI 777.4 nm: 184 ± 12 and 103 ± 16 m/s) are lower and with less scatter than those using fixed emission peak altitudes (OI 630.0 nm: 185 ± 10 and 104 ± 18 m/s; OI 777.4 nm: 202 ± 19 and 121 ± 20 m/s). Also, the nocturnal variations of the zonal plasma drift velocities obtained for the two emissions with peak altitudes based on simultaneous ionospheric observations show better agreement than for the case with fixed emission peak altitudes (h = 380 km for OI 777.4 nm and h = 300 km for OI 630.0 nm). Copyright 2004 by the Geophysical Union.","Ionospheric plasma bubbles; Ionospheric plasma drifts; OI 777.4 nm and OI 630.0 nm emissions",,Article,"Final","",Scopus,2-s2.0-33746395575
"Abidov A.A., Dolgopolov F.G.","7004024565;6506820467;","The mixed genetic scheme of natural hydrocarbon synthesis: A principle model",2004,"Doklady Earth Sciences","396","4",,"543","545",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043097579&partnerID=40&md5=6c400f19a74d79740475379179b2f6aa","NKhK Uzbekneftegas, Uzbekistan; OAO UzLITIneftgas, Uzbekistan","Abidov, A.A., NKhK Uzbekneftegas, Uzbekistan; Dolgopolov, F.G., OAO UzLITIneftgas, Uzbekistan","The development of the mixed genetic scheme of the natural HC synthesis on the basis of the factual material from five petroliferous regions in Uzbekistan has shown that the proposed method may be applied to other petroliferous provinces of the world without any restriction. In applied terms, this leads to the reappraisal of their resources and determination of new strategic targets for geological exploration. © 2004 by MAIK ""Nauka/Interperiodica"" (Russia).",,"hydrocarbon exploration; hydrocarbon generation; Asia; Eurasia; Uzbekistan; West Asia",Article,"Final","",Scopus,2-s2.0-4043097579
"Abraham S.","7202507389;","The Bush administration's approach to climate change",2004,"Science","305","5684",,"616","617",,23,"10.1126/science.1098630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3442900460&doi=10.1126%2fscience.1098630&partnerID=40&md5=429c4b85379f3838dfeed3eb75b360cc","1000 Independence Avenue, SW, Washington, DC 20585, United States","Abraham, S., 1000 Independence Avenue, SW, Washington, DC 20585, United States",[No abstract available],,"climate change; climate change; cost effectiveness analysis; economic development; exhaust gas; global climate; government; greenhouse effect; policy; priority journal; short survey; North America; United States",Short Survey,"Final","",Scopus,2-s2.0-3442900460
"Abrol D.P.","6603359108;","Introduction of Apis mellifera in Jammu and Kashmir: Present status and future prospects",2004,"Bee World","85","2",,"37","40",,,"10.1080/0005772X.2004.11099616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142535291&doi=10.1080%2f0005772X.2004.11099616&partnerID=40&md5=4363c6dfd5857670ccf1b7d4f4bc9cdc","Division of Entomology, Faculty of Agriculture, Sher-e-Kashmir Univ. Agric. Sci. T., Udheywalla, Jammu 180 002, Jammu and Kashmir, India","Abrol, D.P., Division of Entomology, Faculty of Agriculture, Sher-e-Kashmir Univ. Agric. Sci. T., Udheywalla, Jammu 180 002, Jammu and Kashmir, India","The state of Jammu and Kashmir is one of the most important beekeeping areas in India. At least four agroclimatic zones ranging from low altitude subtropical, intermediate, temperate and cold alpine occur. Temperatures range from -45° to 45°C and above. Such diversity of geographical features plays a dominant role in determining the topography, climate and plant species present in the region. It offers great potential for both migratory and non-migratory beekeeping.",,"Apis; Apis mellifera",Review,"Final","",Scopus,2-s2.0-3142535291
"Adamkiewicz G., Ebelt S., Syring M., Slater J., Speizer F.E., Schwartz J., Suh H., Gold D.R.","23569191100;6507185333;6506036644;57213488156;35380894300;7404276367;7201380170;35418579900;","Association between air pollution exposure and exhaled nitric oxide in an elderly population",2004,"Thorax","59","3",,"204","209",,94,"10.1136/thorax.2003.006445","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542405174&doi=10.1136%2fthorax.2003.006445&partnerID=40&md5=8b03570f4d914c6f669b3cc30592842b","Exposure, Epidemiol. and Risk Prog., Harvard School of Public Health, 401 Park Drive, Boston, MA 02115, United States; Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States; Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States; Department of Chemistry, Franciscan Univ. of Steubenville, Steubenville, OH, United States","Adamkiewicz, G., Exposure, Epidemiol. and Risk Prog., Harvard School of Public Health, 401 Park Drive, Boston, MA 02115, United States, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States; Ebelt, S., Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States; Syring, M., Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States; Slater, J., Department of Chemistry, Franciscan Univ. of Steubenville, Steubenville, OH, United States; Speizer, F.E., Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States, Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States; Schwartz, J., Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States, Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States; Suh, H., Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States; Gold, D.R., Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, MA 02115, United States, Exposure, Epidemiol. and Risk Prog., Department of Environmental Health, Harvard School of Public Health, Boston, MA, United States","Background: Animal models suggest that the cardiovascular effects of air pollution result in part from inflammation caused by proinflammatory mediators originating in the lung. In a human study of the cardiovascular effects of air pollution, we aimed to evaluate the potential association between air pollution levels and the fraction of exhaled nitric oxide (FENO), a non-invasive measure of airway inflammation. Methods: Breath samples were collected weekly between September and December 2000 in a community based group of elderly subjects (median age 70.7 years) in Steubenville, Ohio. The samples were analysed for NO. Air pollution levels were measured concurrently at a central site monitor. Results: An increase in the 24 hour average PM 2.5 concentration of 17.7 μg/m3 was associated with an increase in FENO of 1.45 ppb (95% Cl 0.33 to 2.57) in models adjusted for subject, week of study, day of the week, hour of the day, ambient barometric pressure, temperature, and relative humidity. This represents a change of approximately 15% compared with the mean FENO in the cohort (9.9 ppb). A significant association was also observed for a 24 hour moving average of ambient NO (0.83 ppb increase, 95% Cl 0.26 to 1.40). In two-pollutant models, the magnitude and precision of the PM2.5 effect was not reduced and the ambient NO effect was no longer significant. The associations between FENO and PM2.5 were significantly higher in subjects with a doctor's diagnosis of COPD (p value for interaction = 0.03). Conclusions: Ambient pollution may lead to airway inflammation as measured by FENO. These subclinical inflammatory changes may be an important step in the pathogenesis of the cardiopulmonary effects induced by exposure to air pollution.",,"nitric oxide; accuracy; adult; aged; air pollution; air temperature; airway; ambient air; article; association; atmospheric pressure; biological monitoring; breath analysis; chronic obstructive lung disease; cohort analysis; community; comparative study; concentration response; controlled study; correlation analysis; environmental exposure; exhalation; experimental model; female; fractionation; human; humidity; inflammation; male; measurement; normal human; priority journal; reduction; sampling; statistical significance; Aged; Air Pollutants; Asthma; Breath Tests; Cardiovascular Diseases; Cohort Studies; Humans; Nitric Oxide; Ohio; Pulmonary Disease, Chronic Obstructive",Article,"Final","",Scopus,2-s2.0-1542405174
"Agbon I.S.","6602263632;","Evaluating environmental performance indicators with fuzzy sets",2004,"International Conference on Health, Safety and Environment in Oil and Gas Exploration and Production",,,,"1111","1117",,,"10.2523/86769-ms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942589030&doi=10.2523%2f86769-ms&partnerID=40&md5=5bf5e9d1316f1d7e784f6364a7f7e1e4","Petroleum Services Inc.","Agbon, I.S., Petroleum Services Inc.","Environmental Indicators include Environmental Condition Indicators and Environmental Performance Indicators. The Environmental Performance Indicators are made up of the Management Performance Indicators and the Operational Performance Indicators (OPI). Many oil and gas companies have identified major OPI which are measured periodically. OPI data of the same type, but from different sources, are often aggregated. However, it has not been possible to aggregate OPI data of different types, units and sources into a unified measurement that can be used for environmental performance evaluation and monitoring. It has been difficult to decide if the environmental performance is better with a reduction of greenhouse gasses emissions or an increase in water quality. This paper develops a fuzzy model that captures the total impact of different OPI with different units and from different sources. OPI such as Carbon Dioxide Emissions per Capita, Arable Land Area, BOD in Water, Concentration of Faecal Coliforms, the Nickel Vanadium Ratio and the Generation of Industrial/Municipal Waste are used as input variables into the fuzzy model. Membership functions are derived for these input variables and fuzzy rules are used to generate an output variable. The output variable is a General Environmental Operational Performance Index (GEOPI). The GEOPI allows the overall environmental performance to be measured and monitored. Finally, it allows the total impact of alternative targets, remedial actions and programs to be optimized in the face of limited funds and budgetary constraints.",,"Carbon dioxide; Crude petroleum; Decision making; Environmental impact; Fuzzy control; Fuzzy sets; Gas emissions; Mathematical models; Natural gas; Optimization; Potable water; Sustainable development; Emission reduction; Fuzzy models; Operational performance indicators (OPI); Petroleum industry",Conference Paper,"Final","",Scopus,2-s2.0-2942589030
"Agrell J., Anderson P., Oleszek W., Stochmal A., Agrell C.","7003788918;16485957900;7003327554;6701655265;6603646341;","Combined effects of elevated CO2 and herbivore damage on alfalfa and cotton",2004,"Journal of Chemical Ecology","30","11",,"2309","2324",,42,"10.1023/B:JOEC.0000048791.74017.93","https://www.scopus.com/inward/record.uri?eid=2-s2.0-19444381536&doi=10.1023%2fB%3aJOEC.0000048791.74017.93&partnerID=40&md5=6d1632c4910f3328aa42e9986147d5c6","Department of Animal Ecology, Ecology Building, Lund University, S-223 62 Lund, Sweden; Department of Crop Science, Swedish University of Agricultural Sciences, SE-230 53 Alnarp, Sweden; Department of Biochemistry, Institute of Soil Science and Plant Cultivation, 24-100 Pulawy, Poland; Department of Chemical Ecology and Ecotoxicology, Lund University, SE-223 62 Lund, Sweden","Agrell, J., Department of Animal Ecology, Ecology Building, Lund University, S-223 62 Lund, Sweden; Anderson, P., Department of Crop Science, Swedish University of Agricultural Sciences, SE-230 53 Alnarp, Sweden; Oleszek, W., Department of Biochemistry, Institute of Soil Science and Plant Cultivation, 24-100 Pulawy, Poland; Stochmal, A., Department of Biochemistry, Institute of Soil Science and Plant Cultivation, 24-100 Pulawy, Poland; Agrell, C., Department of Chemical Ecology and Ecotoxicology, Lund University, SE-223 62 Lund, Sweden","We examined herbivore-induced responses of alfalfa (Medicago sativa) and cotton (Gossypium hirsutum) under different CO2 conditions. Plants were grown under ambient (350 ppm) or elevated (700 ppm) CO2 levels, and were either damaged or undamaged by Spodoptera littoralis larvae. At harvest, growth of undamaged (control) plants was determined, and foliar chemical composition of both undamaged and damaged plants was analyzed. Cotton grew faster overall and showed a greater increase in growth in response to CO2 enrichment than did alfalfa. Elevated CO2 levels increased starch and decreased nitrogen levels in damaged alfalfa and undamaged cotton plants. Alfalfa saponin levels were significantly increased by elevated CO2 and damage. Regarding specific saponins, medicagenic acid bidesmoside (3GlcA,28AraRhaXyl medicagenate) concentrations were reduced by high CO2, whereas zanhic acid tridesmoside (3GlcGlcGlc,23Ara, 28AraRhaXylApi Za) levels were unaffected by the treatments. Soyasaponin I (3GlcAGalRha soyasapogenol B) was only detected in minute amounts. Alfalfa flavonoid analyses showed that total flavonoid levels were similar between treatments, although free apigenin increased and apigenin glucoside (7-O-[2-O-feruloyl-β-D-glucuronopyranozyl (1→2)-O-β-D- glucuronopyranozyl]-4′-O-β-D-glucuronopyranozide apigenin) decreased in CO2-enriched plants. In cotton, herbivore damage increased levels of total terpenoid aldehydes, gossypol, hemigossypolone, the heliocides H1 and H4, but not H2 and H3, whereas CO2 enrichment had no effect. These results demonstrate that combined effects of CO2 and herbivore damage vary between plant species, which has implications for the competitive balance within plant communities. © 2004 Springer Science+Business Media, Inc.","Alfalfa; CO2 enrichment; Cotton; Flavonoids; Induced response; Phytochemistry; Saponins; Secondary compounds; Terpenoid aldehydes","alfalfa; carbon dioxide enrichment; climate change; cotton; pest damage; phytochemistry; plant-herbivore interaction; Ara; Gossypium hirsutum; Medicago sativa; Spodoptera littoralis; apigenin; carbon dioxide; flavonoid; glucoside; medicagenic acid; nitrogen; saponin; triterpene; alfalfa; animal; armyworm; article; chemistry; cotton; drug effect; feeding behavior; host parasite interaction; larva; metabolism; parasitology; physiology; plant leaf; Animals; Apigenin; Carbon Dioxide; Feeding Behavior; Flavonoids; Glucosides; Gossypium; Host-Parasite Relations; Larva; Medicago sativa; Nitrogen; Plant Leaves; Saponins; Spodoptera; Triterpenes",Article,"Final","",Scopus,2-s2.0-19444381536
"Aguiar P., Chadwick D., Kershenbaum L.","23966379400;7201357453;56630486600;","Effect of methane slippage on an indirect internal reforming solid oxide fuel cell",2004,"Chemical Engineering Science","59","1",,"87","97",,21,"10.1016/j.ces.2003.09.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347542384&doi=10.1016%2fj.ces.2003.09.022&partnerID=40&md5=bb2ed9ad7500e9c72160e398cf74ad41","Dept. of Chem. Eng./Chem. Technol., Imperial Coll. Sci., Technol./Med., London SW7 2BY, United Kingdom","Aguiar, P., Dept. of Chem. Eng./Chem. Technol., Imperial Coll. Sci., Technol./Med., London SW7 2BY, United Kingdom; Chadwick, D., Dept. of Chem. Eng./Chem. Technol., Imperial Coll. Sci., Technol./Med., London SW7 2BY, United Kingdom; Kershenbaum, L., Dept. of Chem. Eng./Chem. Technol., Imperial Coll. Sci., Technol./Med., London SW7 2BY, United Kingdom","Creation of an autothermal system by coupling an endothermic to an exothermic reaction demands matching the thermal requirements of the two reactions. The application studied here is the operation of a solid oxide fuel cell (SOFC) with both direct (DIR) and indirect (IIR) internal reforming of methane. Such internal reforming within a high-temperature fuel cell module can lead to an overall autothermal operation which simplifies the system design and increases efficiency. However, such coupling is not easy to achieve because of the mismatch between the thermal load associated with the rate of steam reforming at typical SOFC temperatures and the local amount of heat available from the fuel cell reactions. Previous results have shown that the use of typical metal-based (e.g. Ni) IIR catalysts leads to full methane consumption but undesirable local cooling at the reformer entrance and the use of less active IIR catalysts (e.g. non-metals or diffusion limited nickel) leads to methane being carried-over into the SOFC anode (methane slippage). In order to evaluate performance in the latter case, a combined DIR and IIR SOFC steady-state model has been developed. Simulation results have shown that, lowering the IIR catalyst activity to prevent local cooling effects at the reformer entrance is not adequate, as the fast kinetics of the direct reforming reaction then lead to full methane conversion and steep temperature gradients in the first 10% of the fuel channel length. It is shown that the simultaneous reduction of the anode DIR reaction rate improves performance considerably. The system behaviour towards changes in current density, operating pressure, and flow configuration (counter-flow vs. co-flow) has been studied. Reduction of both DIR and IIR catalyst activity combined with a counter-flow operation leads to the best performance. System performance with an IIR oxide-based catalyst is also evaluated. © 2003 Elsevier Ltd. All rights reserved.","Direct and indirect internal reforming; Modelling; SOFCs; Steam reforming","Anodes; Catalysts; Computer simulation; Cooling; Diffusion; Methane; Autothermal system; Exothermic reaction; Solid oxide fuel cells; fuel cell",Article,"Final","",Scopus,2-s2.0-0347542384
"Ahmedna M., Marshall W.E., Husseiny A.A., Goktepe I., Rao R.M.","6603604277;35585283100;7004040773;6602414771;7403068788;","The use of nutshell carbons in drinking water filters for removal of chlorination by-products",2004,"Journal of Chemical Technology and Biotechnology","79","10",,"1092","1097",,21,"10.1002/jctb.1087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5044230478&doi=10.1002%2fjctb.1087&partnerID=40&md5=7fcacf89b15dffc8c0a6afeefc33151b","Dept. Human Environ./Family Sciences, North Carolina A/T State University, Greensboro, NC, United States; Commodity Utilization Research Unit, Southern Regional Research Center, USDA-ARS, New Orleans, LA, United States; Technol. Intl. Inc. of Virginia Inc., LaPlace, LA, United States; Department of Food Science, Louisiana State University, Baton Rouge, LA, United States","Ahmedna, M., Dept. Human Environ./Family Sciences, North Carolina A/T State University, Greensboro, NC, United States, Technol. Intl. Inc. of Virginia Inc., LaPlace, LA, United States; Marshall, W.E., Commodity Utilization Research Unit, Southern Regional Research Center, USDA-ARS, New Orleans, LA, United States; Husseiny, A.A., Technol. Intl. Inc. of Virginia Inc., LaPlace, LA, United States; Goktepe, I., Dept. Human Environ./Family Sciences, North Carolina A/T State University, Greensboro, NC, United States, Technol. Intl. Inc. of Virginia Inc., LaPlace, LA, United States; Rao, R.M., Department of Food Science, Louisiana State University, Baton Rouge, LA, United States","Chlorination of drinking water is a common practice, used by numerous municipalities in the United States (US) to safeguard their water supplies. However, the chlorine used can chemically react with organic components in the drinking water to produce unwanted chlorination by-products. The objective of this investigation was to evaluate the use of granular activated carbon produced from nutshells (almond, English walnut, pecan) in a point-of-use (POU) water filtration system designated 'Envirofilter' and to determine its efficacy in removing select, potentially carcinogenic chlorination by-products, namely the trihalomethanes (THMs) bromodichloromethane, bromoform and dibromochloromethane. The POU water filtration system that contained the nutshell-based carbons was designated 'Envirofilter' and adsorption efficiencies of this system were compared to that of four commercially available POU home water filter systems, namely, BRITA, Omni Filter, PUR and Teledyne Water Pik. Eight different 'Envirofilters' were constructed of individual or binary mixtures of carbons produced from acid-activated almond or pecan shells and steam-activated pecan or walnut shells and evaluated for adsorption of the three chlorination by-products. The results indicate that only two of the eight 'Envirofilters' failed to remove more THMs than the commercial POU systems. In both cases, these filters contained carbons with either 100% acid-activated almond shells or 100% acid-activated pecan shells. All six of the other filters contained carbons with either 50% or 100% steam-activated pecan shells or steam-activated walnut shells. Therefore, 'Envirofilters' appeared to depend on the presence of steam-activated nutshell carbons for their success. The six effective 'Envirofilters' reduced THM levels to below the Maximum Contaminant Levels (MCL) required by the US Environmental Protection Agency (US EPA). Based on these results, these six 'Envirofilters' may be considered as a replacement for existing commercial filter systems because of their efficacy and projected cost. © 2004 Society of Chemical Industry.","Bromodichloromethane; Bromoform; Dibromochloromethane; Granular activated carbon; Nutshells; Point-of-use water filter","Contamination; Environmental protection; Potable water; Water filtration; Water supply; Envirofilters; Maximum Contaminant Levels (MCL); Point-of-use (POU) water filteration system; Water filters; Chlorination; activated carbon; bromoform; carbon; carcinogen; dibromochloromethane; drinking water; phosphoric acid; trihalomethane; activated carbon; dechlorination; drinking water; filter; adsorption; almond; article; biofilter; biofiltration; chlorination; controlled study; cost; intermethod comparison; pecan; United States; walnut; waste component removal; water treatment; Carya illinoinensis; Juglans; Juglans regia; Prunus dulcis",Article,"Final","",Scopus,2-s2.0-5044230478
