Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Abbott L.K., Murphy D.V.","35568044300;7404062966;","What is soil biological fertility?",2007,"Soil Biological Fertility: A Key to Sustainable Land Use in Agriculture",,,,"1","15",,35,"10.1007/978-1-4020-6619-1_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889980451&doi=10.1007%2f978-1-4020-6619-1_1&partnerID=40&md5=2635665f246cabab89afa59964332cac","Faculty of Natural and Agricultural Sciences, School of Earth and Geographical Sciences, University of Western Australia, Crawley, 6009, WA, Australia","Abbott, L.K., Faculty of Natural and Agricultural Sciences, School of Earth and Geographical Sciences, University of Western Australia, Crawley, 6009, WA, Australia; Murphy, D.V., Faculty of Natural and Agricultural Sciences, School of Earth and Geographical Sciences, University of Western Australia, Crawley, 6009, WA, Australia","There is increasing interest in soil management practices that enhance biological contributions to soil fertility due to greater awareness of the need for sustainable farming systems (e.g. Lynam and Herdt 1989, Dick 1992, Roper and Gupta 1995, Doran et al. 1996, Swift 1997, Condron et al. 2000, Mäder et al. 2002, von Lützow et al. 2002). This has occurred due to the requirement for better fertiliser use efficiency which is essential in: i) developing nations where cost and availability constrain production (Swift 1997) and ii) many developed nations where public concern over environmental pollution from agricultural sources and associated government legislation restricts gaseous losses and nutrient leaching (e.g. N: Hatch et al. 2002, P: Leinweber et al. 2002). There has been a considerable decline in soil organic matter levels and associated loss of soil structure in many intensively cropped soils throughout the world. This has caused scientists and landowners to consider more carefully how various components of the farming system can be managed to more efficiently benefit from biological processes that improve soil fertility. Soil biological processes are extremely diverse and complex (Lavelle and Spain 2001). Physical and chemical soil characteristics, climate, plant communities and agricultural practices influence soil biology in a magnitude of ways, with both positive and negative influences on the overall fertility of soil. This level of complexity constrains our ability to assess or predict the biological state of soil through measures of abundance of organisms or their activity (Pankhurst et al. 1997). The current inability to predict the outcome of a change in agricultural management on soil biological processes, with a subsequent understanding of what this means in terms of production or the environment, is a major constraint to the successful design of farming systems that harness the biological potential of soil. Many studies have attempted to define the biological status of soil using simple indicator measurements (Doran and Parkin 1994, Gregorich et al. 1994, Franzluebbers et al. 1995, Pankhurst et al. 1995, Walker and Reuter 1996, Stenberg 1999). Whilst this is appealing to scientists, land holders and policy makers, it is extremely difficult to find correlations between potential indicators and crop production, long-term sustainability and environmental impact. Part of this difficulty has been with understanding how organisms and the functions that they perform interact with chemical and physical soil attributes in agricultural soils to regulate crop production and influence the longer-term status of the soil resource. Due to spatial and temporal heterogeneity and the enormous diversity displayed in soil biological characteristics, it is not easy to use them to define 'best practice' for land management. The focus of this book is thus to provide an overview of a range of biological processes that contribute to soil fertility and to discuss the manner in which management practices influence soil biological fertility. With the complexity of these biological processes in mind, the impact of major management options and farming systems on soil biological processes can be addressed. The consequence of this is the basis for sustainable use of the whole soil resource, which demands equal consideration of biological, physical and chemical contributions to soil fertility. Inclusion of information about soil biological fertility in farm management decision-making should allow more precision in selecting inputs that complement the capacity of a soil to sustain production and minimise environmental damage such as might be caused by nutrient loss. If the type of production at a site is changed, different biological, physical and chemical states might be required to sustain the soil resource there, depending on the production system in place. A set of biological characteristics necessary for sustaining the soil resource at a particular site cannot be prescribed because different farming systems, or even different stages in the same farming system, might require differences in soil biological fertility. Therefore, a suite of soil biological characteristics needs to be defined for each land use category according to the soil type and climatic conditions. © 2007 Springer.",,,Book Chapter,"Final","",Scopus,2-s2.0-84889980451
"Abniki F., Bakhshi E.","23033384900;23033529900;","Energy storage by modeling a cooling system",2007,"2007 AIChE Spring National Meeting",,,,"","",1,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349084138&partnerID=40&md5=8819d7bbaee643845f9636f60276c71b","National Petrochemical Company, Ghadir Group, Tehran, Iran; R and D Center of National Petrochemical Company, Tehran, Iran","Abniki, F., National Petrochemical Company, Ghadir Group, Tehran, Iran; Bakhshi, E., R and D Center of National Petrochemical Company, Tehran, Iran","Latent heat ""cold storage"" has been proposed as a means of leveling air conditioning loads in hot climates. One scheme, which is being commercialized, uses latent heat to store waste heat from an automobile engine so that it may be used to preheat the engine in cold climates following being off for more than several hours. In a typical packed bed regenerator, far greater amounts of energy can be stored if the packing were replaced with material which changes phase and stores energy as latent heat. In this case, the heat storage medium is some means of containing or supporting the phase change materials, PCM, must be provided since the material can flow when it is in the liquid state. A computational scheme for the prediction of temperature profiles within the bed and the outlet fluid temperature was presented. This is an abstract of a paper presented at the AIChE Spring National Meeting (Houston, TX 4/22-27/2007).",,,Conference Paper,"Final","",Scopus,2-s2.0-57349084138
"Abraha M.","56593322400;","Geothermal exploration opportunities",2007,"Transactions - Geothermal Resources Council","31",,,"41","45",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58449091239&partnerID=40&md5=df1b0d4847fc7955a7c0c8bb32dd8ce5","Ministry of Energy and Mines, Department of Mines, Asmara, Eritrea","Abraha, M., Ministry of Energy and Mines, Department of Mines, Asmara, Eritrea","The Government of Eritrea is entirely dependent on imported oil for the production of its electricity. As a result, the production of geothermal electricity will decrease foreign exchange expenditures, as well as provide energy security and decrease greenhouse gas emissions. The government has established a conducive environment for Independent Power Producers (IPPs) and investors. It sees its role as bringing project opportunities to the point where private sector companies and investors will become involved, carry them through to completion and ensure long term operation and sustainability. Results of previous work carried out by the Ministry of Energy and Mines (MEM) of Eritrea and the US Geological Survey (with the financial support of USAID) at the Alid Volcanic area strongly suggest the presence of a hot upper crustal magmatic or plutonic body beneath Alid Mountain. The MEM/USGS study determined that the overall temperature and permeability conditions of the area were favorable for the existence of an electrical grade geothermal resource. The Government of Eritrea wishes to pave the way for geothermal-based rural electrification through the installation of a pilot geothermal power plant at Alid and the identification of new prospects for additional geothermal plants in the future. The Government feels the best way to do this is to pursue a two pronged program that builds on the earlier work at Alid and includes: (A) siting and drilling between 1-3 geothermal exploration wells and carrying out the related resource analysis and modeling at Alid; and (B) implementing a geothermal reconnaissance survey to outline potential geothermal resources in the Nabro-Dubbi region in the eastern lowlands of Eritrea (along the Red Sea) where geothermal manifestations (fumaroles) have been identified. The regional survey should include appropriate geological, geochemical, and geophysical surveys.","Alid; Eritrea; Exploration opportunities; Geothermal; Investment opportunities; Nabro-Dubbi","Analytical geochemistry; Economics; Electric utilities; Gas emissions; Geological surveys; Geothermal fields; Geothermal heating; Geothermal power plants; Geothermal prospecting; Global warming; Greenhouse gases; Heat pump systems; Investments; Leakage (fluid); Minerals; Natural resources exploration; Offshore oil wells; Petroleum reservoir engineering; Pumps; Renewable energy resources; Rural areas; Wells; Alid; Eritrea; Exploration opportunities; Geothermal; Investment opportunities; Nabro-Dubbi; Geothermal energy",Conference Paper,"Final","",Scopus,2-s2.0-58449091239
"Agapides N., Bawden K.","24330917800;24330973600;","A new air emissions inventory for the greater metropolitan region in NSW",2007,"Proc. 14th International Union of Air Pollution Prevention and Environmental Protection Associations (IUAPPA) World Congress 2007, 18th Clean Air Society of Australia and New Zealand (CASANZ) Conf.",,,,"","",11,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349133314&partnerID=40&md5=5f8eb808a62e1a722fe0c23c3bea1b9f","Department of Environment and Conservation NSW, Sydney, NSW 2000, Australia; Pacific Air and Environment Pty. Ltd., South Brisbane, QLD 4101, Australia","Agapides, N., Department of Environment and Conservation NSW, Sydney, NSW 2000, Australia; Bawden, K., Pacific Air and Environment Pty. Ltd., South Brisbane, QLD 4101, Australia","Department of Environment and Conservation (NSW) (DEC) has developed a new air emissions inventory for the 2003 calendar year, incorporating an area including greater Sydney, Newcastle and Wollongong, known as the Greater Metropolitan Region (GMR) in NSW. Emissions from all major sources of air pollutants have been estimated, including: biogenic; commercial; domestic; industrial; off-road mobile; and on-road mobile. Emissions have been estimated for a comprehensive suite of substances, including: criteria pollutants; organic air toxics; metal air toxics; organic speciation for photochemical modelling; polycyclic aromatic hydrocarbons (PAH); and dioxins and furans. The Emissions Data Management System (EDMS) v1.0 contains the emissions inventory data within a Microsoft® Access 2003/SQL Server 2005 based software package which includes several features, including: environmental reporting by region and local government area (LGA); emissions forecasting up to the year 2031; charting emissions; emissions modelling to test out policy scenarios; air pollution modelling; source and pollutant prioritisation using toxicity and photochemical smog forming potential; and emissions data visualisation. This paper provides an overview of: the methodologies used to develop the air emissions inventory; some key findings; and specific features contained within EDMS v1.0.","Air pollution modelling; Emissions database; Emissions forecasting; Emissions inventory; Emissions modelling","Air quality; Mathematical models; Polycyclic aromatic hydrocarbons; Toxicity; Air pollution modeling; Emissions database; Emissions forecasting; Emissions inventory; Emissions modeling; Particulate emissions",Conference Paper,"Final","",Scopus,2-s2.0-44349133314
"Agrawal D., Roy R., Sato M.","55904260300;7402945440;37063742600;","Microwave in metallurgy: A new ERA based on extraordinary discoveries",2007,"Advances in Powder Metallurgy and Particulate Materials - 2007, Proceedings of the 2007 International Conference on Powder Metallurgy and Particulate Materials, PowderMet 2007",,,,"595","5105",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883434900&partnerID=40&md5=378e232f1a27d763a3f9756bd88e9408","Materials Research Institute, Pennsylvania State University, University Park, PA 16802, United States; National Institute for Fusion Science, Toki-city, Gifu-ken, 509-3292, Japan","Agrawal, D., Materials Research Institute, Pennsylvania State University, University Park, PA 16802, United States; Roy, R., Materials Research Institute, Pennsylvania State University, University Park, PA 16802, United States; Sato, M., National Institute for Fusion Science, Toki-city, Gifu-ken, 509-3292, Japan","Microwave energy has been in use for a variety of applications for over 50 years. These applications include communication, food processing, wood drying, rubber vulcanization, medical therapy, polymers, etc. In the last two decades microwave heating has also been applied very effectively and efficiently to heat and sinter many ceramics and other materials. Microwave heating is recognized for various advantages such as: time and energy savings, very rapid heating rates, considerably reduced processing cycle time and temperature, fine microstructures and improved mechanical properties, better product performance, etc. Until recently the use of microwaves in materials processing was confined only to ceramics and composites, but in the last 10 years of work on the interaction of microwaves with matter, the Penn State group has revolutionized the science and the technology of microwave processing by applying it to metallic materials. The advances have been described in terms of sintering of powder metals, metal-ceramic composites, brazing/joining and melting of bulk metals, etc. Many commercial powder-metal components of various alloy compositions including iron and steel, copper, aluminum, nickel, Mo, Co, Ti, W, Sn, etc. and their alloys have also been sintered in microwaves using a 2.45 GHz multimode microwave system, producing better properties than their conventional counterparts. In Japan microwave energy has been applied to make steel from iron ore with substantial energy savings and at least 50% reduction in CO 2 emission. The implications of these findings are obvious in the field of powder metal technology.",,"Alloy compositions; Fine microstructure; Materials processing; Metal-ceramic composites; Microwave processing; Product performance; Rubber vulcanization; Sintering of powders; Alloy steel; Aluminum copper alloys; Carbon dioxide; Ceramic materials; Energy conservation; Food processing; Functional polymers; Iron ore reduction; Mechanical properties; Microwaves; Molybdenum; Powder metallurgy; Powder metals; Rubber; Rubber applications; Sintering; Tungsten; Microwave materials processing",Conference Paper,"Final","",Scopus,2-s2.0-84883434900
"Ahmad S.S., Szokolay S.V.","35253529400;6603768776;","The performance of a partially air conditioned apartment building in Kuala Lumpur",2007,"Sun, Wind and Architecture - The Proceedings of the 24th International Conference on Passive and Low Energy Architecture, PLEA 2007",,,,"225","231",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864115153&partnerID=40&md5=246fa9fdeed51bbcbc033d51b8cd9ee2","Department of Architecture, Faculty of Architecture Planning and Surveying, Universiti Teknologi MARA, 40450 Shah Alam, Malaysia; Department of Architecture, University of Queensland, St. Lucia 4072 QLD, Australia","Ahmad, S.S., Department of Architecture, Faculty of Architecture Planning and Surveying, Universiti Teknologi MARA, 40450 Shah Alam, Malaysia; Szokolay, S.V., Department of Architecture, University of Queensland, St. Lucia 4072 QLD, Australia","There is a growing trend for high and medium density housing in Kuala Lumpur, Malaysia to cope with the demand for urban housing. This paper explores the energy performance, thermal performance and low energy design strategies in partially air-conditioned (AC) apartment buildings in Kuala Lumpur. Most apartment dwellers prefer to install AC split units in the master bedrooms and living rooms for cooling which results in huge increases in energy consumption. A study on thermal performance (using simulation software Tas) is conducted on a base case (typically built) apartment unit in a medium rise housing block. Simulations for the living rooms are conducted on the hottest day of the year and the total energy use values are presented in kWh. The effects of operation types (continuous and intermittent), varying the set point temperature (28.6 and 26°C), orientation, insulation, shading, materials and location (floor levels and zones) are analysed. The results show that air-conditioning would be needed only on very hot days. On average days, the use of air conditioning is proven unnecessary as passive cooling can be utilised. Recommended thermostat setting based on 90% acceptability is 23.6 - 28.6°C. Setting the thermostat higher will reduce energy use dramatically. In order to minimise the usage of air conditioners, passive climate control strategies (orientation, shading and insulation) should be adopted. Results show that improvements to the base case can reduce the total energy consumption by two thirds.","Apartment building; Performance analysis; Thermal comfort","Air conditioners; Apartment buildings; Control strategies; Energy performance; Energy use; Floor level; Living room; Low-energy design; Malaysia; Passive cooling; Performance analysis; Set-point temperatures; Simulation software; Thermal Performance; Total energy; Total energy consumption; Urban housing; Air conditioning; Computer software; Energy utilization; Mixed convection; Thermal comfort; Thermostats; Apartment houses",Conference Paper,"Final","",Scopus,2-s2.0-84864115153
"Alazraki R., Haselip J.","14627091800;8684982900;","Assessing the uptake of small-scale photovoltaic electricity production in Argentina: the PERMER project",2007,"Journal of Cleaner Production","15","2",,"131","142",,42,"10.1016/j.jclepro.2005.12.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748942482&doi=10.1016%2fj.jclepro.2005.12.015&partnerID=40&md5=c03c3be7a1c2f1f6422339d33954e9e6","SIGLA Energy Consultants, Salguero 2745, 4th Floor, Buenos Aires, Argentina; Centre for Environmental Policy, Imperial College, London, SW7 2AZ, United Kingdom","Alazraki, R., SIGLA Energy Consultants, Salguero 2745, 4th Floor, Buenos Aires, Argentina; Haselip, J., Centre for Environmental Policy, Imperial College, London, SW7 2AZ, United Kingdom","Supplying electricity to remote rural communities in lesser developed countries (LDCs) is key to improving livelihoods and reducing poverty. Decentralised renewable energy systems such as solar photovoltaic (PV) electricity have the potential to provide a viable and sustainable alternative to overcome the physical and economic barriers facing the expansion of low and medium tension grids. This paper critically assesses the impact of small-scale PV systems installed in homes, schools and public buildings over the last six years under the PERMER project-Renewable Energy Project for the Rural Electricity Market-co-funded by a range of public and private sources. The structure of financial subsidies has enabled these remote rural communities to receive an electricity supply that, in many cases, would otherwise not have been possible. Replacing traditional energy sources such as candles and kerosene lamps, the PV electricity systems are providing better quality light, reducing indoor air pollution levels, as well as a means to power communications technologies and extend hours for cultural and productive activities. There are, however, certain technical, organisational and intellectual barriers that remain to be overcome before the project can be considered to be operating optimally. © 2006 Elsevier Ltd. All rights reserved.","Argentina; Photovoltaic electricity; Poverty reduction","Developing countries; Economic and social effects; Electric power generation; Kerosene; Passive solar buildings; Solar energy; Argentina; Photovoltaic electricity; Photovoltaic cells",Article,"Final","",Scopus,2-s2.0-33748942482
"Alexandrova O., Kaloush K.E., Allen J.O.","36785314700;7801501062;55477880600;","Impact of asphalt rubber friction course overlays on tire wear emissions and air quality models for Phoenix, Arizona, airshed",2007,"Transportation Research Record",,"2011",,"98","106",,9,"10.3141/2011-11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40049094157&doi=10.3141%2f2011-11&partnerID=40&md5=e354f634155285420e2fcebc3843fedf","Department of Chemical and Materials Engineering; Department of Civil and Environmental Engineering, P.O. Box 875306, United States; Department of Civil and Environmental Engineering, Arizona State University, P.O. Box 875306, Tempe, AZ 85287-5306, United States","Alexandrova, O., Department of Chemical and Materials Engineering; Kaloush, K.E., Department of Civil and Environmental Engineering, P.O. Box 875306, United States; Allen, J.O., Department of Civil and Environmental Engineering, Arizona State University, P.O. Box 875306, Tempe, AZ 85287-5306, United States","Tire wear contributes to atmospheric particulate matter (PM) and is regulated by the U.S. Environmental Protection Agency because PM has been shown to affect human health. Vehicle emissions are a significant source of both PM2.5 and PM10. Vehicle fleet emissions per mile traveled have been reduced significantly in the past 30 years as a result of improved engine operation and tailpipe controls. However, ""zero emission"" vehicles will continue to generate PM from tire wear, road wear, brake wear, and resuspended road dust. In this study, aerosol measurement techniques at Arizona State University were applied to evaluate tire wear emissions from the vehicle fleet by using the Deck Park Tunnel in Phoenix, Arizona. The Deck Park Tunnel highway surface was portland cement concrete (PCC) and was resurfaced with an asphalt rubber friction course (ARFC) layer as part of the Arizona Department of Transportation Quiet Pavements Program. This study took advantage of a rare opportunity to sample tire wear emissions at the tunnel before and after the ARFC overlay. The hypothesis was that an ARFC surface results in less tire wear than the existing PCC road surface. This paper reports on the measured PM emissions from the on-road vehicle traffic during typical highway driving conditions for the two different roadway surfaces. It presents the analysis of representative tire tread samples for tire wear marker compounds and a comparison of roughness and frictional surface characteristics as measured before and after the ARFC overlay. The study found that emission rates of tire wear per kilometer driven on PCC road surfaces were 1.4 to 2 times higher than emission rates of tire wear on ARFC road surfaces.",,"Asphalt rubber friction courses; Tire wear; Air quality; Asphalt; Environmental Protection Agency; Mathematical models; Particulate emissions; Tires; Rubber",Article,"Final","",Scopus,2-s2.0-40049094157
"Alger T., Gingrich J., Mangold B.","36099123400;12345460700;36134807600;","The effect of hydrogen enrichment on EGR tolerance in spark ignited engines",2007,"SAE Technical Papers",,,,"","",,70,"10.4271/2007-01-0475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072418274&doi=10.4271%2f2007-01-0475&partnerID=40&md5=ed070f5c0820963a241e51b07bb92aa4","Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, United States","Alger, T., Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, United States; Gingrich, J., Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, United States; Mangold, B., Southwest Research Institute, 6220 Culebra Road, San Antonio, TX 78238, United States","Small (up to 1% by volume) amounts of hydrogen (H2) were added to the intake charge of a single-cylinder, stoichiometric spark ignited engine to determine the effect of H2 addition on EGR tolerance. Two types of tests were performed at 1500 rpm, two loads (3.1 bar and 5.5 bar IMEP), two compression ratios (11:1 and 14:1) and with two fuels (gasoline and natural gas). The first test involved holding EGR level constant and increasing the H2 concentration. The EGR level of the engine was increased until the CoV of IMEP was &gt; 5% and then small amounts of hydrogen were added until the total was 1% by volume. The effect of increasing the amount of H2 on engine stability was measured along with combustion parameters and engine emissions. The results showed that only a very small amount of H2 was necessary to stabilize the engine. At amounts past that level, increasing the level of H2 had no or only a very small effect. The second test was to fix the H2 level at 1% by volume and measure the EGR limit increase of the engine. At low load conditions, the EGR limit increased from the previous high of 25% to over 50% for gasoline and from 20% to 28% for CNG. At high load conditions, the EGR limit was achieved when the engine reached wide-open throttle and the addition of extra EGR would have required reducing the engine load. The results of this test indicate that the addition of even small amounts of H2 can significantly improve the EGR tolerance of the engine when fueled with gasoline. This improvement in EGR tolerance can lead to reduced emissions and the potential to improve fuel economy by allowing high compression ratio operation. High IMEP was not tested with natural gas. Part load performance and EGR tolerance was explored to characterize the benefit hydrogen enriched EGR can provide to the emerging stoichiometric heavy duty natural gas engine community. Copyright © 2007 SAE International.",,"Cobalt alloys; Compression ratio (machinery); Fuel economy; Gas engines; Gasoline; Hydrogen; Natural gas; Combustion parameters; Effect of hydrogen; Engine emission; Engine load; High compression ratio; Single cylinders; Spark-ignited engines; Wide open throttle; Engine cylinders",Conference Paper,"Final","",Scopus,2-s2.0-85072418274
"Al-Gharib S.A., Elkamel A., Baker C.G.J.","16686175700;7004543764;7403629269;","A multi-criteria decision approach for choosing and ranking SO2 emission reduction measures for a network of power stations",2007,"World Review of Science, Technology and Sustainable Development","4","2-3",,"196","225",,4,"10.1504/WRSTSD.2007.013583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347331051&doi=10.1504%2fWRSTSD.2007.013583&partnerID=40&md5=f7f763f8841b5ed79fdce4c546e42f4c","Department of Chemical Engineering, Kuwait University, P.O. Box 5969, Safat 13060, Kuwait; Department of Chemical Engineering, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada","Al-Gharib, S.A., Department of Chemical Engineering, Kuwait University, P.O. Box 5969, Safat 13060, Kuwait; Elkamel, A., Department of Chemical Engineering, University of Waterloo, 200 University Avenue West, Waterloo, ON N2L 3G1, Canada; Baker, C.G.J., Department of Chemical Engineering, Kuwait University, P.O. Box 5969, Safat 13060, Kuwait","During recent years, it has become evident that power plants are a major source of pollution that causes changes in the chemistry and physics of the environment. In this paper, the Analytic Hierarchy Process (AHP) was employed to develop a strategy for reducing sulphur dioxide emissions from a network of power plants in Kuwait by ar least two-thirds. Along with NOx, sulphur dioxide is known to be a chemical precursor of acid rain and urban smog. A variety of SO2 reduction alternatives and sub-alternatives were explored. These were grouped into the following categories: new refinery design to provide low sulphur fuel, fuel substitution, flue gas desulphurisation, and energy conservation. The proposed model enabled various selection criteria to be evaluated and different pollution control options to be ranked. Copyright © 2007 Inderscience Enterprises Ltd.","Acid rain; AHP; Air pollution control; Analytic Hierarchy Process; Energy conservation; Flue gas desulphurisation; Power plants",,Article,"Final","",Scopus,2-s2.0-34347331051
