Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Abdalla F.B., Mateus A., Santos W.A., Sodrè Jr. L., Ferreras I., Lahav O.","15841786900;6701374695;8943266200;6701758168;7004053948;7005760971;","Predicting spectral features in galaxy spectra from broad-band photometry",2008,"Monthly Notices of the Royal Astronomical Society","387","3",,"945","953",,5,"10.1111/j.1365-2966.2008.12881.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45249097329&doi=10.1111%2fj.1365-2966.2008.12881.x&partnerID=40&md5=621c9d735069a0e5743e4a65b51536a0","Department of Physics and Astronomy, University College London, Gower Street, London WC1E 6BT, United Kingdom; Instituto de Ciencias del Espacio (IEEC-CSIC), Barcelona, Spain; Departamento de Astronomia, IAG-USP, Rua do Matão 1226, 05508-090, Sao Paulo, Brazil; Mullard Space Science Laboratory, University College London, Holmbury St. Mary, Dorking RH5 6NT, United Kingdom","Abdalla, F.B., Department of Physics and Astronomy, University College London, Gower Street, London WC1E 6BT, United Kingdom; Mateus, A., Instituto de Ciencias del Espacio (IEEC-CSIC), Barcelona, Spain; Santos, W.A., Departamento de Astronomia, IAG-USP, Rua do Matão 1226, 05508-090, Sao Paulo, Brazil; Sodrè Jr., L., Departamento de Astronomia, IAG-USP, Rua do Matão 1226, 05508-090, Sao Paulo, Brazil; Ferreras, I., Mullard Space Science Laboratory, University College London, Holmbury St. Mary, Dorking RH5 6NT, United Kingdom; Lahav, O., Department of Physics and Astronomy, University College London, Gower Street, London WC1E 6BT, United Kingdom","We explore the prospects of predicting emission-line features present in galaxy spectra given broad-band photometry alone. There is a general consent that colours, and spectral features, most notably the 4000 Å break, can predict many properties of galaxies, including star formation rates and hence they could infer some of the line properties. We argue that these techniques have great prospects in helping us understand line emission in extragalactic objects and might speed up future galaxy redshift surveys if they are to target emission-line objects only. We use two independent methods, Artificial Neural Networks (based on the ANNz code) and Locally Weighted Regression (LWR), to retrieve correlations present in the colour N-dimensional space and to predict the equivalent widths present in the corresponding spectra. We also investigate how well it is possible to separate galaxies with and without lines from broad-band photometry only. We find, unsurprisingly, that recombination lines can be well predicted by galaxy colours. However, among collisional lines some can and some cannot be predicted well from galaxy colours alone, without any further redshift information. We also use our techniques to estimate how much information contained in spectral diagnostic diagrams can be recovered from broad-band photometry alone. We find that it is possible to classify active galactic nuclei and star formation objects relatively well using colours only. We suggest that this technique could be used to considerably improve redshift surveys such as the upcoming Fibre Multi Object Spectrograph (FMOS) survey and the planned Wide Field Multi Object Spectrograph (WFMOS) survey. © 2008 The Authors.","Galaxy: formation",,Article,"Final","",Scopus,2-s2.0-45249097329
"Abdel-Halim K.S., Khedr M.H., Nasr M.I., Abdel-wahab M.Sh.","6506153119;7003337668;7102226744;56950146700;","Carbothermic reduction kinetics of nanocrystallite Fe2O3/NiO composites for the production of Fe/Ni alloy",2008,"Journal of Alloys and Compounds","463","1-2",,"585","590",,30,"10.1016/j.jallcom.2008.02.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47649102002&doi=10.1016%2fj.jallcom.2008.02.026&partnerID=40&md5=8683caae9aae54cdc0de012bd4db426d","Central Metallurgical Research and Development Institute (CMRDI), P.O. Box 87, Helwan, Cairo, Egypt; Chemistry Department, Faculty of Science, Beni-Suief University, Beni-Suief, Egypt","Abdel-Halim, K.S., Central Metallurgical Research and Development Institute (CMRDI), P.O. Box 87, Helwan, Cairo, Egypt; Khedr, M.H., Chemistry Department, Faculty of Science, Beni-Suief University, Beni-Suief, Egypt; Nasr, M.I., Central Metallurgical Research and Development Institute (CMRDI), P.O. Box 87, Helwan, Cairo, Egypt; Abdel-wahab, M.Sh., Chemistry Department, Faculty of Science, Beni-Suief University, Beni-Suief, Egypt","Nanocrystalline Fe-Ni alloy has been fabricated by reduction of Fe2O3/NiO composite materials with solid carbon. Nanocrystalline compacts of pure and 26% NiO doped iron oxide were reduced at 800-1100 °C by solid carbon. The reduction behavior was investigated using advanced quadrupole mass spectrometer. XRD, SEM and TEM analysis were used to characterize the reduced samples. The aim of work is to clarify the reduction behavior of Fe2O3/NiO composite materials with solid carbon which is an important step for production of nanocrystalline Fe-Ni alloys. The influence of reduction conditions on the structural characteristics of the products was extensively studied to get clear comprehension of reduction process. It was found that the reduction rate increases with temperature. The experimental measurements were used to elucidate the carbothermic reduction mechanism of iron oxide doped with NiO. The reactions proceeded in a stepwise manner and Boudouard reaction is the major controlling step particularly at low temperatures whereas more contribution to solid state reaction control seems to have an effect at high temperatures. © 2008 Elsevier B.V. All rights reserved.","Fe-Ni alloy; Fe2O3; Kinetics and mechanism; Nanocrystallite; NiO; Reduction; Solid carbon","Carbothermal reduction; Iron; Nanocrystalline alloys; Nickel; Optical design; Carbothermic reduction; Fe-Ni alloys; Nano crystalline; Nano crystallite; Iron alloys",Article,"Final","",Scopus,2-s2.0-47649102002
"Abdo A.A., Allen B., Aune T., Berley D., Blaufuss E., Casanova S., Chen C., Dingus B.L., Ellsworth R.W., Fleysher L., Fleysher R., Gonzalez M.M., Goodman J.A., Hoffman C.M., Hüntemeyer P.H., Kolterman B.E., Lansdell C.P., Linnemann J.T., McEnery J.E., Mincer A.I., Moskalenko I.V., Nemethy P., Noyes D., Porter T.A., Pretz J., Ryan J.M., Parkinson P.M.S., Shoup A., Sinnis G., Smith A.J., Strong A.W., Sullivan G.W., Vasileiou V., Walker G.P., Williams D.A., Yodh G.B.","35228697200;36551088700;25721802200;35236204300;35236361600;22833640200;56115511200;35313328300;7006640160;6603281083;6603340002;34770297100;7402289255;7201824911;6603442871;16177916700;38561715700;35227605400;35230627000;35227629900;35230260200;8413896200;7004488400;57203046291;55613240977;35459577200;8948464400;6701574171;8630676300;57203348643;7102215531;56822182100;16178788800;7402390501;55361488100;6603930996;","A measurement of the spatial distribution of diffuse TeV gamma-ray emission from the galactic plane with Milagro",2008,"Astrophysical Journal","688","2",,"1078","1083",,137,"10.1086/592213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56849090754&doi=10.1086%2f592213&partnerID=40&md5=e93668f30d2250262a9afdc8a11d3c54","Naval Research Laboratory, Washington, DC, United States; Harvard-Smithsonian Center for Astrophysics, Cambridge, MA, United States; University of California, Santa Cruz, CA, United States; University of Maryland, College Park, MD, United States; Max-Planck-Institut für Kernphysik, Heidelberg, Germany; University of California, Irvine, CA, United States; Los Alamos National Laboratory, Los Alamos, NM, United States; George Mason University, Fairfax, VA, United States; New York University, New York, NY, United States; Instituto de Astronomía, Universidad Nacional Autónoma de México, D.F., Mexico; Institute for Defense Analyses, Alexandria, VA, United States; Michigan State University, East Lansing, MI, United States; NASA Goddard Space Flight Center, Greenbelt, MD, United States; HEPL and KIPAC, Stanford University, Stanford, CA, United States; University of New Hampshire, Durham, NH, United States; Ohio State University, Lima, OH, United States; Max-Planck-Institut für Extraterrestrische Physik, Garching, Germany","Abdo, A.A., Naval Research Laboratory, Washington, DC, United States; Allen, B., Harvard-Smithsonian Center for Astrophysics, Cambridge, MA, United States; Aune, T., University of California, Santa Cruz, CA, United States; Berley, D., University of Maryland, College Park, MD, United States; Blaufuss, E., University of Maryland, College Park, MD, United States; Casanova, S., Max-Planck-Institut für Kernphysik, Heidelberg, Germany; Chen, C., University of California, Irvine, CA, United States; Dingus, B.L., Los Alamos National Laboratory, Los Alamos, NM, United States; Ellsworth, R.W., George Mason University, Fairfax, VA, United States; Fleysher, L., New York University, New York, NY, United States; Fleysher, R., New York University, New York, NY, United States; Gonzalez, M.M., Instituto de Astronomía, Universidad Nacional Autónoma de México, D.F., Mexico; Goodman, J.A., University of Maryland, College Park, MD, United States; Hoffman, C.M., Los Alamos National Laboratory, Los Alamos, NM, United States; Hüntemeyer, P.H., Los Alamos National Laboratory, Los Alamos, NM, United States; Kolterman, B.E., New York University, New York, NY, United States; Lansdell, C.P., Institute for Defense Analyses, Alexandria, VA, United States; Linnemann, J.T., Michigan State University, East Lansing, MI, United States; McEnery, J.E., NASA Goddard Space Flight Center, Greenbelt, MD, United States; Mincer, A.I., New York University, New York, NY, United States; Moskalenko, I.V., HEPL and KIPAC, Stanford University, Stanford, CA, United States; Nemethy, P., New York University, New York, NY, United States; Noyes, D., University of Maryland, College Park, MD, United States; Porter, T.A., University of California, Santa Cruz, CA, United States; Pretz, J., Los Alamos National Laboratory, Los Alamos, NM, United States; Ryan, J.M., University of New Hampshire, Durham, NH, United States; Parkinson, P.M.S., University of California, Santa Cruz, CA, United States; Shoup, A., Ohio State University, Lima, OH, United States; Sinnis, G., Los Alamos National Laboratory, Los Alamos, NM, United States; Smith, A.J., University of Maryland, College Park, MD, United States; Strong, A.W., Max-Planck-Institut für Extraterrestrische Physik, Garching, Germany; Sullivan, G.W., University of Maryland, College Park, MD, United States; Vasileiou, V., University of Maryland, College Park, MD, United States; Walker, G.P., Los Alamos National Laboratory, Los Alamos, NM, United States; Williams, D.A., University of California, Santa Cruz, CA, United States; Yodh, G.B., University of California, Irvine, CA, United States","Diffuse γ-ray emission produced by the interaction of cosmic-ray particles with matter and radiation in the Galaxy can be used to probe the distribution of cosmic rays and their sources in different regions of the Galaxy. With its large field of view and long observation time, the Milagro Gamma Ray Observatory is an ideal instrument for surveying large regions of the northern hemisphere sky and for detecting diffuse 7-ray emission at very high energies. Here the spatial distribution and the flux of the diffuse γ-ray emission in the TeVenergy range with a median energy of 15 TeV for Galactic longitude between 30° and 110° and between 136° and 216° and for Galactic latitude between -10° and 10° are determined. The measured fluxes are consistent with predictions of the GALPROP model everywhere, except for the Cygnus region (l €[65°, 85°]). For the Cygnus region, the flux is twice the predicted value. This excess can be explained by the presence of active cosmic-ray sources accelerating hadrons, which interact with the local dense interstellar medium and produce gamma rays through pion decay. © 2008. The American Astronomical Society. All rights reserved.","Gamma rays: observations",,Article,"Final","",Scopus,2-s2.0-56849090754
"Ackerman K.V., Sundquist E.T.","24491727400;6602181773;","Comparison of two U.S. power-plant carbon dioxide emissions data sets",2008,"Environmental Science and Technology","42","15",,"5688","5693",,51,"10.1021/es800221q","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749102099&doi=10.1021%2fes800221q&partnerID=40&md5=87fa6861c1cc1f535552fc62a7778b8f","U.S. Geological Survey, 384 Woods Hole Road, Woods Hole, MA 02543, United States","Ackerman, K.V., U.S. Geological Survey, 384 Woods Hole Road, Woods Hole, MA 02543, United States; Sundquist, E.T., U.S. Geological Survey, 384 Woods Hole Road, Woods Hole, MA 02543, United States","Estimates of fossil-fuel CO2 emissions are needed to address a variety of climate-change mitigation concerns over a broad range of spatial and temporal scales. We compared two data sets that report power-plant CO 2 emissions in the conterminous U.S. for 2004, the most recent year reported in both data sets. The data sets were obtained from the Department of Energy's Energy Information Administration (EIA) and the Environmental Protection Agency's eGRID database. Conterminous U.S. total emissions computed from the data sets differed by 3.5% for total plant emissions (electricity plus useful thermal output) and 2.3% for electricity generation only. These differences are well within previous estimates of uncertainty in annual U.S. fossil-fuel emissions. However, the corresponding average absolute differences between estimates of emissions from individual power plants were much larger, 16.9% and 25.3%, respectively. By statistical analysis, we identified several potential sources of differences between EIA and eGRID estimates for individual plants. Estimates that are based partly or entirely on monitoring of stack gases (reported by eGRID only) differed significantly from estimates based on fuel consumption (as reported by EIA). Differences in accounting methods appear to explain differences in estimates for emissions from electricity generation from combined heat and power plants, and for total and electricity generation emissions from plants that burn nonconventional fuels (e.g., biomass). Our analysis suggests the need for care in utilizing emissions data from individual power plants, and the need for transparency in documenting the accounting and monitoring methods used to estimate emissions.",,"Air pollution; Carbon dioxide; Carbon dioxide emissions; Data sets; Global warming; carbon dioxide; carbon dioxide; climate change; comparative study; data set; database; electricity generation; fossil fuel; fuel consumption; mitigation; pollution monitoring; power plant; spatiotemporal analysis; statistical analysis; air pollution; air pollution control; article; biomass; data base; electric power plant; electricity; statistical analysis; Air Pollutants; Biomass; Carbon Dioxide; Electric Power Supplies; Environmental Monitoring; Fossil Fuels; Hot Temperature; Incineration; Power Plants; United States; United States Environmental Protection Agency; North America; United States",Article,"Final","",Scopus,2-s2.0-48749102099
"Adams J.E., Cox J.R., Christiano A.J., Deakyne C.A.","55470123100;24544678200;51963356300;6603811842;","Molecular dynamics of host-guest complexes of small gas molecules with calix[4]arenes",2008,"Journal of Physical Chemistry A","112","30",,"6829","6839",,13,"10.1021/jp800492y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49349102918&doi=10.1021%2fjp800492y&partnerID=40&md5=80193df5bf00c576c4db5d8f4afcf99b","Department of Chemistry, University of Missouri-Columbia, Columbia, MO 65211-7600, United States","Adams, J.E., Department of Chemistry, University of Missouri-Columbia, Columbia, MO 65211-7600, United States; Cox, J.R., Department of Chemistry, University of Missouri-Columbia, Columbia, MO 65211-7600, United States; Christiano, A.J., Department of Chemistry, University of Missouri-Columbia, Columbia, MO 65211-7600, United States; Deakyne, C.A., Department of Chemistry, University of Missouri-Columbia, Columbia, MO 65211-7600, United States","The unexpected sorption of gases by a low-density p-iert-butylcalix[4]arene crystal polymorph raises fundamental questions about differential gas transport and sequestration in the organic solid state. To gain insight into the processes underlying these observations, we have used molecular dynamics simulations, augmented with calculations of potentials of mean force, to investigate the stability of isolated host-guest complexes and the relationship between the dynamics of these complexes and the dynamics of a solvated host molecule. Thermal fluctuations of the calixarenes themselves are found to be consistent with proposed mechanisms for gas entry into the host cavities, while relative host-guest stabilities correlate well with experimental absorption-desorption isotherms in some cases (CO2 and CH 4) but not in others (C2H2). In these isolated systems, stable complexes characteristically form when the attractive interactions of the guest with the ring of negative charge density on the inner surface of the host cavity are not disrupted by thermal motion. The experimentally observed efficient uptake of gases such as C2H 2 by the host crystals suggests, however, that stabilization of host-guest complexes in some systems may derive from dynamical constraints imposed by the crystal lattice. © 2008 American Chemical Society.",,"Absorption-desorption; Calix[4] arenes; Crystal polymorphs; Fundamental questions; Gain insight; Gas molecules; Gas transports; Host guests; Host-guest complexes; Molecular dynamics simulations; Potentials of mean force; Solid states; Thermal fluctuations; Absorption; Aromatic compounds; Atmospheric temperature; Chlorine compounds; Desorption; Dyes; Dynamics; Gas absorption; Gases; Molecular dynamics; Phenols; Quantum chemistry; Sorption; Density of gases",Article,"Final","",Scopus,2-s2.0-49349102918
"Adar S.D., Davey M., Sullivan J.R., Compher M., Szpiro A., Sally Liu L.-J.","21833871700;7202940803;57217271299;24824230500;35575181200;24366848200;","Predicting airborne particle levels aboard Washington State school buses",2008,"Atmospheric Environment","42","33",,"7590","7599",,35,"10.1016/j.atmosenv.2008.06.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-54049088882&doi=10.1016%2fj.atmosenv.2008.06.041&partnerID=40&md5=3029eee8b78385e3e7e8dc953a8e8ecc","Department of Environmental and Occupational Health Sciences, University of Washington, Seattle, WA 98105, United States; United States Environmental Protection Agency, Region V, Chicago, IL 60604, United States; Department of Biostatistics, University of Washington, Seattle, WA 98195, United States; Institute of Social and Preventive Medicine, University of Basel, CH-4051 Basel, Switzerland","Adar, S.D., Department of Environmental and Occupational Health Sciences, University of Washington, Seattle, WA 98105, United States; Davey, M., Department of Environmental and Occupational Health Sciences, University of Washington, Seattle, WA 98105, United States; Sullivan, J.R., Department of Environmental and Occupational Health Sciences, University of Washington, Seattle, WA 98105, United States; Compher, M., United States Environmental Protection Agency, Region V, Chicago, IL 60604, United States; Szpiro, A., Department of Biostatistics, University of Washington, Seattle, WA 98195, United States; Sally Liu, L.-J., Department of Environmental and Occupational Health Sciences, University of Washington, Seattle, WA 98105, United States, Institute of Social and Preventive Medicine, University of Basel, CH-4051 Basel, Switzerland","School buses contribute substantially to childhood air pollution exposures yet they are rarely quantified in epidemiology studies. This paper characterizes fine particulate matter (PM2.5) aboard school buses as part of a larger study examining the respiratory health impacts of emission reducing retrofits. To assess onboard concentrations, continuous PM2.5 data were collected during 85 trips aboard 43 school buses during normal driving routines, and aboard hybrid lead vehicles traveling in front of the monitored buses during 46 trips. Ordinary and partial least squares regression models for PM2.5 onboard buses were created with and without control for roadway concentrations, which were also modeled. Predictors examined included ambient PM2.5 levels, ambient weather, and bus and route characteristics. Average concentrations aboard school buses (21 μg m-3) were four and two-times higher than ambient and roadway levels, respectively. Differences in PM2.5 levels between the buses and lead vehicles indicated an average of 7 μg m-3 originating from the bus's own emission sources. While roadway concentrations were dominated by ambient PM2.5, bus concentrations were influenced by bus age, diesel oxidative catalysts, and roadway concentrations. Cross-validation confirmed the roadway models but the bus models were less robust. These results confirm that children are exposed to air pollution from the bus and other roadway traffic while riding school buses. In-cabin air pollution is higher than roadway concentrations and is likely influenced by bus characteristics. © 2008 Elsevier Ltd.","Air pollution; Diesel; Particulate matter; School buses; Traffic","Air pollution; Air quality; Curve fitting; Permanent magnets; Pollution; Regression analysis; Retrofitting; Air pollution exposures; Airborne particles; Ambient weathers; Average concentrations; Continuous; Cross-validation; Diesel; Emission sources; Fine particulate matters; Lead vehicles; Normal drivings; Oxidative catalysts; Partial least squares regressions; Particulate matter; Respiratory healths; Roadway models; School buses; Traffic; Washington states; Buses; aerosol; atmospheric pollution; automobile; concentration (composition); emission control; health impact; particulate matter; pollution exposure; prediction; traffic emission; air pollution; airborne particle; article; exhaust gas; motor vehicle; particulate matter; priority journal; North America; United States; Washington [United States]",Article,"Final","",Scopus,2-s2.0-54049088882
"Adekunle A.S., Ozoemena K.I.","23988486300;6603505862;","Insights into the electro-oxidation of hydrazine at single-walled carbon-nanotube-modified edge-plane pyrolytic graphite electrodes electro-decorated with metal and metal oxide films",2008,"Journal of Solid State Electrochemistry","12","10",,"1325","1336",,33,"10.1007/s10008-008-0539-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46149085388&doi=10.1007%2fs10008-008-0539-x&partnerID=40&md5=6d671400a88299fc9a577f1d2e11f079","Department of Chemistry, University of Pretoria, Pretoria 0002, South Africa","Adekunle, A.S., Department of Chemistry, University of Pretoria, Pretoria 0002, South Africa; Ozoemena, K.I., Department of Chemistry, University of Pretoria, Pretoria 0002, South Africa","Electrochemistry of edge-plane pyrolytic graphite electrodes (EPPGEs) modified with Aldrich single-walled carbon nanotubes (SWCNTs) electro-decorated with metal (Ni, Fe and Co) and their oxides have been studied. The morphology and identity of the metallic dispersions were examined by scanning electron microscopy and energy-dispersive spectroscopy. We show that SWCNTs serve as efficient conducting carbon material for electronic communication between metal films and the underlying carbon electrode. By using cyclic voltammetry and electrochemical impedance spectroscopy (EIS) techniques, it is proved that both EPPGE-SWCNT-Ni and EPPGE-SWCNT-Fe exhibit comparable electrochemical response in buffered aqueous solution (pH 7.0) and towards electro-oxidation of hydrazine in Na 2SO 4 solution. The impedance spectra of these SWCNT-metal hybrids were complicated and follow electrical equivalent circuit model typical of adsorption-controlled charge transfer kinetics. Hydrazine impedance spectra exhibited inductive loop, characteristic of Faradaic current being governed by the occupation of an intermediate state. On the other hand, the EIS data obtained in a simple redox probe, [Fe(CN) 6] 3-/[Fe(CN) 6] 4-, showed that EPPGE-SWCNT and EPPGE-SWCNT-Ni followed electrical equivalent circuit models typical of partial charge transfer or adsorption-controlled kinetics with some resemblance to the behaviour of electrolyte-insulator-semiconductor sensors. © 2008 Springer-Verlag.","Cyclic voltammetry; Electro-oxidation of hydrazine; Electrochemical impedance spectroscopy; Metal and metal oxide films; Single-walled carbon nanotubes","Aqueous solutions; Carbon electrodes; Carbon materials; Edge-plane pyrolytic graphite; electro-oxidation; Electrochemical impedance spectroscopy (EIS); Electrochemical responses; Electronic communications; metal films; metal oxide films; nano tube; Single walled carbon; Single-walled carbon nanotubes (SWCNTs); Auger electron spectroscopy; Bioelectric phenomena; Carbon; Carbon films; Carbon nanotubes; Chemical oxygen demand; Cobalt; Cobalt compounds; Conductive films; Cubic boron nitride; Cyclic voltammetry; Electrochemical corrosion; Electrochemical impedance spectroscopy; Electrochemical oxidation; Electrodes; Electrolysis; Electron microscopes; Electron microscopy; Electron optics; Fullerenes; Graphite; Graphite electrodes; Hydrazine; Imaging techniques; Iron; Metallic compounds; Metallizing; Microscopic examination; Nanopores; Nanostructured materials; Nanostructures; Nanotechnology; Nanotubes; Nickel; Nickel alloys; Oxidation; Oxide films; Scanning; Scanning electron microscopy; Sodium; Solutions; Spectrum analysis; Steel analysis; Voltammetry; Single-walled carbon nanotubes (SWCN)",Article,"Final","",Scopus,2-s2.0-46149085388
"Ahn S.","7401989593;","How feasible is carbon sequestration in Korea? A study on the costs of sequestering carbon in forest",2008,"Environmental and Resource Economics","41","1",,"89","109",,8,"10.1007/s10640-007-9182-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48349140561&doi=10.1007%2fs10640-007-9182-8&partnerID=40&md5=8be8716289524c91342c6b28bf7fd75c","Korea Environment Institute, 613-2 Bulgwang-dong Eunpyeong-gu, Seoul 122-706, South Korea","Ahn, S., Korea Environment Institute, 613-2 Bulgwang-dong Eunpyeong-gu, Seoul 122-706, South Korea","In recent years, carbon sequestration has become a more attractive policy in Korea due to the increasing trend of marginal cropland and enhanced public awareness on adverse climate change phenomena. This study aims to calculate the unit costs of carbon sequestration programs through afforestation in Korea and examine the cost-effectiveness of programs. The basis of our simulation is an econometric land use share model, and province level of aggregated panel data are used for model estimation. Four scenarios are considered depending on whether the program includes the harvest and which tree species are planted. The approach of sequestration program is to pay the landowners to convert their lands to forest for a period of time in exchange of fixed annual payment in addition to tree establishment cost. Our results show that the unit cost varies from $122 to $486 per ton of carbon stored depending on the scenarios and payment levels. We found that the carbon sequestration can be a cost-effective mitigation policy in Korea although it is not the least cost option. © 2007 Springer Science+Business Media B.V.","Carbon flow; Carbon sequestration; Cost of carbon sequestration; Land use model","Carbon; Climate change; Cost effectiveness; Costs; Forestry; Land use; Public policy; Reforestation; Business media; Carbon sequestrations; Model estimations; Panel data; Public awareness; Sequestering carbon; Tree species; Unit cost; Finance; afforestation; carbon sequestration; cost-benefit analysis; estimation method; feasibility study; forest management; modeling; pollution policy; Carbon; Chelation; Cost Effectiveness; Electrometry; Forestation; Forestry; Land Use; Mathematical Models; Reforestation; Simulation; Asia; Eurasia; Far East; Korea",Article,"Final","",Scopus,2-s2.0-48349140561
"Ajhar M., Follmann M., Matthias C., Melin T.","24467415700;24467977200;57197267716;23568407200;","Membranes producing nitrogen-enriched combustion air in diesel engines: Assessment via dimensionless numbers",2008,"Journal of Membrane Science","323","1",,"105","112",,10,"10.1016/j.memsci.2008.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48149091057&doi=10.1016%2fj.memsci.2008.06.007&partnerID=40&md5=cdecc2c7cae77769048966e8ead6e664","Aachener Verfahrenstechnik, Turmstraße 46, 52056 Aachen, Germany","Ajhar, M., Aachener Verfahrenstechnik, Turmstraße 46, 52056 Aachen, Germany; Follmann, M., Aachener Verfahrenstechnik, Turmstraße 46, 52056 Aachen, Germany; Matthias, C., Aachener Verfahrenstechnik, Turmstraße 46, 52056 Aachen, Germany; Melin, T., Aachener Verfahrenstechnik, Turmstraße 46, 52056 Aachen, Germany","The challenge of reducing nitrogen oxides (NOX) emissions in diesel engine exhaust gas can be met by the use of nitrogen-enriched air (NEA) for combustion. In this work, the separation performance of membranes producing NEA is simulated and experimentally validated. Retentate nitrogen concentration and stage-cut depend on the membrane properties oxygen-nitrogen selectivity, oxygen permeance and membrane area as well as on the operating parameters, feed pressure, permeate pressure and feed flow rate. This complex dependence is presented using correlations of dimensionless numbers for retentate oxygen mole fractions between 16 and 21 mol%. It is herewith possible to calculate membrane area and compression power loss for any given membrane at any engine load point. The correlations also serve to identify the most suitable membrane and operating parameters when having to meet design criteria, e.g. limited construction space or maximum power loss. In a design example, both membrane area and power demand are calculated for three state-of-the-art membranes at a number of characteristic load points of a medium-duty diesel truck engine. © 2008 Elsevier B.V. All rights reserved.","Diesel emissions; Dimensionless numbers; Membrane; Nitrogen oxides (NOX); Nitrogen-enriched air (NEA)","Air engines; Nitric oxide; Nitrogen; Nitrogen oxides; Combustion air; Dimensionless numbers; Diesel engines; nitrogen; nitrogen oxide; oxygen; air monitoring; article; behavior; calculation; combustion; diesel engine; pressure; priority journal",Article,"Final","",Scopus,2-s2.0-48149091057
"Alebic-Juretic A.","55887645300;","Airborne ammonia and ammonium within the Northern Adriatic area, Croatia",2008,"Environmental Pollution","154","3",,"439","447",,28,"10.1016/j.envpol.2007.11.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46449130326&doi=10.1016%2fj.envpol.2007.11.029&partnerID=40&md5=4cb67750cec672277ac55c41226e497d","Teaching Institute of Public Health, Kresimirova 52a, HR-51000 Rijeka, Croatia","Alebic-Juretic, A., Teaching Institute of Public Health, Kresimirova 52a, HR-51000 Rijeka, Croatia","Determination of airborne ammonia started in the early 1980s, as a part of air pollution monitoring of industrial plants. Due to high emissions, the city of Rijeka was one of the most polluted in Croatia in the mid-1980s. Considerable reductions in SO2 and NOx emissions led to lower airborne levels of these pollutants in the mid 1990s. In spite of the coke plant closure in 1994, there was only a weak decline in airborne ammonia over the period 1980-2005, with annual means in the range of 12-20 μg m-3 at urban Site 1 and 6-28 μg m-3 at suburban Site 2. Similar behaviour has been observed with ammonium in bulk rainwater samples since 1996. Higher and approximately equal deposition of nitrogen as ammonium (N-NH4+) were obtained for the urban Site 1 and the mountainous Site 4, but with different causative facts. Ammonium's contribution to total nitrogen (NO3- + NH4+) deposition is approximately two thirds, even for a remote Site 3. © 2007 Elsevier Ltd. All rights reserved.","Air pollution; Ammonia; Ammonium; PM10; Precipitation","Air pollution; Air quality; Ammonium compounds; Industrial plants; (alkyl) ammonium; air pollution monitoring; Croatia; Emissions (asphalt); Northern Adriatic; Ammonia; ammonia; nitrate; nitrogen; nitrogen dioxide; rain; sulfate; sulfur dioxide; ammonia; ammonium; atmospheric pollution; emission; nitrogen; particulate matter; pollution monitoring; rainwater; air pollution; airborne particle; article; concentration (parameters); Croatia; nitrogen deposition; particulate matter; pollution monitoring; precipitation; quantitative analysis; seasonal variation; urban area; water sampling; Acid Rain; Air Pollutants; Air Pollution; Ammonia; Croatia; Environmental Monitoring; Nitrogen; Nitrogen Dioxide; Quaternary Ammonium Compounds; Spectrophotometry; Sulfur; Sulfur Dioxide; Urbanization; Vehicle Emissions; Adriatic Coast [Croatia]; Croatia; Eurasia; Europe; Southern Europe",Article,"Final","",Scopus,2-s2.0-46449130326
