Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"13th International IEEE Conference on Intelligent Transportation Systems, ITSC 2010",2010,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",,,,"","",1876,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650476839&partnerID=40&md5=e2218ad153552718b5ae80dc9e5a4eb8",,"","The proceedings contain 302 papers. The topics discussed include: online control of signalized networks using the cell transmission model; cell-based simulation and estimation of urban traffic network; fuzzy observer for state estimation of the METANET traffic model; development of fuel and emission models for high speed heavy duty trucks, light duty trucks, and light duty vehicles; a new method to calculate emissions with simulated traffic conditions; analysis of the major world strategies for reducing the emission of greenhouse gases generated by public and private transport; a surrogate approach for the global optimization of signal settings and traffic assignment problem; continuous flow intersections: a safety and environmental perspective; evaluation of feature-based vehicle trajectory extraction algorithms; vehicle parameterization and tracking from traffic videos; and learning moving cast shadows for robust foreground detection in highway scenarios.",,,Conference Review,"Final","",Scopus,2-s2.0-78650476839
[No author name available],[No author id available],"Proceedings of the International Conference on Energy and Sustainable Development: Issues and Strategies, ESD 2010",2010,"Proceedings of the International Conference on Energy and Sustainable Development: Issues and Strategies, ESD 2010",,,,"","",428,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649624523&partnerID=40&md5=7cd9b1514e6a5034dce86b09d4a4640c",,"","The proceedings contain 59 papers. The topics discussed include: institutions and low carbon transport: the case of a decentralizing Indonesia; islanding operation of mini-hydro generation in real distribution network; statistical models for estimating hourly diffuse solar radiation in different regions of Thailand; study of ocean energy in Taiwan; study of deep ocean water (DOW) cooling energy and DOW industry; issues and challenges of renewable energy development: a Malaysian experience; development of Thailand's first nuclear power plant; bio oil from palm oil industry solid waste; transesterification of waste chicken fats for synthesizing biodiesel by CaO as heterogeneous base catalyst; sizing optimization and analysis of a stand-alone WTG system using hybrid energy storage technologies; a study of particle swarm technique for renewable energy power systems; and potential of thermoelectric power from bagasse by sugar mills of Pakistan.",,,Conference Review,"Final","",Scopus,2-s2.0-78649624523
[No author name available],[No author id available],"Environmental changes in the pleistocene and holocene",2010,"Origins of Agriculture in Western Central Asia: An Environmental- Archaeological Study",,,,"19","26",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904593702&partnerID=40&md5=67d032c7923cab1dea71090c52767532",,"","Having outlined the present physical environment of western Central Asia, and in order to make sound inferences about prehistoric settlement and subsistence in the region, we need next to consider environmental changes that occurred during the Pleistocene and Holocene, the two epochs of the Quaternary period.1 At present there is little local evidence available of such changes, with the exception of data derived from two main sources: studies of the palaeohydrology of the Caspian and Aral Sea basins, and of palaeosol (buried soil) sequences in the Tajik-Afghan basin. These studies provide the basis for much of the following description of major Pleistocene-Holocene environmental changes in the region. Studies of Tertiary geography, climate, and biota (e.g., Atamuradov 1994:52-61; Kurbanov 1994:124-27) indicate that the climate became progressively more continental and the flora more xerophytic through the Pliocene (the final epoch of the Tertiary). There is fossil evidence that broadleaf trees such as oak and liquidambar were components of mesophytic forests in the Kopetdag mountains, but they became extinct as the trend toward a more continental climate, coupled with tectonic uplift, continued through the Quaternary. This trend caused the vegetation to become differentiated into lowland desert forms and more mesic communities in the mountains and along the main river valleys. By the end of the Pliocene tectonic activity had created the major mountain ranges and lowlands, including the Aral and Caspian Sea basins and the Sarykamysh depression; the ancestral (proto-) Syrdarya, Zeravshan, Amudarya, Uzboi, Murghab, Tedzhen, Atrek, and Gorgan river systems were in existence; and the lowlands had become generally desertic (Atamuradov 1994:56-60; Boomer et al. 2000:1260-66). Then, during the Pleistocene and Holocene, the climate, drainage pattern, and plant and animal communities underwent a series of further changes that led to the present-day configuration and ecology of the region. © 2010 University of Pennsylvania Museum of Archaeology and Anthropology. All rights reserved.",,,Book Chapter,"Final","",Scopus,2-s2.0-84904593702
[No author name available],[No author id available],"Statement of David J. Hayes, senior fellow, world wildlife fund, before the senate committee on foreign relations, subcommittee on international development and foreign assistance, economic affairs and international environmental protection*",2010,"Deforestation and Climate Change",,,,"105","118",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892135120&partnerID=40&md5=5733e3d6a03499d8d279ecc0b7d5a9d7",,"","WWF is encouraged by the promising first steps that the internationalcommunity is taking to address global deforestation and degradation as part ofthe United Nations' framework convention on climate change, as evidenced inthe recent Conference of the Parties in Bali, Indonesia, and in discussionsleading towards Copenhagen, when a new treaty is expected to be completed.WWF also is encouraged that S. 2191, America's Climate Security Act,introduced by Senators Lieberman and Warner, which would establish a U.S.-based program to constrain greenhouse gas emissions, also includes aninternational forestry title which recognizes that the U.S. must play an activerole in ""reduced emissions from deforestation and degradation"" or ""REDD,""working in tandem with affected nations and the entire internationalcommunity.The attention on deforestation is both appropriate and necessary, given thefact that the on-going loss of forestry resources accounts for approximately20% of all greenhouse gas emissions, world-wide. Simply put, we cannotmake progress in battling climate change unless we reduce the alarming rate ofdeforestation that is occurring on an on-going basis in a number of developingnations.Unlike conventional sources of greenhouse emissions, however,deforestation and forest degradation present multi-faceted challenges that areparticularly difficult to tackle. Sustainable progress will only be made byaddressing the complex root causes of deforestation and forest degradation.This will require the cooperation of the governments who are losing theirforestry resources; the cooperation of the U.S. and other developed nationswhose trade practices are influencing how forestry resources are being used(and/or abused); and, importantly, the active participation of indigenouspeople and others who are most impacted by land use choices made in theirhome lands.WWF believes that international climate change discussions and U.S.legislation should focus, first, on promoting economic models that address theroot causes of deforestation and degradation and which involve thecoordinated effort of the international community. Economic initiatives thatencourage trade in sustainable forestry resources and products, and whichpenalize forest degradation and the loss of valuable forest resources, forexample, must be actively promoted. The development of international carbonmarkets that will recognize and reward the financial value of maintainingtropical forests and reducing rates of deforestation also should be the subjectof active consideration. To lay the groundwork for developing such a market, asignificant investment must be made in building local capacity to measure andmonitor the carbon stocks in developing countries' forestry resources.In this regard, WWF supports the Lieberman-Warner bill's establishmentof an Emission Allowance Account ""for use in carrying out forest carbonactivities in countries other than the United States."" Such an allocation wouldgenerate funding needed to help local citizens and institutions develop andproliferate the technologies and methodologies that will reliably measure andtrack the carbon content of forests and forest products, and to undertake thetraining needed to generate and validate the data used for this purpose. Asdiscussed further below, these are essential prerequisites of any effort toestablish a credible and viable carbon market in those countries.As a corollary, WWF also supports the Lieberman-Warner bill's generalexpression of interest in developing and promoting a carbon market that couldgenerate financial support for protecting forests. WWF believes that the U.S.should proceed deliberately in this area, however, in close cooperation withthe international community. A carbon market that effectively generatesfinancial incentives to reduce tropical deforestation should not be presumed tooperate in the same way as today's voluntary market for carbon offsets fromforests, or the Kyoto Protocol's project-based Clean Development Mechanism.A different approach will be needed if credit is to be given to avoidingdeforestation and to the on-going conservation of forestry resources.A deliberate approach also is needed due to the significant concerns thathave been raised about the environmental integrity of some offset projects thathave been developed under existing frameworks. Similar concerns will applyto forest-based credits. Indeed, forestry credits are likely to generate specialscrutiny, given the large number of credits that potentially could be generatedfrom avoided deforestation projects and the special challenges of quantifyingand verifying emissions reductions from improved forestry practices,particularly with regard to ""leakage,"" ""permanence"" and ""additionality,"" asdiscussed below. In addition, a carbon market that credits forestry-based""offsets"" must not enable industrialized nations to avoid investments in theirown emissions reductions.Despite these challenges, WWF is optimistic that the U.S., working withthe international community, can identify and implement a comprehensiveprogram that tackles the root causes of deforestation. This effort can and mustinclude the development of financial mechanisms that will sustainably protectforestry resources and complement commitments by developed countries toreduce their greenhouse gas emissions. © 2010 Nova Science Publishers, Inc. All rights reserved.",,,Book Chapter,"Final","",Scopus,2-s2.0-84892135120
[No author name available],[No author id available],"10th International Multidisciplinary Scientific Geoconference and EXPO, SGEM 2010, volume 2",2010,"10th International Multidisciplinary Scientific Geoconference and EXPO - Modern Management of Mine Producing, Geology and Environmental Protection, SGEM 2010","2",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890753233&partnerID=40&md5=5eb69587d1702d6b371919cbfa6dbbf1",,"","The proceedings contain 320 papers. The special focus in this conference is on modern management of mine producing, Geology and Environmental protection. The topics include: Determination of modes and structure of gold and silver occurrence by EPMA; general aspect of different barite occurrences in the east of Istanbul, turkey; high-resolution reconstruction of climate change in central Asia over the past millennium; investigation of groundmass minerals of kimberlite rocks by electron microprobe; Kosovo coal basin, coal exploitation, impact in environment; micro structural particularities of low-fineness gold; mineralogical and petrographical features of the Yarpuz (Kakliktas) bauxite deposit (Antalya/Turkiye); pressure and temperature dependence of viscosity of volcanic lava; reseach of new minerals by electron microprobe; sintering of powders from alkaline basaltic tuffs; the application of graded extraction on coastal sand (tasucu coastal, south of turkey); the moon-earth interaction's share into the thermal balance of the earth; the prospects of minerals explorations in defined ore deposits in Kosovo; the results of research of bohemian garnet deposits in the region of north western bohemia; hydrogeological circumstances of the quaternary cover in the central part of the most basin; scattering of electromagnetic waves and prediction remarks regarding mining; solutions for the consolidation of mihoiesti dam; the effect of climate conditions on the uniaxial compressive strength of natural building stones; geological and hydrogeological characteristics basin Lumbardhi Peja; an experimental study on abrasive waterjet machining through design of experiment; computer aided design application at waste dump Uricani colliery; development and testing of down-the-hole deployable x-ray fluorescence spectrometer; flotation of coal from mine staszicz; geoecological analysis and forecast of mining production influence on environment in no-rilsk region; mining by-products from lignite open pit pesteana sud, oltenia coal basin; the premises of realizing a mining museum in Rosia Montana; an adaptive approach for bubble size measurement from flotation froth images; application of flotation of hazardous sediments; effect of lead nitrate on cyanidation of antimonial refractory gold and silver ores; floatability of Eskisehir Koyunagili region lignite fines; investigation of ultrasonics use for colemanite flotation; pretreatment of antimonial refractory gold and silver ores for improved cyanidation; the effect of grinding time on flotation of complex Cu-Zn sulphide ore in Jameson cell; wet fine grinding in a laboratory stirred ball mill; description of salt dome geological structure of the Kashagan field, southern part of pre-Caspian depression; novel paraffin inhibitor for crude oil; tectonic dislocation the Aleksinac oil shale deposit; the life cycle as a offshore platforms; thermophysical research in petrophysics; well placement optimization for water injection wells; different type controller design for structures under seismic excitation; magnetic studies around the Bitlis Zagros suture zone (Turkey); numerical deformation modelling using GNSS data on extensional zone; seabed features from a side scan sonar survey at north of Antimilos island; pseudolites applications in positioning and navigation; automation of astrogeodetic measurements; cadastral plan geometric accuracy improvement; geodetic works in demining procedure; local geoid determination for kadinhani region; necessary access right and application problems in Turkey; utilization models of machines renovation in mining company; extraction of main colors from a digital color image; patch peeling from 3d convex hull; standardization of logistic documents in small and medium enterprises based on UBL 2.0; basic principles of environmental information system development; dissemination and exploitation of grids in earth science; spatio-temporal databases; stabilization of porous silicon luminescence with surface modifications; explosive consolidation of ultrafine Ni-Al-Ti powders; a novel design approach for geotextiles used in solid waste disposal sites; adsorption of trihalomethanes on activated lignite; analyses of trihalomethans in Konya dirinking water network; bio-processing of soil from international airport in Ostrava; bistroe channel - Danube delta related risks; determination of acute toxicity of wastes and wastewaters; determination of heavy metals in sour cherry using by ICP-OES; determination of the fugitive dust emissions in a quarry near a settlement; drought and its physiological effects on plants; emissions co and co2 in the sintering process; exploratory techniques and analysis of heat islands in Romania; global climate changes and their effects on field crops; health environment, health life and secure future; heavy and toxic elements distribution in magnetically separated fractions from coal fly ashes; heavy metal variation in the soils associated with the balan mining perimeter; increase of iron content in current sinter; landfil for waste deposing in efficiently conditions; microbiotests versus conventional toxicity tests; physicochemical characterization of pyrite cinders; reuse of metalurgical slags in eco-cement clinker production; waste management in Romania-Braila county; water-saving opportunities in urban green space applications; possibilietes of pelletizing and briquetting of fly dusts from steel and cast iron production; recycling of fly ash in cement manufacturing; waste audit and recycling at university residence halls; ecological agriculture farms in turkey; an information retrieval system for e-learning; internet usage among the students of vocational studies; language policy for successful engineering education; non-polynomial spline solution for Bratu's problem; social skills via emotional intelligence; the affects of informatics literacy on e-trade in turkey; the different paradigms at health; environmental and health literacy; vocational academic choice and students perceptions; ecological awareness in the environment lows in Macedonia; legislative measures and methodology supporting the public-private partnerships in Slovakia; fiscal impact of selected legislative solutions in Poland on sustainable development in the context of the real estate market analysis; complex evaluation of tailing impoundments on example Rudnany, Slovakia, the students' perceptions about their field at school of vocational sciences; the impact of social intelligence on academic achievement of students studying media; strategic benchmarks for the implementation of quality in higher education institutions; perception of environmental health and social responsibility education by university students; non-polynomial spline solution for Bratu's problem; cooperation between school and industry to higher quality of education for vocational schools; the importance of health tourism in national economies and marketing strategies applied in the global competitive environment; the environmental quality management and the Danube environmental center; radioactivity of tap water of Tbilisi city (Georgia) and estimation of radiological risk for population.",,,Conference Review,"Final","",Scopus,2-s2.0-84890753233
[No author name available],[No author id available],"10th International Multidisciplinary Scientific Geoconference and EXPO, SGEM 2010, Volume 1",2010,"10th International Multidisciplinary Scientific Geoconference and EXPO - Modern Management of Mine Producing, Geology and Environmental Protection, SGEM 2010","1",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890693475&partnerID=40&md5=9d70229f1895c886654d518fd485cb0f",,"","The proceedings contain 320 papers. The special focus in this conference is on modern management of mine producing, Geology and Environmental protection. The topics include: Determination of modes and structure of gold and silver occurrence by EPMA; general aspect of different barite occurrences in the east of Istanbul, turkey; high-resolution reconstruction of climate change in central Asia over the past millennium; investigation of groundmass minerals of kimberlite rocks by electron microprobe; Kosovo coal basin, coal exploitation, impact in environment; micro structural particularities of low-fineness gold; mineralogical and petrographical features of the Yarpuz (Kakliktas) bauxite deposit (Antalya/Turkiye); pressure and temperature dependence of viscosity of volcanic lava; reseach of new minerals by electron microprobe; sintering of powders from alkaline basaltic tuffs; the application of graded extraction on coastal sand (tasucu coastal, south of turkey); the moon-earth interaction's share into the thermal balance of the earth; the prospects of minerals explorations in defined ore deposits in Kosovo; the results of research of bohemian garnet deposits in the region of north western bohemia; hydrogeological circumstances of the quaternary cover in the central part of the most basin; scattering of electromagnetic waves and prediction remarks regarding mining; solutions for the consolidation of mihoiesti dam; the effect of climate conditions on the uniaxial compressive strength of natural building stones; geological and hydrogeological characteristics basin Lumbardhi Peja; an experimental study on abrasive waterjet machining through design of experiment; computer aided design application at waste dump Uricani colliery; development and testing of down-the-hole deployable x-ray fluorescence spectrometer; flotation of coal from mine staszicz; geoecological analysis and forecast of mining production influence on environment in no-rilsk region; mining by-products from lignite open pit pesteana sud, oltenia coal basin; the premises of realizing a mining museum in Rosia Montana; an adaptive approach for bubble size measurement from flotation froth images; application of flotation of hazardous sediments; effect of lead nitrate on cyanidation of antimonial refractory gold and silver ores; floatability of Eskisehir Koyunagili region lignite fines; investigation of ultrasonics use for colemanite flotation; pretreatment of antimonial refractory gold and silver ores for improved cyanidation; the effect of grinding time on flotation of complex Cu-Zn sulphide ore in Jameson cell; wet fine grinding in a laboratory stirred ball mill; description of salt dome geological structure of the Kashagan field, southern part of pre-Caspian depression; novel paraffin inhibitor for crude oil; tectonic dislocation the Aleksinac oil shale deposit; the life cycle as a offshore platforms; thermophysical research in petrophysics; well placement optimization for water injection wells; different type controller design for structures under seismic excitation; magnetic studies around the Bitlis Zagros suture zone (Turkey); numerical deformation modelling using GNSS data on extensional zone; seabed features from a side scan sonar survey at north of Antimilos island; pseudolites applications in positioning and navigation; automation of astrogeodetic measurements; cadastral plan geometric accuracy improvement; geodetic works in demining procedure; local geoid determination for kadinhani region; necessary access right and application problems in Turkey; utilization models of machines renovation in mining company; extraction of main colors from a digital color image; patch peeling from 3d convex hull; standardization of logistic documents in small and medium enterprises based on UBL 2.0; basic principles of environmental information system development; dissemination and exploitation of grids in earth science; spatio-temporal databases; stabilization of porous silicon luminescence with surface modifications; explosive consolidation of ultrafine Ni-Al-Ti powders; a novel design approach for geotextiles used in solid waste disposal sites; adsorption of trihalomethanes on activated lignite; analyses of trihalomethans in Konya dirinking water network; bio-processing of soil from international airport in Ostrava; bistroe channel - Danube delta related risks; determination of acute toxicity of wastes and wastewaters; determination of heavy metals in sour cherry using by ICP-OES; determination of the fugitive dust emissions in a quarry near a settlement; drought and its physiological effects on plants; emissions co and co2 in the sintering process; exploratory techniques and analysis of heat islands in Romania; global climate changes and their effects on field crops; health environment, health life and secure future; heavy and toxic elements distribution in magnetically separated fractions from coal fly ashes; heavy metal variation in the soils associated with the balan mining perimeter; increase of iron content in current sinter; landfil for waste deposing in efficiently conditions; microbiotests versus conventional toxicity tests; physicochemical characterization of pyrite cinders; reuse of metalurgical slags in eco-cement clinker production; waste management in Romania-Braila county; water-saving opportunities in urban green space applications; possibilietes of pelletizing and briquetting of fly dusts from steel and cast iron production; recycling of fly ash in cement manufacturing; waste audit and recycling at university residence halls; ecological agriculture farms in turkey; an information retrieval system for e-learning; internet usage among the students of vocational studies; language policy for successful engineering education; non-polynomial spline solution for Bratu's problem; social skills via emotional intelligence; the affects of informatics literacy on e-trade in turkey; the different paradigms at health; environmental and health literacy; vocational academic choice and students perceptions; ecological awareness in the environment lows in Macedonia; legislative measures and methodology supporting the public-private partnerships in Slovakia; fiscal impact of selected legislative solutions in Poland on sustainable development in the context of the real estate market analysis; complex evaluation of tailing impoundments on example Rudnany, Slovakia, the students' perceptions about their field at school of vocational sciences; the impact of social intelligence on academic achievement of students studying media; strategic benchmarks for the implementation of quality in higher education institutions; perception of environmental health and social responsibility education by university students; non-polynomial spline solution for Bratu's problem; cooperation between school and industry to higher quality of education for vocational schools; the importance of health tourism in national economies and marketing strategies applied in the global competitive environment; the environmental quality management and the Danube environmental center; radioactivity of tap water of Tbilisi city (Georgia) and estimation of radiological risk for population.",,,Conference Review,"Final","",Scopus,2-s2.0-84890693475
[No author name available],[No author id available],"Envip 2010 - Proceedings of the Workshop on ""Environmental Information Systems and Services - Infrastructures and Platforms"", Workshop at EnviroInfo 2010",2010,"CEUR Workshop Proceedings","679",,,"","",105,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890027768&partnerID=40&md5=2ae37c9452d1e20a220a161155e186a7",,"","The proceedings contain 14 papers. The topics discussed include: closing the discovery gap in environmental information resources using semantic annotations: the TaToo approach; validation scenario for anthropogenic impact and global climate change for tatoo; service-based infrastructure for user-oriented environmental information delivery; the uncertainty enabled model web (UncertWeb); sustainable urban development planner for climate change adaptation (SUDPLAN); on-site monitoring of environmental processes using mobile augmented reality (HYDROSYS); ontologies and ontology extension for marine environmental information systems; bringing sustainability to the daily business: the OEPI project; GENESI-DEC: a federative e-infrastructure for earth science data discovery, access, and on-demand processing; and supporting environmental information systems and services realization with the geo-spatial and streaming dimensions of the semantic web.",,,Conference Review,"Final","",Scopus,2-s2.0-84890027768
[No author name available],[No author id available],"Advanced Microsystems for Automotive Applications 2010: Smart Systems for Green Cars and Safe Mobility",2010,"Advanced Microsystems for Automotive Applications 2010: Smart Systems for Green Cars and Safe Mobility",,,,"","",478,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884357820&partnerID=40&md5=b9661876881f6a82bf5594a682e5e5cf",,"","The proceedings contain 42 papers. The topics discussed include: embedded systems: the migration from ICE vehicles to electric vehicles; green combustion cars drive on electric (BLDC) motors; smart power control and architecture for an efficient vehicle alternator - capacitor - load system; TU VeLog: a small competitive autarkic GPS data logging system; vehicle energy management - energy related optimal operating strategies for CO2 reduction; estimation of the driver-style economy and safety via inertial measurements; utilizing near-infrared and colour information in an automotive wide-dynamic-range night vision system for driver assistance; ADOSE - bio-inspired in-vehicle sensor technology for active safety; improving pedestrian safety in urban scenarios through autonomous collision avoidance; a concept vehicle for rapid prototyping of advanced driver assistance systems; and intersection safety for heavy goods vehicles safety application development.",,,Conference Review,"Final","",Scopus,2-s2.0-84884357820
[No author name available],[No author id available],"51st Annual Transportation Research Forum 2010",2010,"51st Annual Transportation Research Forum 2010","1",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883822159&partnerID=40&md5=7e009ae79615516abbc854cfbc8f5939",,"","The proceedings contain 52 papers. The special focus in this conference is on Transportation Research. The topics include: Analysis of factors affect high speed train ridership in the United States - the acela express case study; the deadweight costs of public transit subsidies; a bi-objective model to minimize service and storage time at a cross dock facility; a framework for modelling the design and operation of shared vehicles systems; a sustainable supply chain management; America's leading international trade centers and their entrepreneurial agencies; an aggregated public transit accessibility measure; applying behavioral economics concepts in designing usage-based car insurance products; assessing the importance of freight transportation to U.S. agriculture; behind traffic fatality reduction in 2008 in Virginia; climate action plans and long-range transportation plans in the pacific northwest; comparative performance evaluation of SCATS and pre-timed control systems; comparative safety evaluation of SCATS and pre-timed control system; creating a financially feasible, sustainable, high performance metropolitan transportation system; creating a statewide commodity flow forecast from national FAF2 data; delay propagation and multiplier; electric vehicle simulation and animation; a comparison to determine the impact of maritime transport on emissions in SW European short sea shipping; evaluation of truck traffic at a container terminal using simulation; evaluation on the effect of car use restriction measures in Beijing; fostering a safety culture in small motor carriers; gas consumption information; improving fuel price adjustments for state departments of transportation; investigating the effects of transportation infrastructure development on energy consumption and emissions; kernel-based machine learning methods for modeling daily truck volume at seaport terminals; key issues economic sustainability of road transport in Bulgaria; link between transit spending and personal income; measuring aircraft-taxiing delay in the ASPM; measuring livability in transportation infrastructure investments; measuring the impact of intermodal rail movements in state transportation planning; multilevel modeling of the local and regional economic impacts of bypasses; open access for heavy haul railroads; operating characteristics of passenger screening processes and the development of a paced inspection system; optimally locating biorefineries; predicting arrival delays; rail competition changes since the staggers act; regional economic impacts of a toll road in west Virginia; relieving congestion at intermodal marine container terminals; rethinking the highway trust fund; secure rail interchange routing; spatial patterns in household demand for ethanol; studying the tailgating issue in Rhode island and its treatment; sustainable air traffic management system development methodology; the challenges of measuring transportation efficiency; the national strategy for aviation security, and air domain awareness; three new forms of movement that encourage walkable urban designs; transportation impacts of increased ethanol production a Kansas case study; use of VTCS data for study of schedule adherence and ITS impact on bustransit performance; variations in the rates of passenger usage of portable technology on intercity buses, trains and planes and causes of accidents worldwide.",,,Conference Review,"Final","",Scopus,2-s2.0-84883822159
[No author name available],[No author id available],"10th AIAA Aviation Technology, Integration and Operations Conference 2010, ATIO 2010, Volume 1",2010,"10th AIAA Aviation Technology, Integration and Operations Conference 2010, ATIO 2010","1",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880827003&partnerID=40&md5=d04f0a466919b0290965ef22e8d01f80",,"","The proceedings contain 123 papers. The special focus in this conference is on Aviation Technology, Integration and Operation. The topics include: Service provider feedback to support increased user traffic flow management responsibility; benefits from collaborative flow planning of alternative route options; airport-centered flow management; controller workload models for generic high-altitude airspace; combining ATC subjective cognitive complexity evaluation metrics in a single indicator; investigation of strategies used by air traffic controllers to reduce cognitive workload; fundamental surface trajectory models for air traffic automation; the effects of speed uncertainty on a separation assurance algorithm; flight option generation for traffic management decision support; one engine out takeoff trajectory optimization; an industry perspective on future needs for aircraft design education; issues in aerospace system engineering design education - an outside view from within; generating operationally-acceptable reroutes using simulated annealing; survey of weather impact models used in air traffic management; an experimental study of terrain-induced airflow at the LPPI airport; dynamic allocation and benefit assessment of next gen flow corridors; enhancing the value of data through effective aggregate analytical techniques; modeling the contribution of accident investigation to aircraft safety; application of value-driven design to commercial aero-engine systems; development of an airline revenue capability model for aircraft design; a hybrid optimization approach to air traffic management for metroplex operations; evaluation of user gaming strategies in the future national airspace system; aerospace design education at RMIT university; cranfield graduate aircraft design education; integrating digital manufacturing, processing, and design of composite structures; a virtual test system integrating materials and manufacturing to aid design choices; a study of civil tiltrotor aircraft in nextGen airspace; safety aspects of automotive child restraint systems in aircraft; effects of the design mismatch between aircraft capabilities and actual aircraft utilization; automated flight routing using stochastic dynamic programming; tactical missile design at the naval postgraduate school; predictability of top of descent location for operational idle-thrust descents; a final approach trajectory model for current operations; model based methodologies for the assessment of more electric flight control actuators; an application to traffic flow analysis of the NAS; the trajectory synthesizer generalized profile interface; aircraft trajectory optimization and contrails avoidance in the presence of winds; cruise optimization using trajectory patterns; optimization of aircraft utilization by reducing scheduled maintenance downtime; trade-off between facility utilization and service level of an airline MRO; a decision support tool for strategic engine maintenance planning; aircraft taxi times at U.S. domestic airports; analysis of DFW perimeter taxiway operations; optimization of airport taxiway operations at Detroit metropolitan airport (DTW); a global aircraft design course experience; the philosophy of design education at the university of Manchester; closed-form takeoff weight estimation model for air transportation simulation; enhancing location privacy of future aircraft wireless communications; generic airspace concepts and research; dynamically evolving sectors for convective weather impact; national air traffic rule change 7110.308; lateral-directional stability investigation of a blended-wing body; impact of future generation aircraft on fleet-level environmental emission metrics; fleet-wide environmental impact of future aircraft technologies; MEDA case study for an MRO; feasibility study of OBIGGS for water contamination control in aircraft fuel tanks; optimization of taxiway traversal at congested airports; a concept and implementation of optimized operations of airport surface traffic; the relationship between rationalized schedules and reduced arrival variability; mission performance as point performance; design system for managing complexity in aerospace systems; design issues for a bottom-up complexity metric applied to hierarchical systems; assessing performance uncertainty in complex hybrid systems; a surrogate model for nextgen portfolio analysis; evaluating concepts for metroplex operations; the impact of economic mitigation measures on global aircraft emissions; runway operations optimization in the presence of uncertainties; the effects of airline adaptive route selection in NAS-wide performance; developing a model to determine called rates at airports; generic metroplex airspace comparison for shared resource configurations; conceptual design and optimization of a UAV using simulated annealing; correct-by-construction design of aircraft electric power systems; a decision support tool for high density area departure traffic management; reinventing high density area departure traffic management; capacity improvement potential for the new York metroplex system; arrival trajectory optimization on noise impact using interval analysis; investigating the potential of using quota count as a design metric; design considerations for a new terminal area arrival scheduler; a concept for robust, high density terminal air traffic operations; tactical conflict detection in terminal airspace; interaction of airspace partitions and traffic flow management delay; an algorithm for adaptable dynamic airspace configuration; dynamic airspace configuration analysis for the current and future traffic scenarios; hang glider design and performance; a systems engineering approach to unmanned aerial vehicle design; conceptual design studies of an unmanned combat aerial vehicle; investigation of the fuel efficiency of the U.S. air transportation network structure; on estimating mid-air collision risk; algorithmic traffic abstraction and its application to nextGen generic airspace; the monotonic lagrangian grid for rapid air-traffic evaluation; airport terminal traffic simulation applying reduced wake vortex separation; use of data comm by flight crew in high-density terminal areas; integrated analysis of airport capacity and environmental constraints; aviation frontiers - on demand aircraft; NASA puffin electric tailsitter VTOL concept; benefit of a raycast weather severity metric for estimating transition airspace capacity; evaluation of strategies for reducing taxi-out emissions at airports; efficiently estimating ambient near mid-air collision risk for unmanned aircraft; multi sector planning tools for trajectory-based operations; sector design and boundary change considerations for flexible airspace management; flow conforming operational airspace sector design; use of runway capacity at secondary airports to address nextgen goals; aggregate statistics of national trac management initiatives; puffin redundant electric propulsion powertrain system; separation standards under automated separation assurance and analysis of a real-time separation assurance system with integrated time-in-trail spacing.",,,Conference Review,"Final","",Scopus,2-s2.0-84880827003
