Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"Approval and promulgation of air quality implementation plans; Colorado; Revised definitions; Construction permit program fee increases; Regulation 3",2011,"Federal Register","76","161",,"51903","51905",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052237210&partnerID=40&md5=216d81b24ebf06f5473d865166c2b674",,"","EPA is approving the 8/1/2007 submittal revisions to Regulation 3, Part A, Section I where the State expanded on the definition of NO2 to include it as a precursor to ozone and the grammatical change the State made to Regulation 3. EPA is taking no action on several revisions to Colorado's Regulation 3 regarding New Source Review and on three provisions in the submittals that are not in Colorado's SIP and revisions to the State's requirements to file Air Pollution Emission Notices. This action is being taken under section 110 of the Clean Air Act. This final rule is effective 9/19/2011.",,,Note,"Final","",Scopus,2-s2.0-80052237210
[No author name available],[No author id available],"Approval and promulgation of implementation plans; New York reasonable further progress plans, emissions inventories, contingency measures and motor vehicle emissions budgets",2011,"Federal Register","76","160",,"51264","51266",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052179503&partnerID=40&md5=05be7ea16eeedb46779d1481bb94373e",,"","EPA has evaluated and is approving portions of New York's proposed SIP revision that are intended to meet several Clean Air Act requirements for attaining the 0.08 ppm 8-hr ozone NAAQS. EPA is approving into the SIP the elements which are required by the Act, i.e., the 2002 base year and 2008 projection year emissions inventories, the 2008 motor vehicle emissions budgets used for planning purposes, the 2008 Reasonable Further Progress (RFP) plan, and the 2008 RFP Plan contingency measures as they apply to the New York portion of the New York-Northern New Jersey-Long Island, NY-NJ-CT 8-hr ozone moderate nonattainment area. EPA is also approving the 2002 base year emissions inventory for the Poughkeepsie 8-hr ozone moderate nonattainment area and the state-wide 2002 base year ozone emissions inventory. This final rule is effective on 9/19/2011.",,,Note,"Final","",Scopus,2-s2.0-80052179503
[No author name available],[No author id available],"Revisions to the California State implementation plan, South Coast Air Quality Management District",2011,"Federal Register","76","156",,"50128","50129",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051866841&partnerID=40&md5=8ac8875c48f0431a6e30c1dcc5f791e1",,"","EPA is finalizing approval of revisions to the South Coast Air Quality Management District (SCAQMD) portion of the California SIP. These revisions concern NOx and SOx emissions from facilities emitting ≥ 4 ton/yr of NOx or SOx in 1990 or any subsequent year under the SCAQMD's Regional Clean Air Incentives Market program. EPA is approving a local rule that regulates these emission sources under the CAAA. This rule is effective on 9/12/2011. List of subjects in 40 CFR Part 52 include environmental protection, air pollution control, incorporation by reference, intergovernmental relations, NO2, ozone, and reporting and recordkeeping requirements.",,,Note,"Final","",Scopus,2-s2.0-80051866841
[No author name available],[No author id available],"Federal implementation plans: Interstate transport of fine particulate matter and ozone and correction of SIP approvals",2011,"Federal Register","76","152",,"48208","48483",,43,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051813524&partnerID=40&md5=b5cdbcab01e2f1f77b01245c35d61070",,"","EPA is limiting the interstate transport of emissions of NOx and SO2 that contribute to harmful levels of fine particle matter (PM2.5) and ozone in downwind states. EPA is identifying emissions within 27 states in the eastern United States that significantly affect the ability of downwind states to attain and maintain compliance with the 1997 and 2006 fine particulate matter NAAQS and the 1997 O3 NAAQS. Also, EPA is limiting these emissions through Federal Implementation Plans (FIP) that regulate electric generating units in the 27 states. This action will substantially reduce adverse air quality impacts in downwind states from emissions transported across state lines. The FIP may not fully eliminate the prohibited emissions from certain states with respect to the 1997 O3 NAAQS for two remaining downwind areas and EPA is committed to identifying any additional required upwind emission reductions and taking any necessary action in a future rulemaking. EPA is also modifying its prior approvals of certain SIP submissions to rescind any statements that the submissions in question satisfy the interstate transport requirements of the CAA or that EPA's approval of the SIP affects the authority to issue interstate transport FIP with respect to the 1997 fine particulate and 1997 O3 standards for 22 states. This final rule is effective on 10/7/2011.",,,Note,"Final","",Scopus,2-s2.0-80051813524
[No author name available],[No author id available],"Approval and promulgation of air quality implementation plans; West Virginia; Section 110(a)(2) infrastructure requirements for the 1997 8-hour ozone and the 1997 and 2006 fine particulate matter national ambient air quality standards",2011,"Federal Register","76","150",,"47062","47068",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051590321&partnerID=40&md5=1666ff639d2200accd60531a001de0d1",,"","EPA is approving submittals from the State of West Virginia pursuant to the Clean Air Act (CAA) sections 110(k)(2) and (3). These submittals address the infrastructure elements specified in the CAA section 110(a)(2), necessary to implement, maintain, and enforce the 1997 8-hr O3 and fine particulate matter (PM2.5) NAAQS and the 2006 PM2.5 NAAQS. This final rule is limited to several elements, which were subject to EPA's completeness findings pursuant to CAA section 110(k)(1) for the 1997 8-hr O3 NAAQS dated 3/27/2008 and the 1997 PM2.5 NAAQS dated 10/22/2008, i.e., 110(a)(2)(A), (B), (C), (D)(ii), (E), (F), (G), (H), (J), (K), (L), and (M), or portions thereof. This final rule is effective on 9/6/2011.",,,Note,"Final","",Scopus,2-s2.0-80051590321
[No author name available],[No author id available],"Approval and promulgation of air quality implementation plans; Delaware; Section 110(a)(2) infrastructure requirements for the 1997 8-hour ozone and the 1997 and 2006 fine particulate matter national ambient air quality standards",2011,"Federal Register","76","150",,"47068","47074",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051589045&partnerID=40&md5=8b1a90cf954ba5cff09eb7afdedee005",,"","EPA is approving submittals from the State of Delaware pursuant to the Clean Air Act (CAA) sections 110(k)(2) and (3). These submittals address the infrastructure elements specified in the CAA section 110(a)(2), necessary to implement, maintain, and enforce the 1997 8-hr O3 and fine particulate matter (PM2.5) NAAQS and the 2006 PM2.5 NAAQS. This final rule is limited to several infrastructure elements, which were subject to EPA's completeness findings pursuant to CAA section (k)(1) for the 1997 8-hr O3 NAAQS dated 3/27/2008 and the 1997 PM2.5 NAAQS dated 10/22/2008, i.e., 110(a)(2)(A), (B), (C), (D)(ii), (E), (F), (G), (H), (J), (K), (L), and (M), or portions thereof. This final rule is effective on 9/6/2011.",,,Note,"Final","",Scopus,2-s2.0-80051589045
[No author name available],[No author id available],"States' climate policies for 2050 given low grade",2011,"International Journal of Climate Change Strategies and Management","3","3",,"39","42",,,"10.1108/ijccsm.2011.41403caa.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003049296&doi=10.1108%2fijccsm.2011.41403caa.002&partnerID=40&md5=3dba94f34b7caa90097295e96b0d122c",,"",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-85003049296
[No author name available],[No author id available],"Adequacy determination for Colorado Springs, Cañon City, Greeley, Pagosa Springs, and Telluride; Carbon monoxide and PM10 maintenance plans' motor vehicle emissions budgets for transportation conformity purposes; State of Colorado",2011,"Federal Register","76","148",,"46288","46289",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051537362&partnerID=40&md5=e9ac984bc7d1391075f4defeddc03a6e",,"","EPA is notifying the public that the Agency has found SIP submittals adequate for transportation conformity purposes, i.e., ""Revised Carbon Monoxide Attainment/Maintenance Plan Colorado Springs Attainment/Maintenance Area"" and ""Revised Carbon Monoxide Maintenance Plan Greeley Attainment/Maintenance Area"". EPA is also notifying the public that the Agency has found SIP submittals and their respective motor vehicle emissions budgets adequate for transportation conformity purposes, i.e., ""PM10 Maintenance Plan for Can? on City"", ""Final Revised PM10 Maintenance Plan for the Pagosa Springs Attainment/Maintenance Area"", and ""Revised PM10 Attainment/Maintenance Plan Telluride. This finding is effective 8/17/2011.",,,Note,"Final","",Scopus,2-s2.0-80051537362
[No author name available],[No author id available],"New outlook says natural gas could help industrial sector recover",2011,"Pipeline and Gas Journal","238","8",,"16","18",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054794476&partnerID=40&md5=234694500f3fe436e877e31d8e3bac7e",,"","According to the NGSA's ""2011 Summer Outlook"", consumers of natural gas will benefit from stable and steady natural gas prices, which should also help the nation's recovering industrial sector. This is the third year in a row that a stable market for natural gas is observed. Although not yet at pre-recession strength, primary metals demand for natural gas is climbing and seems poised for continued growth. At the same time, overall industrial demand for natural gas is positioned to match or surpass pre-recession levels. NGSA also predicts that power generators will continue to switch to natural gas rather than coal due to low natural gas prices. A study from Purvin & Gertz Inc revealed that rising output from shale formations may reduce US imports of low-sulfur crude oil by 500,000 bpd within 5 yr as new pipelines carry the oil to refineries along the Gulf of Mexico. Shale production should rise to ∼ 900,000 bpd by 2015, and to > 1.3 million bpd by 2020, displacing imports. Refiners also plan to increase the use of local crudes from oil shale formations. In addition, the Massachusetts Institute of Technology released a comprehensive look at the role of natural gas in reducing global carbon emission. It highlighted the emergence of new shale gas supplies creates opportunities for natural gas to replace less environmentally friendly fossil fuels, i.e., coal and oil, in generating electricity, heating homes, making chemical feedstocks, and fueling cars and trucks. It also recommended government policies and government-funded research that could lead to more natural gas use as a bridge to a lower-carbon future.",,,Business Article,"Final","",Scopus,2-s2.0-80054794476
[No author name available],[No author id available],"World News: NPRA: Support for supreme court",2011,"Hydrocarbon Engineering","16","8",,"10","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051485470&partnerID=40&md5=67bacdf037d6db7b13ef4578425dbe9f",,"","The NPRA has welcomed the Supreme Court's decision in the lawsuit filed by American Electric Power (AEP) Co vs. the State of Connecticut to resoundingly reject attempts to address greenhouse gas emissions through the use of common law ""nuisance'"" awsuits. The court appropriately reversed the decision by the US Court of Appeals for the second circuit that permitted this litigation to move forward. NPRA and the API filed an amicus brief with the US Supreme Court in February 2011 in support of AEP's position in this litigation. In this case the plaintiffs alleged that fossil fuel fired power plants are a "" public nuisance"" under federal law by emitting greenhouse gases.",,,Note,"Final","",Scopus,2-s2.0-80051485470
