Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Abbott K.W.","7101646393;","Orchestrating experimentation in non-state environmental commitments",2017,"Environmental Politics","26","4",,"738","763",,31,"10.1080/09644016.2017.1319631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017587896&doi=10.1080%2f09644016.2017.1319631&partnerID=40&md5=12b6844bc05c023116a2755fcd12dfdf","College of Law, & School of Politics and Global Studies, Arizona State University, Tempe, AZ, United States","Abbott, K.W., College of Law, & School of Politics and Global Studies, Arizona State University, Tempe, AZ, United States","A striking development in climate governance is the emergence of systems for non-state actors to make voluntary commitments alongside state undertakings. Because these commitments involve diverse actors carrying out diverse activities in diverse settings, they provide unprecedented opportunities for experimentation and learning. Yet voluntary commitment systems (VCS) rarely promote experimentation and provide few systematic learning mechanisms. Based on work with Duncan Snidal, an argument is made for a more strongly experimental approach. First, VCS should encourage designed, controlled policy experiments consistent with scientific standards. Second, even where formal experiments are infeasible, VCS should treat commitments as informal experiments, orchestrating them to promote innovation, comparability, analysis and systematic learning. Collaborative initiatives and other governance organizations can act as orchestrators, encouraging and supporting formal and informal experimentation through persuasion, technical and material assistance, recognition, third-party assistance and other incentives. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","Climate governance; experimentalist governance; experimentation; global environmental governance; non-state actors; orchestration; voluntary commitments","climate change; environmental management; governance approach",Article,"Final","",Scopus,2-s2.0-85017587896
"Abdelghaffar H.M., Yang H., Rakha H.A.","57188860772;36471469800;7004496780;","Developing a de-centralized cycle-free nash bargaining arterial traffic signal controller",2017,"5th IEEE International Conference on Models and Technologies for Intelligent Transportation Systems, MT-ITS 2017 - Proceedings",,,"8005732","544","549",,8,"10.1109/MTITS.2017.8005732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030257437&doi=10.1109%2fMTITS.2017.8005732&partnerID=40&md5=b4dad955a0c1a6daacb23a3c9bede2be","Center for Sustainable Mobility, Virginia Tech Transportation Institute, Virginia Tech, United States; Civil Engineering Department, Lamar University, United States; Samuel Reynolds Pritchard Prof. of Engineering, Charles E. Via Jr. Department of Civil and Environmental Engineering, Virginia Tech Transportation Institute, United States","Abdelghaffar, H.M., Center for Sustainable Mobility, Virginia Tech Transportation Institute, Virginia Tech, United States; Yang, H., Civil Engineering Department, Lamar University, United States; Rakha, H.A., Samuel Reynolds Pritchard Prof. of Engineering, Charles E. Via Jr. Department of Civil and Environmental Engineering, Virginia Tech Transportation Institute, United States","This paper presents a novel de-centralized cycle-free traffic signal controller that adapts to changes in traffic demand. Traffic signal timing optimization is achieved using a Nash Bargaining game-theoretic framework, where each phase is modeled as a player in a game in which the players cooperate to reach a mutual agreement. The Nash bargaining solution is applied to obtain the optimal control strategy, considering a flexible phasing sequence and free cycle length. The system is implemented and evaluated in the INTEGRATION microscopic traffic assignment and simulation software. The proposed control approach is compared to the operation of an optimum fixed-time coordinated plan, a centralized adaptive phase split controller, a decentralized phase split and cycle length controller, and a fully coordinated adaptive phase split, cycle length, and offset optimization controller to evaluate the performance of the proposed decentralized controller. The simulation results were tested on an arterial network located in the heart of downtown Blacksburg, Virginia, USA. The simulation results show significant reductions in the average travel time ranging from 7% to 21%, a reduction in the total delay ranging from 36% to 67%, and a reduction in the emission levels ranging from 6% to 13%. Analysis of variance, Tukey, and pairwise comparison tests were conducted, to examine the statistically significant difference of the proposed controller. The results demonstrate that the proposed decentralized controller produces major improvements over other state-of-the-art centralized and de-centralized control approaches. © 2017 IEEE.","Arterial traffic signal control; game theory; INTEGRATION software; Nash bargaining","Computer software; Controllers; Decentralized control; Game theory; Intelligent systems; Intelligent vehicle highway systems; Optimal control systems; Traffic control; Transportation; Travel time; Arterial traffics; Decentralized controller; Integration software; Nash bargaining; Nash bargaining solution; Optimal control strategy; Statistically significant difference; Traffic signal controllers; Traffic signals",Conference Paper,"Final","",Scopus,2-s2.0-85030257437
"Abdelshafy A.M., Hassan H., Mohamed A.M., El-Saady G., Ookawara S.","57203152279;57194234156;57188815691;6701595932;7005004002;","Optimal grid connected hybrid energy system for Egyptian residential area",2017,"Proceeding - ICSEEA 2017 International Conference on Sustainable Energy Engineering and Application: &quot;Continuous Improvement of Sustainable Energy for Eco-Mobility&quot;","2018-January",,,"52","60",,3,"10.1109/ICSEEA.2017.8267687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050732052&doi=10.1109%2fICSEEA.2017.8267687&partnerID=40&md5=ac07cace15e83db67dc8216feb55eaed","Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt; Faculty of Engineering, Assiut University, Assiut, Egypt; Tokyo Institute of Taechnology, Tokyo, Japan","Abdelshafy, A.M., Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt; Hassan, H., Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt, Faculty of Engineering, Assiut University, Assiut, Egypt; Mohamed, A.M., Egypt-Japan University of Science and Technology (E-JUST), Alexandria, Egypt, Faculty of Engineering, Assiut University, Assiut, Egypt; El-Saady, G., Faculty of Engineering, Assiut University, Assiut, Egypt; Ookawara, S., Tokyo Institute of Taechnology, Tokyo, Japan","This article presents a grid-connected hybrid energy system (HES) including a photovoltaic array (PV), wind turbines (WT), fuel cell (FC), electrolyzer, diesel generator, hydrogen tanks (HT) and battery systems. A multi-objective genetic algorithm (Moga) is applied to find the optimal size of HES components with zero load rejection and selling the excess energy to the grid. The main aim of this article is to minimize the cost of electricity generated (COE) and CO2 emission simultaneously. A case study proposed hybrid energy system loads are some residential buildings (one block) in New Assiut City, Egypt with a peak value of 160.2 kW and yearly energy of 430 MWh. An optimal planning is obtained with a lifetime of 20 years. A comparison between different configurations of HES is done. Results showed that HES comprising PV/WT/battery/diesel is the most feasible economically and produce less CO2 emission than other configurations. Further, it is helping to decrease the load demand of the utility grid. © 2017 IEEE.","Battery system; electrolyzer; fuel cell; Multi-Objective Genetic algorithm; Photovoltaic array; Wind turbine","Carbon dioxide; Electrolytic cells; Energy conservation; Fuel cells; Genetic algorithms; Photovoltaic cells; Wind turbines; Battery systems; Cost of electricity; Electrolyzers; Hybrid energy system; Multi-objective genetic algorithm; Photovoltaic arrays; Residential areas; Residential building; Housing",Conference Paper,"Final","",Scopus,2-s2.0-85050732052
"Abdulai I., Krutovsky K.V., Finkeldey R.","57191075800;7801502121;6701455679;","Morphological and genetic diversity of shea tree (Vitellaria paradoxa) in the savannah regions of Ghana",2017,"Genetic Resources and Crop Evolution","64","6",,"1253","1268",,8,"10.1007/s10722-016-0434-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986268015&doi=10.1007%2fs10722-016-0434-8&partnerID=40&md5=309faf3f9a91aef8466748f6df1220ef","Department of Crop Production Systems in the Tropics, Georg-August-University of Goettingen, Göttingen, 37077, Germany; Department of Forest Genetics and Forest Tree Breeding, Georg-August-University of Goettingen, Büsgenweg 2, Göttingen, 37077, Germany; Department of Ecosystem Science and Management, Texas A&M University, 305 Horticulture and Forest Science Building, MS 2138 TAMU, College Station, TX  77843-2138, United States; Laboratory of Population Genetics, N. I. Vavilov Institute of General Genetics, Russian Academy of Sciences, 3 Gubkina Str., Moscow, 119333, Russian Federation; Laboratory of Forest Genomics, Genome Research and Education Center, Siberian Federal University, 50a/2 Akademgorodok, Krasnoyarsk, 660036, Russian Federation; University of Kassel, Mönchebergstraße 19, Kassel, 34109, Germany","Abdulai, I., Department of Crop Production Systems in the Tropics, Georg-August-University of Goettingen, Göttingen, 37077, Germany; Krutovsky, K.V., Department of Forest Genetics and Forest Tree Breeding, Georg-August-University of Goettingen, Büsgenweg 2, Göttingen, 37077, Germany, Department of Ecosystem Science and Management, Texas A&M University, 305 Horticulture and Forest Science Building, MS 2138 TAMU, College Station, TX  77843-2138, United States, Laboratory of Population Genetics, N. I. Vavilov Institute of General Genetics, Russian Academy of Sciences, 3 Gubkina Str., Moscow, 119333, Russian Federation, Laboratory of Forest Genomics, Genome Research and Education Center, Siberian Federal University, 50a/2 Akademgorodok, Krasnoyarsk, 660036, Russian Federation; Finkeldey, R., Department of Forest Genetics and Forest Tree Breeding, Georg-August-University of Goettingen, Büsgenweg 2, Göttingen, 37077, Germany, University of Kassel, Mönchebergstraße 19, Kassel, 34109, Germany","Vitellaria paradoxa C. F. Gaertn., commonly known as shea tree or Vitellaria, is ranked the most important tree species of the savannah regions in the most African countries due to its ecological and economic importance for livelihoods and national economies. However, the savannah regions are the most vulnerable areas to the global climate change. Moreover, the Vitellaria populations on farmlands are threatened by the dominance of old trees with low or lack of regeneration. In this study both morphological and genetic diversity were assessed using several phenotypic traits and 10 microsatellite markers, respectively, to assess the impact of land use and agro-ecozone types on Vitellaria in Ghana. The land use types were forests and farmlands, and the agro-ecozone types included the Transitional, Guinea, and Sudan savannah zones. The mean values of morphological traits, such as diameter at breast height (DBH) and canopy diameter (CD), were statistically different between forest (DBH = 22.20, CD = 5.37) and farmland (DBH = 39.85 CD = 7.49) populations (P &lt; 0.00001). The Sudan savannah zone with mean petiole length of 4.96 cm showed significant difference from the other zones, likely as a result of adaptation to drier climate conditions. Genetic data analysis was based on 10 microsatellite markers and revealed high genetic diversity of Vitellaria in Ghana: mean expected heterozygosity, He was 0.667, and allelic richness, measured as number of effective alleles Ae, was 4.066. Both farmlands and forests were very diverse indicating lack of negative influence of farmer’s selection on genetic diversity. Fixation index was positive for all populations (mean FIS = 0.136) with farmlands recording relatively higher values than forests in all ecological zone types studied, probably indicating less gene flow in the farmlands. Moderate differentiation (F′ST = 0.113) was comparable to other similar tree species. Both land use and ecological zone types influenced genetic differentiation of Vitellaria at varying levels. The species was spatially structured across three ecozones and following climatic gradient. The forest reserves are used in situ conservation for Vitellaria in Ghana. High diversity observed in the most arid zones provides opportunity to find and use appropriate plant materials for breeding climate change resilient trees. © 2016, Springer Science+Business Media Dordrecht.","Fixation index; Genetic diversity; Heterozygosity; Microsatellite; Savannah; Vitellaria paradoxa","agricultural ecosystem; agricultural land; allele; climate change; commercial species; conservation genetics; deciduous tree; gene flow; genetic analysis; genetic marker; genetic variation; heterozygosity; index method; morphology; savanna; species conservation; transition zone; Ghana; Guinea; Sudan; Vitellaria; Vitellaria paradoxa",Article,"Final","",Scopus,2-s2.0-84986268015
"Abere F., Belete Y., Kefalew A., Soromessa T.","57194686183;57223379556;56613424600;8220212900;","Carbon stock of Banja forest in Banja district, Amhara region, Ethiopia: An implication for climate change mitigation",2017,"Journal of Sustainable Forestry","36","6",,"604","622",,12,"10.1080/10549811.2017.1332646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021636235&doi=10.1080%2f10549811.2017.1332646&partnerID=40&md5=ce71e5b05cd74c8f57d037ed268f3a47","Depatment of Natural Resources Management, Debre Markos University, Gojjam, Ethiopia; Center for Environmental Science, Addis Ababa University, Addis Ababa, Ethiopia","Abere, F., Depatment of Natural Resources Management, Debre Markos University, Gojjam, Ethiopia; Belete, Y., Center for Environmental Science, Addis Ababa University, Addis Ababa, Ethiopia; Kefalew, A., Depatment of Natural Resources Management, Debre Markos University, Gojjam, Ethiopia; Soromessa, T., Center for Environmental Science, Addis Ababa University, Addis Ababa, Ethiopia","This study estimates the carbon stock of Banja Forest which is natural and dry Afromontane forest type in Banja District, northwest of Ethiopia. A systematic sampling method was used to identify each sampling point through the Global Positioning System. A total of 63 plots measuring 20 × 20 m were employed to collect tree species and soil data. Losses on ignition and the Walkley–Black method were used to estimate biomass and soil carbon stock, respectively. The carbon stock of trees was estimated using an allometric equation. The results revealed that the total carbon stock of the forest was 639.87 t/ha whereas trees store 406.47 t/ha, litter, herbs, and grasses (LHGs) 2.58 t/ha and soil 230.82 t/ha (up to 30 cm depth). The carbon pools’ carbon stock variation with altitude and slope gradients were not significant (p &gt; 0.05) which was similar to other previous studies. The Banja Forest is a reservoir of high carbon and thus acts as a great sink of the atmospheric carbon. It can be concluded that the Forest plays a role in climate change mitigation. Hence, it should be integrated with reduced emission from deforestation and degradation (REDD+) and the clean development mechanism (CDM) of the Kyoto Protocol to catch monetary benefits. © 2017 Taylor & Francis.","Banja forest; carbon sequestration; carbon stock; climate change; Ethiopia","Carbon; Deforestation; Emission control; Soils; Allometric equations; Banja forest; Carbon sequestration; Carbon stocks; Clean Development Mechanism; Climate change mitigation; Dry afromontane forests; Ethiopia; Climate change; allometry; carbon sequestration; carbon sink; clean development mechanism; climate change; forest; GPS; mitigation; Carbon; Chelation; Forests; Amhara; Ethiopia; Poaceae",Article,"Final","",Scopus,2-s2.0-85021636235
"Abeyweera S.C., Rasamani K.D., Sun Y.","57194059062;57191961964;7406428353;","Ternary Silver Halide Nanocrystals",2017,"Accounts of Chemical Research","50","7",,"1754","1761",,34,"10.1021/acs.accounts.7b00194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025107927&doi=10.1021%2facs.accounts.7b00194&partnerID=40&md5=5431735c0427a3754624b4d4cfbab971","Department of Chemistry, Temple University, 1901 North 13th Street, Philadelphia, PA  19122, United States","Abeyweera, S.C., Department of Chemistry, Temple University, 1901 North 13th Street, Philadelphia, PA  19122, United States; Rasamani, K.D., Department of Chemistry, Temple University, 1901 North 13th Street, Philadelphia, PA  19122, United States; Sun, Y., Department of Chemistry, Temple University, 1901 North 13th Street, Philadelphia, PA  19122, United States","ConspectusNanocrystalline silver halides (AgX) such as AgCl, AgBr, and AgI, a class of semiconductor materials with characteristics of both direct and indirect band gaps, represent the most crucial components in traditional photographic processing. The nanocrystal surfaces provide sensitivity specks that can turn into metallic silver, forming an invisible latent image, upon exposure to light. The photographic processing implies that the AgX nanoparticles possess unique properties. First, pristine AgX nanoparticles absorb light only at low efficiency to convert surface AgX into tiny clusters of silver atoms. Second, AgX nanoparticles represent an excellent class of materials to capture electrons efficiently. Third, small metallic silver clusters can catalyze the reduction of AgX nanoparticles to Ag nanoparticles in the presence of mild reducing reagents, known as self-catalytic reduction. These properties indicate that AgX nanoparticles can be partially converted to metallic silver with high precision, leading to the formation of hybrid AgX/Ag nanoparticles. The nanosized metallic Ag usually exhibit intense absorption bands in the visible spectral region due to their strong surface plasmon resonances, which make the AgX/Ag nanoparticles a class of promising visible-light-driven photocatalysts for environmental remediation and CO2 reduction. Despite the less attention paid to their ability of capturing electrons, AgX nanoparticles might be a class of ideal electron shuttle materials to bridge light absorbers and catalysts on which electrons can drive chemical transformations.In this Account, we focus on ternary silver halide alloy (TSHA) nanoparticles, containing two types of halide ions, which increase the composition complexity of the silver halide nanoparticles. Interdiffusion of halide ions between two types of AgX at elevated temperatures has been developed for fabricating ternary silver halide alloy crystals, such as silver chlorobromide optical fibers for infrared communications. This solid state process is not feasible for synthesizing TSHA nanoparticles since it is hard to form two different types of AgX nanoparticles in direct contact. In contrast, coprecipitation of silver ions with different halide ions via colloidal chemistry represents the most promising strategy to synthesize TSHA nanoparticles. Forming uniform and phase-pure ternary silver halide nanocrystals requires that the rate ratio for precipitating both halide ions remains constant throughout the synthesis. However, the significant difference in solubility among different AgX usually leads to a nonuniform compositional distribution in the resulting nanoparticles because the halide ions corresponding to the less soluble AgX precipitate faster at the early reaction stage. This Account summarizes the methods recently developed for the successful synthesis of phase-pure TSHA nanoparticles with uniform sizes and morphologies, which involve precise control over the balanced diffusion of different halide ions to react with silver ions. Typical methods include the use of microemulsion capsules and high-viscosity solvents to lower and even the diffusion coefficients of various halide ions, thus maintaining the precipitation rates of both AgX in single nanoparticles at a constant ratio. The availability of high-quality TSHA nanoparticles provides promising opportunities to explore their new properties and applications. © 2017 American Chemical Society.",,,Article,"Final","",Scopus,2-s2.0-85025107927
"Abidoye B.O., Kurukulasuriya P., Mendelsohn R.","55214958000;14833048400;57206544769;","STRUCTURAL RICARDIAN ANALYSIS of SOUTH-EAST ASIAN AGRICULTURE",2017,"Climate Change Economics","8","3","1740005","","",,10,"10.1142/S201000781740005X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028316586&doi=10.1142%2fS201000781740005X&partnerID=40&md5=8a63ef2ce815dbae4f2fa0a9206b17e6","Yale School of Forestry and Environmental Studies, 195 Prospect Street, New Haven, CT, United States; United Nations Development Program, New York, NY, United States","Abidoye, B.O., Yale School of Forestry and Environmental Studies, 195 Prospect Street, New Haven, CT, United States; Kurukulasuriya, P., United Nations Development Program, New York, NY, United States; Mendelsohn, R., Yale School of Forestry and Environmental Studies, 195 Prospect Street, New Haven, CT, United States","This paper examines the impact of climate change on the net revenue (NR) of farmers from Bangladesh, Indonesia, Sri Lanka, Thailand and Vietnam. Two Ricardian models are estimated: (1) a traditional Ricardian model of the impact of climate change on annual farm NR and (2) a structural Ricardian model that first estimates the number of growing seasons and then the net revenue per season. The traditional model reveals annual NR is sensitive to autumn and summer climate variables. The seasonal effects offset each other so that uniform marginal effects are insignificant. Future climate scenarios likely harm Sri Lanka but could either benefit or harm Indonesia depending on the climate scenario. The structural Ricardian model suggests climate change will reduce the net revenue of three-season farms and increase the revenue of one-season farms causing farmers to switch from three-season farming to one-season farming. Expected losses by 2100 for the region range from -10% to -18%. Impacts in Indonesia may be higher ranging from -20% to -28%. © 2017 World Scientific Publishing Company.","climate change; growing seasons; impacts; Structural Ricardian",,Article,"Final","",Scopus,2-s2.0-85028316586
"Adamczak S., Kundera C., Swiderski J.","15519273400;6507042858;36740644700;","Assessment of the state of the geometrical surface texture of seal rings by various measuring methods",2017,"IOP Conference Series: Materials Science and Engineering","233","1","012031","","",,2,"10.1088/1757-899X/233/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029897897&doi=10.1088%2f1757-899X%2f233%2f1%2f012031&partnerID=40&md5=dc0c186195eb8204983ed4a1adb8c377","Faculty of Mechatronics and Machinery Design, Kielce University of Technology, Aleja Tysiąclecia Państwa Polskiego 7, Kielce, PL-25314, Poland","Adamczak, S., Faculty of Mechatronics and Machinery Design, Kielce University of Technology, Aleja Tysiąclecia Państwa Polskiego 7, Kielce, PL-25314, Poland; Kundera, C., Faculty of Mechatronics and Machinery Design, Kielce University of Technology, Aleja Tysiąclecia Państwa Polskiego 7, Kielce, PL-25314, Poland; Swiderski, J., Faculty of Mechatronics and Machinery Design, Kielce University of Technology, Aleja Tysiąclecia Państwa Polskiego 7, Kielce, PL-25314, Poland","The present paper concerns the metrological measurements of the geometric structure of the faces of seal rings made of silicon carbide and carbon-graphite. Three different instruments, i.e. the stylus profilometer, the optical profilometer, and the atomic force microscope, were used to measure the geometric structure of surfaces. In the comparative analysis, an identical area of the ring surface which was mapped by three measuring instruments with different sampling densities resulting from their metrological characteristics was assumed. The measurements made show that for the silicon carbide ring, the surface texture measurements on an atomic force microscope and optical instruments more accurately represent the actual topography than the measurement determined by the stylus profilometer. © Published under licence by IOP Publishing Ltd.",,"Atomic force microscopy; Carbon; Crystal atomic structure; Ecology; Geometry; Machinery; Profilometry; Pumps; Safety engineering; Silicon carbide; Comparative analysis; Geometric structure; Geometric structure of surface; Geometrical surfaces; Measuring instruments; Metrological characteristics; Optical profilometer; Surface texture measurement; Seals",Conference Paper,"Final","",Scopus,2-s2.0-85029897897
"Adams V.M., Álvarez-Romero J.G., Capon S.J., Crowley G.M., Dale A.P., Kennard M.J., Douglas M.M., Pressey R.L.","35195333800;55014229200;6602628508;7005811560;7103400827;7004342328;7202715945;7006823219;","Making time for space: The critical role of spatial planning in adapting natural resource management to climate change",2017,"Environmental Science and Policy","74",,,"57","67",,13,"10.1016/j.envsci.2017.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019234619&doi=10.1016%2fj.envsci.2017.05.003&partnerID=40&md5=fb2f1b6ffdc3b44e8e4da55471d83534","School of Biological Sciences, University of Queensland, Brisbane, Queensland  4072, Australia; ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Queensland  4810, Australia; Australian Rivers Institute, Griffith University, Nathan, Queensland  4111, Australia; The Cairns Institute, James Cook University, Cairns, Queensland  4870, Australia; School of Earth and Environment, University of Western Australia, Perth, Western Australia  6009, Australia","Adams, V.M., School of Biological Sciences, University of Queensland, Brisbane, Queensland  4072, Australia; Álvarez-Romero, J.G., ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Queensland  4810, Australia; Capon, S.J., Australian Rivers Institute, Griffith University, Nathan, Queensland  4111, Australia; Crowley, G.M., The Cairns Institute, James Cook University, Cairns, Queensland  4870, Australia; Dale, A.P., The Cairns Institute, James Cook University, Cairns, Queensland  4870, Australia; Kennard, M.J., Australian Rivers Institute, Griffith University, Nathan, Queensland  4111, Australia; Douglas, M.M., School of Earth and Environment, University of Western Australia, Perth, Western Australia  6009, Australia; Pressey, R.L., ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Queensland  4810, Australia","Climate change is driving shifts in social-ecological systems globally. In response, humans must adapt to altered climatic and environmental conditions. While climate change adaptation is a pressing issue in many sectors and regions, the adaptation of environmental management strategies is particularly urgent because of the severity and extent of risks associated with projected impacts. Robust adaptation of environmental management requires effective spatial and temporal implementation of interventions, with explicit consideration of trade-offs between different socio-economic and environmental objectives. We investigate the critical interface between regional governance systems and spatial planning for climate adaptation by exploring the case of Australia's Natural Resource Management (NRM) bodies. Australia's NRM bodies provide an ideal case study for two reasons. First, Australia faces significant threats from current and future climate changes. Second, Australian NRM bodies have recently undertaken a major program of spatial planning and research to explicitly address the need for climate adaptation. We explore the interface between regional governance systems and spatial planning by: 1) reviewing the historical development of institutional arrangements in relation to spatial planning by Australia's regional NRM bodies; 2) documenting current planning processes with regard to climate adaptation and more generally; and 3) identifying strengths and weaknesses of the existing governance system at various scales with respect to its ability to foster effective spatial planning. We find that the institutional and resource capacity of the Australian regional NRM bodies is currently being eroded and that the national governance system is broadly failing to deliver on the intended outcomes of climate-ready NRM plans. We make recommendations for governance reform and institutional adaptation to improve spatial planning for climate adaptation in Australia and discuss the broader implications of our findings. © 2017 Elsevier Ltd","Adaptive governance; Climate change; Conservation planning; Natural resource management","adaptation; Article; Australia; Australian; climate change; historical period; investment; natural resource; planning; priority journal; resource management",Article,"Final","",Scopus,2-s2.0-85019234619
"Adeoye J.T., Menefee A.H., Xiong W., Wells R.K., Skemer P., Giammar D.E., Ellis B.R.","57190423459;57192279185;55991507400;57193437451;10640398000;6602787993;35221403200;","Effect of transport limitations and fluid properties on reaction products in fractures of unaltered and serpentinized basalt exposed to high PCO2 fluids",2017,"International Journal of Greenhouse Gas Control","63",,,"310","320",,17,"10.1016/j.ijggc.2017.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027453287&doi=10.1016%2fj.ijggc.2017.06.003&partnerID=40&md5=2e4311dd36fc81b60e3d77a358ec3d31","Department of Civil and Environmental Engineering, University of Michigan, United States; Department of Energy, Environmental and Chemical Engineering, Washington University in St. Louis, United States; Department of Earth and Planetary Sciences, Washington University in St. Louis, United States","Adeoye, J.T., Department of Civil and Environmental Engineering, University of Michigan, United States; Menefee, A.H., Department of Civil and Environmental Engineering, University of Michigan, United States; Xiong, W., Department of Energy, Environmental and Chemical Engineering, Washington University in St. Louis, United States; Wells, R.K., Department of Earth and Planetary Sciences, Washington University in St. Louis, United States; Skemer, P., Department of Earth and Planetary Sciences, Washington University in St. Louis, United States; Giammar, D.E., Department of Energy, Environmental and Chemical Engineering, Washington University in St. Louis, United States; Ellis, B.R., Department of Civil and Environmental Engineering, University of Michigan, United States","A series of high temperature and high pressure (45 °C and 100 °C; 10 MPa) experiments were conducted to examine geochemical alterations of fractured serpentinized and unaltered basalts exposed to high PCO2 fluids. Net mineral dissolution was observed in flow-through experiments that examined reactions under advection-dominated conditions, whereas carbonate mineral precipitation occurred along basalt fractures after 6 weeks of reaction in static batch experiments where mass transport was diffusion limited. Consistent with prior work, increased temperature and salinity enhanced dissolution in flow-through experiments, and greater congruency in silicate dissolution was observed at higher temperature. Analysis of the reacted cores via X-ray computed tomography revealed regions of enhanced dissolution along the fracture pathway that correspond to contact with large grains of pyroxene and olivine. In the batch experiments, discrete Mg-bearing siderite crystals were observed along the entire fracture of the fine-grained unserpentinized basalt samples, while siderite formed in clusters along the fracture of the coarser-grained serpentinized basalt. Results of this study demonstrate how diffusive mass transport conditions and distribution of reactive mineral phases may be key factors in determining the extent of silicate dissolution and secondary mineral carbonation during geological carbon sequestration in fractured basalts. © 2017 Elsevier Ltd","Basalt; Carbon mitigation; CO2 sequestration; Fracture flow; Mineral carbonation","Basalt; Carbonation; Computerized tomography; Diffusion in liquids; Dissolution; Fracture; Iron ores; Minerals; Reaction kinetics; Silicate minerals; Silicates; Carbon mitigation; CO2 sequestration; Diffusive mass transport; Flow-through experiments; Fracture flow; High temperature and high pressure; Mineral carbonation; X-ray computed tomography; Transport properties; basalt; carbon monoxide; experimental study; fracture flow; high pressure; high temperature; igneous geochemistry; serpentinization; transport process",Article,"Final","",Scopus,2-s2.0-85027453287
